O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,ANAND PRAKASH CHAURASIA,Communist Party of India,52,55,66,50,75,49,50,53,51,48,49,34,39,50,60,47,56,48,53,32,61,52,38,35,47,43,57,76,48,38,Uttar Pradesh-Rampur Karkhana,Rampur Karkhana
2,PUSHPA SHAHI,Bahujan Samaj Party,712,349,444,513,982,1037,1044,1740,946,899,2259,1406,1400,739,1514,1340,1548,892,1180,1170,1319,1148,653,631,835,795,889,577,882,484,Uttar Pradesh-Rampur Karkhana,Rampur Karkhana
3,FASIHA MANZAR GHAZALA LARI,Samajwadi Party,3066,3018,3377,2194,2343,2581,2541,1710,2111,2355,1867,1937,3082,2379,2193,2758,2783,2361,2858,1794,3007,2916,2482,2855,2695,2364,2658,2699,2830,1397,Uttar Pradesh-Rampur Karkhana,Rampur Karkhana
4,SHAHLA AHRARI,Indian National Congress,140,89,87,54,76,94,83,52,51,61,56,64,51,56,44,29,55,51,77,63,72,67,82,65,60,35,77,64,90,55,Uttar Pradesh-Rampur Karkhana,Rampur Karkhana
5,SURENDRA CHAURASIA,Bharatiya Janata Party,3025,3777,2920,3786,3964,3992,3804,3263,4005,3555,2435,2900,2608,2815,2903,2686,2440,2759,2780,2488,2667,2290,2977,3270,2818,2554,2834,2555,2569,2783,Uttar Pradesh-Rampur Karkhana,Rampur Karkhana
6,INDRAMOHAN,Moulik Adhikar Party,40,38,47,68,57,45,47,33,63,53,33,51,35,35,54,42,39,26,33,30,40,31,35,37,23,22,22,38,31,30,Uttar Pradesh-Rampur Karkhana,Rampur Karkhana
7,KAUSHAL KISHORE MANI ALIAS MADHAVJI,Aam Aadmi Party,17,15,6,8,21,14,14,12,13,20,11,13,13,6,14,13,10,14,15,10,142,10,12,41,10,7,11,13,22,8,Uttar Pradesh-Rampur Karkhana,Rampur Karkhana
8,DEENANATH KUSHWAHA,Jan Adhikar Party,29,11,27,31,24,25,19,26,35,25,69,154,12,15,33,32,47,18,32,28,30,24,16,53,19,9,20,19,20,48,Uttar Pradesh-Rampur Karkhana,Rampur Karkhana
9,FIROJ,Independent,16,12,18,13,15,22,15,11,12,15,21,14,8,6,17,18,26,51,19,17,17,15,5,16,13,8,19,20,14,12,Uttar Pradesh-Rampur Karkhana,Rampur Karkhana
10,SURENDR,Independent,34,18,25,14,35,11,29,26,15,28,32,23,28,22,18,28,25,18,33,13,18,40,19,31,25,23,27,35,32,18,Uttar Pradesh-Rampur Karkhana,Rampur Karkhana
11,SURESH,Independent,26,12,35,18,34,20,39,35,25,28,44,25,20,16,25,24,34,30,26,19,18,27,14,16,18,15,23,24,19,24,Uttar Pradesh-Rampur Karkhana,Rampur Karkhana
12,NOTA,None of the Above,65,41,55,45,56,39,50,54,40,65,48,32,46,40,37,54,64,39,76,40,44,55,28,46,52,27,53,52,46,42,Uttar Pradesh-Rampur Karkhana,Rampur Karkhana
