O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,Chandan Chauhan,Rashtriya Lok Dal,2852,3138,3329,3776,4202,1600,3492,5708,2760,4313,3669,4919,7408,4290,4429,4463,5095,3622,4203,6353,4397,4344,2799,2877,2436,3552,3098,Uttar Pradesh-Meerapur,Meerapur
2,JAMIL AHMAD,Indian National Congress,40,36,26,51,40,32,34,38,30,50,44,48,70,41,43,30,34,217,62,46,32,37,37,61,28,22,23,Uttar Pradesh-Meerapur,Meerapur
3,PRASHANT CHAUDHARY,Bharatiya Janata Party,3195,3546,3592,2820,4264,4658,3425,2549,4117,2914,2986,1894,669,3013,2624,1892,2959,4247,1643,1191,2488,2458,3628,4206,3380,2935,2400,Uttar Pradesh-Meerapur,Meerapur
4,MO. SALIM,Bahujan Samaj Party,1230,1095,1332,820,436,1904,1126,601,792,794,1147,824,896,488,690,999,776,872,943,801,225,366,904,1146,683,998,845,Uttar Pradesh-Meerapur,Meerapur
5,UMESH,Aazad Samaj Party (Kanshi Ram),43,50,118,115,20,154,28,15,42,225,34,23,65,8,17,42,19,44,153,58,10,11,108,33,134,22,33,Uttar Pradesh-Meerapur,Meerapur
6,PRAVEZ ALAM,Rashtriya Samaj Dal (R),6,3,10,6,5,11,4,2,2,9,5,3,7,1,1,4,7,9,8,8,3,4,8,2,5,5,5,Uttar Pradesh-Meerapur,Meerapur
7,KM. PRITI,Rashtra Nirman Party,6,9,7,13,9,48,12,4,6,28,21,7,7,6,8,13,9,25,6,12,3,5,2,8,19,8,6,Uttar Pradesh-Meerapur,Meerapur
8,AMIT KUMAR,Independent,7,11,13,13,12,11,4,8,14,13,11,8,11,6,4,3,12,11,13,12,3,12,16,8,2,5,8,Uttar Pradesh-Meerapur,Meerapur
9,MADAN PAL,Independent,12,11,12,14,7,16,13,8,9,8,9,11,12,5,5,14,7,11,14,13,10,6,13,20,6,9,8,Uttar Pradesh-Meerapur,Meerapur
10,SHAH ALAM,Independent,14,22,9,17,8,25,13,18,16,28,17,21,3,19,9,19,12,21,14,7,5,8,23,29,14,11,8,Uttar Pradesh-Meerapur,Meerapur
11,HEM LATA,Independent,8,13,13,10,11,16,15,9,11,14,8,6,8,8,8,4,10,6,14,21,8,7,13,11,6,0,2,Uttar Pradesh-Meerapur,Meerapur
12,NOTA,None of the Above,46,29,25,51,31,44,31,32,23,37,35,50,31,19,28,26,27,23,35,60,30,25,37,36,26,32,17,Uttar Pradesh-Meerapur,Meerapur
