O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Arun Kumar Dubey (Lal Dubey),Bahujan Samaj Party,1267,1315,1019,2116,840,1434,794,1661,566,1058,960,1185,984,1238,1119,764,1422,970,644,1074,850,1059,441,992,1644,1511,793,1121,481,30,Uttar Pradesh-Dibiyapur,Dibiyapur
2,Pradeep Kumar Yadav,Samajwadi Party,2393,1719,2583,2491,3076,3145,2046,2200,2518,2055,1988,2524,2935,2291,2377,2340,2566,3284,5655,2996,3050,2787,4038,3752,3978,3146,3540,1976,282,396,Uttar Pradesh-Dibiyapur,Dibiyapur
3,Manoj Kumar,Indian National Congress,55,34,46,114,54,59,36,53,44,52,68,38,64,41,39,41,122,68,45,42,70,56,81,35,47,33,34,44,6,0,Uttar Pradesh-Dibiyapur,Dibiyapur
4,Lakhan Singh Rajput,Bharatiya Janata Party,2284,2252,3007,2301,2873,3294,3936,3380,4094,3210,3572,2790,2297,3457,2776,2737,2653,2395,1601,2930,3272,2623,3542,1901,1981,1930,2652,3848,416,7,Uttar Pradesh-Dibiyapur,Dibiyapur
5,Om Prakash Rajput,Jan Adhikar Party,171,21,51,79,35,80,61,26,32,75,40,76,49,59,58,60,34,38,111,232,508,361,68,49,129,102,35,55,3,0,Uttar Pradesh-Dibiyapur,Dibiyapur
6,Ankita Yadav,Aam Aadmi Party,11,5,10,2,12,14,11,35,34,22,38,20,13,14,16,19,9,11,27,11,15,40,23,12,25,14,30,76,1,0,Uttar Pradesh-Dibiyapur,Dibiyapur
7,Gopal Swaroop Gandhi,Kisan Majdoor Berojgar Sangh,11,3,6,4,6,21,8,11,12,4,9,11,7,11,6,6,14,10,5,9,6,7,9,5,9,3,9,10,1,0,Uttar Pradesh-Dibiyapur,Dibiyapur
8,Dhirendra Singh Gautam,Aazad Samaj Party (Kanshi Ram),18,23,10,19,11,10,12,19,8,7,7,19,13,22,5,11,27,10,9,2,14,6,11,3,16,4,9,12,5,0,Uttar Pradesh-Dibiyapur,Dibiyapur
9,Sadhana,Sabka Dal United,11,9,19,8,21,10,13,10,7,9,10,9,4,11,7,11,9,14,6,9,30,7,14,7,6,6,22,19,1,0,Uttar Pradesh-Dibiyapur,Dibiyapur
10,Ashrit Prakash Darshan,Independent,34,11,2,12,7,13,13,13,5,14,10,33,10,12,11,13,6,7,10,22,26,13,11,9,13,15,15,13,0,0,Uttar Pradesh-Dibiyapur,Dibiyapur
11,Lakhan Singh,Independent,27,16,27,27,26,32,18,22,10,22,16,21,24,13,16,16,19,18,30,34,59,39,24,23,30,27,20,28,2,0,Uttar Pradesh-Dibiyapur,Dibiyapur
12,NOTA,None of the Above,48,27,28,42,38,68,23,42,26,33,26,33,28,33,29,26,26,25,34,35,40,28,27,30,41,28,27,33,3,0,Uttar Pradesh-Dibiyapur,Dibiyapur
