O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,state_city,constituency_from_link
1,ARVIND KUMAR,Samajwadi Party,2739,2806,3091,1519,1914,2425,1874,1896,2502,2236,2995,1702,2226,1748,2043,2054,1714,1874,1882,2039,1764,1918,1267,2954,344,Uttar Pradesh-Obra,Obra
2,RAMRAJ,Indian National Congress,178,271,419,156,160,152,85,208,317,678,180,145,178,245,195,142,105,112,172,96,65,52,87,99,16,Uttar Pradesh-Obra,Obra
3,SUBHASH KHARWAR,Bahujan Samaj Party,2077,1506,702,689,222,340,186,880,875,1138,402,1268,957,1541,2327,292,1673,262,470,212,224,298,133,1412,10,Uttar Pradesh-Obra,Obra
4,SANJEEV KUMAR,Bharatiya Janata Party,3223,3711,2762,3433,2350,3703,3048,4237,2017,1991,2976,2032,3193,3392,3714,2873,3584,3977,3482,3931,3874,4346,3817,2512,65,Uttar Pradesh-Obra,Obra
5,UMASHANKAR,Vikassheel Insaan Party,84,101,138,120,14,130,95,241,95,218,120,22,72,170,207,41,50,35,72,40,21,34,24,39,0,Uttar Pradesh-Obra,Obra
6,RAMAKANT,Aam Aadmi Party,30,60,62,45,10,38,39,160,77,73,66,20,42,107,86,30,42,40,56,25,11,26,25,23,2,Uttar Pradesh-Obra,Obra
7,RAKESH KUMAR GOND,Suheldev Bharatiya Samaj Party,52,33,50,37,2,13,15,75,74,74,42,36,42,74,114,10,36,17,29,8,7,9,11,24,2,Uttar Pradesh-Obra,Obra
8,OMPRAKASH,Independent,40,38,37,42,11,30,23,93,50,79,49,12,48,77,104,10,23,8,28,10,4,8,8,27,1,Uttar Pradesh-Obra,Obra
9,NOTA,None of the Above,131,132,181,144,46,87,87,297,194,262,223,39,146,231,367,50,61,52,83,38,27,47,36,105,11,Uttar Pradesh-Obra,Obra
