O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,AGAM KUMAR MAURYA,Samajwadi Party,4099,4660,5890,7310,4375,5383,4004,2826,2025,2341,2374,2047,3347,1681,2326,2466,1731,1745,2254,3928,3804,1314,2283,2792,2593,2911,1600,1871,2676,2314,2657,1507,2366,1530,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
2,ALKA SINGH,Indian National Congress,40,40,40,33,43,31,54,26,28,52,25,32,61,47,72,38,60,23,28,32,30,63,60,57,30,74,23,65,33,57,63,47,52,15,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
3,ASHISH PATEL,Bahujan Samaj Party,880,187,125,290,487,825,1166,1897,1354,1732,625,1202,488,729,750,814,472,484,387,597,473,453,678,368,615,382,781,449,569,683,519,392,378,384,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
4,DR. RAGHAVENDRA SHARMA,Bharatiya Janata Party,2771,2631,1408,640,3001,1738,2881,3499,2740,2291,3039,4547,3796,4558,4544,4369,4864,4276,3699,2141,2855,4744,4127,2787,2843,4132,3370,4809,3899,4063,4010,5485,3879,627,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
5,SATISH KUMAR SINGH,Communist Party of India,27,22,10,9,30,28,40,47,23,28,82,108,43,31,37,72,81,73,60,39,38,62,66,37,37,55,28,60,39,53,44,83,71,18,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
6,AHMAD HUSAIN,Aazad Samaj Party (Kanshi Ram),4,10,6,9,8,7,12,10,10,11,12,11,12,7,15,14,11,11,10,8,7,12,6,4,9,4,3,6,7,6,13,12,15,6,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
7,TOUFEEQ,All India Majlis-E-Ittehadul Muslimeen,103,237,514,661,84,287,100,35,29,11,6,36,101,53,45,60,9,12,13,64,46,11,8,33,7,23,3,7,32,53,108,14,49,2,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
8,PAPPU SAGAR,Aam Aadmi Party,7,4,3,4,4,3,6,4,3,8,9,8,5,12,11,8,12,1,1,3,1,9,5,14,5,6,0,7,8,3,7,2,9,2,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
9,PRITI KASHYAP,Rashtriya Mazdoor Ekta Party,16,6,9,11,9,12,25,13,13,5,15,12,13,2,12,14,28,13,15,11,10,8,12,3,10,12,8,10,16,50,13,12,15,3,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
10,ABDUL FAHIM,Independent,3,13,4,3,12,5,14,15,6,13,23,12,8,4,7,10,18,14,11,3,10,11,12,3,9,5,4,13,7,7,15,19,9,5,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
11,DEVENDRA KUMAR,Independent,10,1,3,5,7,7,12,7,7,5,12,26,10,6,9,12,17,7,5,1,8,14,11,7,6,12,7,14,7,17,15,13,17,2,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
12,MANOJ SINGH,Independent,10,10,3,3,19,12,21,26,20,23,33,26,22,8,16,24,27,22,5,12,23,44,20,12,30,39,7,26,27,30,37,33,28,7,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
13,SURESH GIRI,Independent,13,7,3,6,12,9,16,18,21,22,14,27,7,7,9,30,21,24,12,11,11,21,19,2,18,10,13,17,17,21,18,21,14,8,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
14,SANGH PRIYA,Independent,9,4,3,7,9,15,12,15,4,17,5,14,8,2,8,10,8,11,7,6,11,8,10,11,15,12,7,13,6,9,16,6,12,7,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
15,NOTA,None of the Above,57,22,33,42,36,45,32,36,29,39,62,40,33,32,39,33,35,36,29,28,35,37,34,32,42,45,29,38,45,44,49,41,54,20,Uttar Pradesh-Bithari Chainpur,Bithari Chainpur
