O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,MANISH ASIJA,Bharatiya Janata Party,6025,6610,5314,4404,3055,152,40,46,2594,4786,2975,4190,3398,5805,5559,5250,925,941,1925,72,1020,47,301,4356,5281,4844,4310,4923,6405,5178,3348,4589,3470,Uttar Pradesh-Firozabad,Firozabad
2,SHAZIA HASAN,Bahujan Samaj Party,295,192,508,557,1330,1423,1013,1833,1880,739,913,717,1198,409,30,273,3043,3244,1444,1389,1190,901,3234,1765,1041,279,1895,808,225,425,1097,1891,307,Uttar Pradesh-Firozabad,Firozabad
3,SAIFURRAHAMAN URF CHHUTTAN BHAI,Samajwadi Party,986,838,2467,1074,2616,5396,5699,4978,3623,2792,3576,2643,3621,1103,262,526,2508,2959,3453,4825,3405,3841,4250,613,606,639,1658,624,1467,1116,2272,1038,1618,Uttar Pradesh-Firozabad,Firozabad
4,SANDEEP TIWARI,Indian National Congress,79,80,45,39,56,19,19,22,24,11,32,49,43,27,25,20,36,25,18,24,15,23,32,19,33,28,29,37,81,29,18,65,42,Uttar Pradesh-Firozabad,Firozabad
5,JAYPAL,Bharatiya Subhash Sena,4,2,0,3,3,1,5,6,7,2,3,2,5,3,11,3,6,8,2,4,5,11,10,10,5,11,5,7,1,5,6,3,6,Uttar Pradesh-Firozabad,Firozabad
6,NEETU SINGH SISODIYA,Aam Aadmi Party,18,19,9,18,9,5,11,7,10,10,5,12,7,10,29,23,28,23,14,12,9,22,23,21,29,11,17,11,14,21,10,19,11,Uttar Pradesh-Firozabad,Firozabad
7,BABLOO SINGH RATHORE URF GOLDEE,All India Majlis-E-Ittehadul Muslimeen,35,41,98,277,352,752,1316,1173,699,385,141,60,209,172,266,110,844,1183,1539,1503,1265,1908,977,521,230,174,60,344,22,1160,641,69,351,Uttar Pradesh-Firozabad,Firozabad
8,BALVEER SINGH SHANKHAWAR,Moulik Adhikar Party,6,6,3,16,7,10,24,10,20,10,10,5,13,11,10,10,11,24,14,28,11,10,21,13,9,18,5,11,10,22,27,11,17,Uttar Pradesh-Firozabad,Firozabad
9,MOOL CHANDRA,Bhartiya Shakti Chetna Party,9,3,2,10,4,1,6,7,9,11,1,3,10,12,35,11,6,5,6,1,3,7,20,13,12,9,15,22,3,9,8,6,17,Uttar Pradesh-Firozabad,Firozabad
10,BASEEM,Independent,7,6,7,19,13,8,24,20,22,8,11,15,13,10,10,3,12,20,18,21,15,28,19,20,3,18,12,14,10,9,9,9,22,Uttar Pradesh-Firozabad,Firozabad
11,RAMDAS MANAV,Independent,369,37,93,1326,17,5,22,18,31,18,9,18,54,811,52,40,17,27,13,12,26,16,29,76,43,1262,262,953,32,38,36,243,205,Uttar Pradesh-Firozabad,Firozabad
12,NOTA,None of the Above,32,44,34,46,16,11,24,18,32,25,12,28,27,60,67,59,19,26,42,22,23,21,27,63,50,62,45,38,45,53,49,38,42,Uttar Pradesh-Firozabad,Firozabad
