O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,state_city,constituency_from_link
1,AMRENDRA BHUSHAN,Indian National Congress,31,54,26,21,28,17,35,29,39,27,38,28,19,36,38,56,53,54,66,37,31,56,55,43,79,53,72,69,24,28,41,25,33,39,69,41,48,46,19,1,1,Uttar Pradesh-Khalilabad,Khalilabad
2,AFTAB ALAM,Bahujan Samaj Party,1497,1326,1405,1259,1146,1415,1685,1230,1406,1692,1197,1363,1662,1424,1279,1652,1878,1922,1389,2038,1439,1850,2178,2084,1762,2084,1458,1545,298,451,1286,1899,960,1873,1911,1417,827,1643,956,150,100,Uttar Pradesh-Khalilabad,Khalilabad
3,ANKUR TIWARI,Bharatiya Janata Party,1067,1636,1519,577,808,719,1360,512,700,665,2249,1726,1144,2107,2299,2746,2862,3217,2798,2165,1964,2314,2003,2076,2648,2467,2399,2794,2307,2466,2845,1539,2661,2586,3118,1876,1061,2095,1712,25,1,Uttar Pradesh-Khalilabad,Khalilabad
4,DIGVIJAY NARAYAN,Samajwadi Party,1865,1774,2081,2486,2856,2565,2247,2082,2686,1939,1122,835,1819,2586,1900,1660,1481,975,1357,1716,1129,1190,1062,1346,1306,1171,869,979,1033,1874,1274,1448,1525,1649,1298,1341,1068,1948,947,139,75,Uttar Pradesh-Khalilabad,Khalilabad
5,DR MOHAMMAD AYUB,Peace Party,955,689,560,931,918,407,623,855,995,608,285,424,331,563,114,436,198,199,386,283,447,385,291,461,250,144,144,197,451,871,412,1041,1924,781,229,291,104,92,24,26,25,Uttar Pradesh-Khalilabad,Khalilabad
6,GIRIJA SHANKER,Rashtriya Bhagidari Party,7,13,5,10,5,9,10,15,10,10,160,23,10,22,14,87,25,49,32,10,17,15,77,79,80,11,52,15,4,7,142,56,14,129,164,35,6,70,5,0,0,Uttar Pradesh-Khalilabad,Khalilabad
7,MOHAMMAD ALI,Indian National League,16,12,13,15,10,6,22,18,15,10,23,10,16,22,17,12,15,18,31,17,14,16,20,35,31,29,20,19,6,20,21,16,10,24,22,24,18,21,5,1,0,Uttar Pradesh-Khalilabad,Khalilabad
8,SUBODH CHANDRA,Aam Aadmi Party,47,159,260,45,222,75,44,37,97,54,295,396,95,392,179,248,473,622,967,430,218,347,951,1729,1689,1393,1461,1230,663,542,548,583,212,681,1024,1552,2662,1700,800,1,0,Uttar Pradesh-Khalilabad,Khalilabad
9,AKHILESH,Independent,8,6,8,4,8,8,13,10,6,5,16,4,10,13,10,17,16,15,22,10,9,15,26,24,17,21,15,10,5,4,16,4,13,23,13,13,11,23,14,0,0,Uttar Pradesh-Khalilabad,Khalilabad
10,IFTEKHAR AHMAD,Independent,11,10,12,7,6,6,9,6,6,3,13,5,4,8,12,6,5,8,11,6,9,13,17,12,16,14,1,8,3,1,5,16,13,15,5,13,9,13,3,0,0,Uttar Pradesh-Khalilabad,Khalilabad
11,NIYAZ,Independent,10,13,9,8,16,5,18,10,9,9,14,14,4,11,15,18,14,12,25,17,13,6,23,15,20,12,12,5,4,4,14,6,11,14,18,22,7,19,10,0,0,Uttar Pradesh-Khalilabad,Khalilabad
12,RAVINDRA KUMAR YADAV,Independent,27,29,19,5,15,10,13,18,11,18,54,32,13,27,30,27,35,31,37,21,35,30,31,28,44,22,28,16,3,9,23,16,13,27,32,30,18,32,12,1,0,Uttar Pradesh-Khalilabad,Khalilabad
13,SHYAMLAL,Independent,15,21,15,9,7,9,24,23,16,16,38,17,9,19,14,29,29,36,21,28,17,28,36,23,53,28,27,18,3,4,14,20,6,33,25,20,11,26,8,0,0,Uttar Pradesh-Khalilabad,Khalilabad
14,NOTA,None of the Above,17,22,34,19,15,21,20,28,21,19,43,28,17,41,48,44,35,46,44,21,33,35,38,45,54,53,37,38,12,16,38,21,30,47,38,37,25,48,25,2,1,Uttar Pradesh-Khalilabad,Khalilabad
