O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,state_city,constituency_from_link
1,ZAHID,Samajwadi Party,1750,2895,2029,1789,2512,2517,2288,1885,2634,2126,1162,1913,2303,2425,2711,2588,2435,4090,2498,2821,6174,4710,4988,4766,3847,1681,2214,2019,3277,2682,3576,2581,2482,2136,2891,2167,213,221,Uttar Pradesh-Bhadohi,Bhadohi
2,RAVINDRA NATH TRIPATHI,Bharatiya Janata Party,2588,2560,2174,2868,2295,3086,2986,2455,2479,2620,3063,2271,1736,2676,2226,2830,2259,2342,2746,4669,1031,1956,2435,2798,2627,4120,2249,2412,3248,3188,2369,3040,2743,2451,2760,2753,130,317,Uttar Pradesh-Bhadohi,Bhadohi
3,VASIM ANSARI,Indian National Congress,70,73,62,89,100,99,94,79,73,79,52,69,33,74,52,52,56,78,62,69,39,46,80,58,52,84,47,62,48,63,39,60,72,42,55,68,11,5,Uttar Pradesh-Bhadohi,Bhadohi
4,HARISHANKAR (DADA CHAUHAN),Bahujan Samaj Party,1306,578,1209,1475,1356,1128,1008,1642,1513,1057,1096,1541,1300,778,937,1242,1473,1312,1391,1470,172,505,582,201,760,951,1773,1116,1377,1852,960,1070,825,993,1067,1353,258,3,Uttar Pradesh-Bhadohi,Bhadohi
5,KALADHAR,Aam Aadmi Party,18,12,27,25,29,20,14,19,20,17,14,23,36,35,25,22,28,23,26,40,8,11,10,5,10,17,21,20,20,32,54,15,14,11,16,19,4,2,Uttar Pradesh-Bhadohi,Bhadohi
6,DIYAM SINGH 'GAHARWAR',Janata Dal (United),22,10,7,12,26,8,16,18,11,21,29,5,13,22,17,7,19,43,61,80,31,4,10,5,10,18,19,142,33,38,20,22,4,19,31,23,0,3,Uttar Pradesh-Bhadohi,Bhadohi
7,PANKAJ KUMAR DWIVEDI,Lok Dal,12,13,14,11,4,14,11,22,13,15,6,23,13,19,18,46,14,21,15,27,8,10,16,10,3,11,12,11,25,20,11,16,8,10,13,7,1,4,Uttar Pradesh-Bhadohi,Bhadohi
8,MAHESH KUMAR,Swarna Bharat Party,10,8,9,7,10,12,8,10,7,8,2,8,2,3,7,8,10,15,11,10,4,3,5,5,5,4,7,11,12,12,7,3,2,4,13,5,1,0,Uttar Pradesh-Bhadohi,Bhadohi
9,RAVISHANKAR,All India Majlis-E-Ittehadul Muslimeen,34,132,37,12,34,63,135,13,13,25,6,14,21,24,19,10,68,85,10,36,794,339,323,223,141,17,8,13,7,183,91,110,21,14,34,10,1,0,Uttar Pradesh-Bhadohi,Bhadohi
10,SHYAM PAL,Rashtriya Samaj Paksha,33,17,52,15,11,22,11,17,15,19,11,31,31,32,14,26,21,13,12,22,4,10,18,10,10,25,22,27,21,12,12,24,17,12,11,17,2,1,Uttar Pradesh-Bhadohi,Bhadohi
11,SHWETA KUMARI,Jan Adhikar Party,31,25,51,48,16,36,26,11,35,38,14,28,30,21,52,43,31,24,107,43,12,8,8,41,31,115,26,128,101,55,66,18,21,24,70,33,10,3,Uttar Pradesh-Bhadohi,Bhadohi
12,BINDU,Independent,29,9,26,31,22,28,6,13,21,33,18,30,23,21,31,25,18,20,23,30,13,13,11,10,17,23,23,30,36,31,20,25,22,19,15,17,0,2,Uttar Pradesh-Bhadohi,Bhadohi
13,NOTA,None of the Above,68,49,63,73,79,77,37,45,45,73,35,81,76,70,73,62,59,52,55,89,28,47,43,61,44,79,51,62,92,65,47,43,59,65,47,32,4,11,Uttar Pradesh-Bhadohi,Bhadohi
