O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,state_city,constituency_from_link
1,AMITABH BAJPAI,Samajwadi Party,2614,2183,3053,2261,1681,1627,1725,1118,2266,3396,6639,1534,6598,6924,6495,6431,5873,2156,2875,3332,4349,1111,352,Uttar Pradesh-Arya Nagar,Arya Nagar
2,TONI JAISWAL,Bahujan Samaj Party,95,91,83,38,24,37,42,19,33,35,19,39,19,17,26,40,39,366,87,31,181,3,7,Uttar Pradesh-Arya Nagar,Arya Nagar
3,PRAMOD KUMAR,Indian National Congress,184,135,189,173,159,97,167,227,162,163,83,199,126,137,159,88,112,215,157,151,169,8,24,Uttar Pradesh-Arya Nagar,Arya Nagar
4,SURESH AWASTHI,Bharatiya Janata Party,3719,3742,3365,4362,5561,4475,4966,5906,5219,4060,808,5910,1640,49,86,294,918,4122,3982,3244,2068,42,168,Uttar Pradesh-Arya Nagar,Arya Nagar
5,ANUJ KUMAR SHUKLA,Aam Aadmi Party,38,45,43,38,20,29,43,56,44,31,84,57,29,6,10,22,18,62,49,50,32,1,4,Uttar Pradesh-Arya Nagar,Arya Nagar
6,GUDDI DIXIT,RASHTRIYA VIKLANG PARTY,4,5,9,5,4,3,6,2,3,1,1,3,2,0,4,0,2,5,11,4,3,0,0,Uttar Pradesh-Arya Nagar,Arya Nagar
7,PAWAN KUMAR TIWARI,Independent,5,4,2,1,3,6,3,5,6,5,3,11,4,1,3,2,2,4,11,5,5,0,0,Uttar Pradesh-Arya Nagar,Arya Nagar
8,NOTA,None of the Above,26,23,33,18,27,12,31,37,28,22,24,32,13,18,26,16,14,52,31,26,28,5,1,Uttar Pradesh-Arya Nagar,Arya Nagar
