O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,Pankaj Kumar Malik,Samajwadi Party,827,932,2035,4320,3665,5604,6713,3841,3771,3702,3930,2946,2883,3108,2118,2015,2902,3616,4613,5517,4881,3565,5839,4803,2996,3576,2350,Uttar Pradesh-Charthawal,Charthawal
2,Yasmeen Rao,Indian National Congress,29,28,40,22,20,28,26,23,47,51,56,51,41,38,22,33,27,17,38,35,33,33,39,40,48,68,23,Uttar Pradesh-Charthawal,Charthawal
3,Sapna Kashyap,Bharatiya Janata Party,4708,6710,4745,3051,3891,2298,1862,2828,3049,3237,3227,4629,4867,3708,4458,4996,3228,3874,2294,2769,2855,3196,841,3338,3809,2200,981,Uttar Pradesh-Charthawal,Charthawal
4,Salman Sayeed,Bahujan Samaj Party,1118,464,1329,511,1485,1303,617,1110,1656,1578,956,689,555,1019,604,739,545,90,698,563,724,1725,360,589,1669,1805,569,Uttar Pradesh-Charthawal,Charthawal
5,Kapil Kumar,Rashtriya Samaj Paksha,9,7,12,4,6,23,8,5,25,16,32,14,4,13,10,37,11,7,9,7,8,35,6,9,12,30,7,Uttar Pradesh-Charthawal,Charthawal
6,Tarun Singh,Aazad Samaj Party (Kanshi Ram),4,5,13,5,7,35,7,7,36,25,174,16,7,9,9,80,25,8,11,9,6,69,18,15,10,49,12,Uttar Pradesh-Charthawal,Charthawal
7,Tahir Husain Ansari,All India Majlis-E-Ittehadul Muslimeen,3,6,22,174,71,117,376,144,97,120,70,78,72,9,11,6,70,134,50,79,156,131,639,297,116,132,52,Uttar Pradesh-Charthawal,Charthawal
8,Yawar Roshan,Aam Aadmi Party,4,3,7,1,3,1,8,3,6,2,2,2,3,1,2,3,2,4,3,3,4,4,3,3,6,10,2,Uttar Pradesh-Charthawal,Charthawal
9,Sangeeta,Jai Samta Party,3,5,2,3,6,6,4,8,8,6,11,2,5,4,3,9,3,2,3,4,0,8,0,4,7,6,3,Uttar Pradesh-Charthawal,Charthawal
10,Ajay Kashyap,Independent,6,14,12,4,6,7,16,6,11,10,5,11,11,5,3,5,2,4,4,7,8,8,6,4,8,19,5,Uttar Pradesh-Charthawal,Charthawal
11,Abhishek,Independent,14,29,12,4,10,11,8,23,8,14,15,14,14,17,10,12,7,11,11,12,4,18,7,10,17,20,5,Uttar Pradesh-Charthawal,Charthawal
12,Chanderveer,Independent,17,24,22,13,12,12,9,11,9,18,18,21,13,19,13,28,16,19,16,15,13,20,5,16,28,21,7,Uttar Pradesh-Charthawal,Charthawal
13,Saleem Malik,Independent,9,12,12,10,13,16,13,6,13,12,10,13,24,12,6,16,8,10,8,12,9,26,11,18,16,22,10,Uttar Pradesh-Charthawal,Charthawal
14,NOTA,None of the Above,26,21,27,21,25,37,40,27,26,38,56,32,40,22,23,28,26,26,55,41,34,35,18,28,40,47,35,Uttar Pradesh-Charthawal,Charthawal
