O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,KRISHNA PRATAP SINGH K.P.,Bharatiya Janata Party,632,555,504,392,578,481,385,333,354,645,504,479,736,420,423,677,631,792,581,415,477,587,582,478,826,614,810,854,1201,470,641,133,Uttar Pradesh-Malhani,Malhani
2,PUSHPA SHUKLA,Indian National Congress,24,35,37,36,29,21,42,12,37,41,43,42,42,53,51,57,37,48,28,115,49,47,41,44,62,81,88,59,40,39,47,13,Uttar Pradesh-Malhani,Malhani
3,LUCKY YADAV,Samajwadi Party,1240,1635,2423,3453,2429,2006,2551,1558,3782,2790,4883,3416,2960,4925,4820,3863,2765,3380,2873,3374,3608,2505,3101,2956,4295,3651,2684,3571,2388,2923,1869,1107,Uttar Pradesh-Malhani,Malhani
4,SHAILENDRA YADAV,Bahujan Samaj Party,498,898,591,722,693,591,621,547,472,1121,184,859,426,837,871,735,898,957,940,685,670,1155,824,985,614,799,813,1029,1028,1162,327,290,Uttar Pradesh-Malhani,Malhani
5,AVANISH TIWARI PRINCE,Log Party,16,20,21,22,33,21,18,21,54,33,19,35,18,17,35,22,24,29,22,16,10,12,29,28,19,22,19,24,38,26,23,8,Uttar Pradesh-Malhani,Malhani
6,JAY PRAKASH,Aam Aadmi Party,83,70,59,66,121,93,101,106,94,83,59,109,65,55,79,115,95,72,71,109,74,93,102,105,70,69,120,60,95,103,66,33,Uttar Pradesh-Malhani,Malhani
7,DHANANJAY SINGH,Janata Dal (United),2816,2399,2477,2114,3311,3251,3946,4182,2253,2238,1746,2565,1962,1701,1948,2462,2356,2048,3137,2163,2145,2547,2885,3017,2387,2624,2439,2003,3148,2828,1613,627,Uttar Pradesh-Malhani,Malhani
8,NAVEEN KUMAR,Voters Party International,16,16,33,15,17,24,25,20,30,21,14,18,14,20,17,24,21,12,15,24,15,26,25,19,23,23,23,20,34,25,12,12,Uttar Pradesh-Malhani,Malhani
9,MANOJ YADAV,Bahujan Mukti Party,5,15,10,11,13,16,16,10,8,5,4,13,12,15,10,11,16,6,7,10,12,15,16,17,9,7,15,12,13,18,12,7,Uttar Pradesh-Malhani,Malhani
10,RAHUL SINGH,Bharat Swabhiman Party,21,20,16,20,22,20,24,14,13,17,13,19,10,20,23,21,20,17,15,15,15,31,67,29,14,25,15,29,30,21,9,11,Uttar Pradesh-Malhani,Malhani
11,VISHAL PANDEY,Bhartiya Dharmanirpeksha Party,8,18,19,24,20,16,13,16,21,17,19,18,25,25,30,31,18,18,14,22,15,18,18,27,21,20,18,26,25,30,18,11,Uttar Pradesh-Malhani,Malhani
12,MUSTAKIM,Independent,21,16,26,16,17,14,17,13,14,34,17,28,23,15,35,19,20,18,9,17,23,18,22,24,19,23,13,31,20,27,17,8,Uttar Pradesh-Malhani,Malhani
13,NOTA,None of the Above,27,29,29,18,55,36,29,25,26,36,32,44,39,41,69,67,31,25,48,24,36,55,43,51,61,38,48,54,83,58,44,29,Uttar Pradesh-Malhani,Malhani
