O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,ANIL KUMAR,Bahujan Samaj Party,2349,1757,994,1292,722,1045,2814,2411,2357,1818,251,1822,1358,1845,2548,1248,591,269,192,1291,2411,1933,1374,956,1887,684,773,674,1637,484,440,12,71,Uttar Pradesh-Bilari,Bilari
2,KALPANA SINGH,Indian National Congress,43,66,50,27,33,34,40,34,36,26,32,36,473,33,26,28,22,23,13,34,27,23,31,12,17,28,40,40,31,31,14,1,2,Uttar Pradesh-Bilari,Bilari
3,PARMESHWAR LAL,Bharatiya Janata Party,3799,4151,2238,2663,2793,2444,3237,4100,3051,3170,2540,2610,2817,2057,3238,2200,3670,4325,938,3200,3407,2321,1946,2062,1840,1399,3438,4500,2728,2552,1347,267,455,Uttar Pradesh-Bilari,Bilari
4,MOHAMMAD FAHEEM IRFAN,Samajwadi Party,1583,1341,3235,3308,2603,3022,1062,1325,2617,2623,4921,2444,2539,2881,1961,4712,3968,3048,5687,3400,1755,3257,4601,4396,3885,5366,3335,1618,2393,4648,1067,342,40,Uttar Pradesh-Bilari,Bilari
5,KHALID ZAMAN,All India Majlis-E-Ittehadul Muslimeen,21,58,449,114,442,63,27,50,86,85,599,124,256,89,151,1208,647,357,1318,398,61,101,440,622,671,604,54,26,31,47,21,12,1,Uttar Pradesh-Bilari,Bilari
6,PRAKASH CHANDRA,Aam Aadmi Party,42,26,32,26,25,26,23,134,23,24,27,21,21,13,26,25,14,23,13,31,23,15,29,11,20,18,19,22,28,34,21,1,0,Uttar Pradesh-Bilari,Bilari
7,SHAKIL AHAMAD SABRI,Peace Party,18,25,20,16,16,20,15,25,10,11,13,24,10,13,12,7,6,20,27,17,9,11,19,12,13,10,12,23,12,12,8,0,1,Uttar Pradesh-Bilari,Bilari
8,NOTA,None of the Above,59,49,64,46,31,53,36,62,47,41,42,52,45,57,52,66,27,21,44,38,40,53,48,31,32,44,52,42,54,43,35,8,2,Uttar Pradesh-Bilari,Bilari
