O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,MOHAMMAD SHAFI,Bahujan Samaj Party,125,183,77,44,44,66,245,86,205,139,101,91,283,146,283,244,264,40,81,77,42,37,85,87,190,48,18,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
2,MOHAMMAD HASAN,Samajwadi Party,1716,1483,2416,4843,5089,3327,1549,2276,3303,5642,6492,5551,3567,3812,2021,1456,1692,5839,3512,4159,5924,6335,6642,2765,1784,355,721,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
3,RAGHUNANDAN SINGH BHADAURIYA,Bharatiya Janata Party,3826,3351,3372,2043,2461,3653,4469,4681,3434,1399,450,920,3670,3155,5388,4744,4197,475,2879,2325,939,84,885,3786,6048,1273,354,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
4,SOHIL AKHTAR ANSARI,Indian National Congress,475,330,1304,838,1404,248,380,309,307,244,275,335,483,319,362,353,410,889,609,454,691,626,561,328,537,89,42,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
5,ASHISH SHUKLA,Bhartiya Samta Party,13,12,11,4,6,7,9,8,10,12,10,7,14,8,11,4,5,4,3,6,5,8,5,7,13,6,2,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
6,JAMSED,Jan Abhiyan Party,2,5,2,2,3,2,2,0,4,4,4,3,8,7,6,4,2,2,2,2,0,3,2,3,2,3,0,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
7,MUKESH PAL,Rashtriya Samaj Paksha,4,11,3,3,5,3,7,17,8,25,3,5,6,4,7,3,2,2,0,3,3,0,3,2,2,4,0,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
8,MOHD MERAJ,Rashtriya Ulama Council,4,6,5,4,8,5,4,5,7,3,3,0,3,2,5,4,1,2,4,10,8,8,5,4,1,5,0,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
9,MOINUDDIN,All India Majlis-E-Ittehadul Muslimeen,12,12,20,36,37,22,7,13,37,77,166,89,68,39,6,6,11,96,64,27,77,51,76,31,18,9,2,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
10,RAMESH,Akhil Bharatiya Socialist Party,6,5,9,6,4,8,3,6,6,9,11,5,4,7,6,9,2,5,2,6,6,11,7,11,20,3,1,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
11,RASHID JAMAL,Aam Aadmi Party,35,28,20,15,14,18,37,28,23,18,7,23,22,15,37,33,17,12,23,11,8,8,12,25,30,12,3,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
12,DEVI PRASAD,Independent,23,19,5,7,9,11,10,7,6,7,11,3,6,17,10,5,6,9,9,7,9,12,12,10,9,5,2,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
13,NOTA,None of the Above,30,25,29,23,24,28,36,32,33,17,15,12,36,21,49,40,37,17,39,26,16,27,26,18,59,13,3,Uttar Pradesh-Kanpur Cantt.,Kanpur Cantt.
