O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,"Aradhana Mishra, Mona",Indian National Congress,3576,3219,3276,3440,2812,3197,3200,3158,4266,3122,2881,3147,3084,2874,2735,3083,3371,3147,3071,3019,3598,3005,3431,2602,2928,3662,748,Uttar Pradesh-Rampur Khas,Rampur Khas
2,NAGESH PRATAP SINGH URF CHHOTE SARKAR,Bharatiya Janata Party,3001,2827,2791,2828,2672,2854,2785,2960,2776,2878,2902,2799,2363,2454,2511,3144,2983,3062,2169,1954,2232,2355,1990,2867,2789,1898,502,Uttar Pradesh-Rampur Khas,Rampur Khas
3,BANKELAL PATEL,Bahujan Samaj Party,179,89,89,154,162,120,180,130,156,167,88,142,284,297,332,182,214,194,198,193,171,93,469,150,230,154,53,Uttar Pradesh-Rampur Khas,Rampur Khas
4,AJEET,Aam Aadmi Party,15,9,10,14,10,11,17,17,8,12,17,6,12,8,12,10,19,17,13,6,16,7,22,10,23,18,4,Uttar Pradesh-Rampur Khas,Rampur Khas
5,AWADHESH,Apana Dal Balihari Party,8,9,5,9,7,10,8,9,5,7,8,11,6,2,5,7,17,9,13,8,10,10,13,12,19,10,2,Uttar Pradesh-Rampur Khas,Rampur Khas
6,KARAN ALIS KARAN BAHADUR SINGH,Rashtriya Rashtrawadi Party,21,7,4,9,10,16,3,9,8,9,8,6,4,7,3,6,15,9,10,9,8,6,9,8,18,9,1,Uttar Pradesh-Rampur Khas,Rampur Khas
7,DURGESH KUMAR,Lok Dal,15,9,7,10,12,12,6,10,5,9,12,12,8,10,12,7,13,12,11,9,9,9,18,11,23,12,1,Uttar Pradesh-Rampur Khas,Rampur Khas
8,Ravindra Kumar,Sarvodaya Bharat Party,16,15,10,13,16,12,16,20,6,9,13,13,9,16,15,17,16,17,20,14,21,11,17,19,31,16,8,Uttar Pradesh-Rampur Khas,Rampur Khas
9,RAMRAJ SAROJ,Bahujan Mukti Party,21,18,38,24,50,34,18,16,24,58,8,119,51,43,24,28,26,62,53,48,27,49,23,139,343,21,6,Uttar Pradesh-Rampur Khas,Rampur Khas
10,Lalji,Janata Dal (United),12,9,13,10,11,7,13,17,8,8,7,13,2,5,5,11,12,11,12,14,12,11,12,21,19,20,5,Uttar Pradesh-Rampur Khas,Rampur Khas
11,SAMAY NATH,Moulik Adhikar Party,24,15,25,22,22,19,26,29,15,26,16,27,20,19,31,24,23,17,18,28,29,22,33,35,25,37,12,Uttar Pradesh-Rampur Khas,Rampur Khas
12,Surendra Singh,Shiv Sena,24,12,18,19,15,25,20,19,15,17,12,19,8,19,10,20,12,18,27,19,29,16,18,22,25,23,4,Uttar Pradesh-Rampur Khas,Rampur Khas
13,KULDEEP SINGH,Independent,34,17,21,28,18,27,19,24,16,13,14,27,8,23,16,25,23,26,28,19,39,22,36,33,38,48,7,Uttar Pradesh-Rampur Khas,Rampur Khas
14,DEVENDR PRATAP,Independent,65,60,56,64,31,56,63,61,43,45,51,83,38,67,57,59,67,45,50,44,69,55,59,71,66,69,15,Uttar Pradesh-Rampur Khas,Rampur Khas
15,NOTA,None of the Above,114,86,82,100,65,86,106,93,69,62,85,110,53,96,95,104,126,69,88,101,99,101,99,97,98,130,22,Uttar Pradesh-Rampur Khas,Rampur Khas
