O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,RICHA SINGH,Samajwadi Party,3103,3329,2102,3447,1811,2632,2421,1579,2817,2194,2237,2723,2243,2052,1636,1771,1492,2488,1328,2557,4382,2050,3275,2255,3979,4021,3985,5554,4857,2341,2092,2765,663,191,Uttar Pradesh-Allahabad West,Allahabad West
2,GULAM QADIR,Bahujan Samaj Party,240,762,280,175,166,200,248,239,282,315,401,416,363,247,379,113,170,191,139,60,60,204,110,504,24,37,25,38,47,245,419,379,63,34,Uttar Pradesh-Allahabad West,Allahabad West
3,TASLEEM UDDIN,Indian National Congress,65,45,36,29,33,53,65,73,38,63,59,76,88,57,84,34,80,53,58,79,75,55,53,141,156,59,98,105,59,131,58,101,19,10,Uttar Pradesh-Allahabad West,Allahabad West
4,SIDHARTH NATH SINGH,Bharatiya Janata Party,3635,4244,4191,2287,4082,4810,3931,3957,3033,3735,4455,3350,4808,5519,4622,3736,5680,4023,4507,4253,2794,4703,2682,4493,1548,1543,1843,213,1999,3179,4898,3581,1382,667,Uttar Pradesh-Allahabad West,Allahabad West
5,AJEET KUMAR CHAUDHARY,Peoples Party of India (Democratic),63,47,27,27,23,26,28,29,35,51,66,56,72,50,23,12,25,16,17,26,18,20,32,70,9,7,11,7,4,21,68,65,28,6,Uttar Pradesh-Allahabad West,Allahabad West
6,KAMLESH KUMAR SINGH,Parivartan Samaj Party,22,18,18,4,9,13,17,7,5,16,15,25,26,13,4,1,2,5,6,7,5,4,14,24,6,5,5,6,3,5,19,25,5,1,Uttar Pradesh-Allahabad West,Allahabad West
7,DILSHAD AHMAD,National Democratic Peoples Front,21,12,8,6,7,6,2,2,6,9,20,30,22,11,10,1,0,5,3,2,5,3,9,18,5,1,1,2,3,3,9,15,3,0,Uttar Pradesh-Allahabad West,Allahabad West
8,ADV. SUSHMITA RAGHAV,Aam Aadmi Party,17,17,19,16,13,21,26,36,20,21,13,26,20,19,33,16,22,20,18,12,6,21,24,18,9,6,10,6,15,29,11,29,6,0,Uttar Pradesh-Allahabad West,Allahabad West
9,AJAY KUMAR GUPTA,Independent,30,32,17,13,20,11,14,10,10,15,29,27,34,18,14,2,5,5,3,6,5,3,9,34,1,3,2,3,6,11,25,35,7,0,Uttar Pradesh-Allahabad West,Allahabad West
10,KAMAR JAHAN,Independent,20,20,5,5,9,9,12,5,7,12,24,24,24,12,7,8,5,5,2,8,19,5,17,20,3,3,3,1,13,7,17,17,9,1,Uttar Pradesh-Allahabad West,Allahabad West
11,GANESH JI TRIPATHi,Independent,25,13,12,10,7,4,7,7,16,10,26,24,19,26,14,8,6,5,2,6,6,3,11,18,3,1,0,6,2,4,16,17,3,0,Uttar Pradesh-Allahabad West,Allahabad West
12,SAKLAIN MUSHTAK,Independent,27,17,17,9,5,12,9,4,12,12,28,29,29,17,17,1,1,3,4,3,13,4,13,18,0,4,9,2,5,9,12,25,4,0,Uttar Pradesh-Allahabad West,Allahabad West
13,NOTA,None of the Above,58,65,38,40,46,75,35,47,59,62,82,102,102,53,31,23,42,18,38,29,51,36,47,74,14,28,15,30,18,36,43,59,17,1,Uttar Pradesh-Allahabad West,Allahabad West
