O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,Chandni,Indian National Congress,57,70,60,58,34,51,47,61,62,45,55,250,85,74,53,49,356,85,79,77,75,61,87,41,99,54,1,Uttar Pradesh-Sri Nagar,Sri Nagar 
2,Meera Bano,Bahujan Samaj Party,1184,638,1181,867,752,1131,518,1071,816,391,1009,669,302,696,806,432,497,1616,1869,1189,898,591,1096,1035,1138,607,10,Uttar Pradesh-Sri Nagar,Sri Nagar 
3,Manju Tyagi,Bharatiya Janata Party,3765,3841,3993,4579,4149,4272,4081,4416,4105,4926,3975,3887,4023,4096,4500,2436,4162,3915,3703,4000,4940,4996,5455,3652,4832,2978,404,Uttar Pradesh-Sri Nagar,Sri Nagar 
4,Ram Sharan,Samajwadi Party,2931,2724,2709,3103,3376,3288,3788,3546,3310,3173,3558,3612,3813,4554,3886,5394,3037,3310,2991,4200,4377,2772,3019,4237,3347,1872,136,Uttar Pradesh-Sri Nagar,Sri Nagar 
5,Anil Kumar,Aam Aadmi Party,36,29,26,38,32,40,30,44,36,27,39,35,44,50,42,35,39,46,40,51,44,45,46,43,63,21,2,Uttar Pradesh-Sri Nagar,Sri Nagar 
6,Mahavir Singh,Asankhya Samaj Party,11,9,15,22,9,19,13,16,15,29,15,11,53,18,22,11,22,18,26,17,21,23,22,17,27,11,4,Uttar Pradesh-Sri Nagar,Sri Nagar 
7,Satallu,Aazad Samaj Party (Kanshi Ram),19,20,30,27,24,17,29,26,23,23,42,10,32,19,34,26,26,40,34,27,33,18,29,29,35,18,1,Uttar Pradesh-Sri Nagar,Sri Nagar 
8,Parmeshwar Din,Independent,33,25,30,20,25,19,26,26,17,29,25,27,36,41,25,18,27,38,27,31,35,16,34,28,28,9,2,Uttar Pradesh-Sri Nagar,Sri Nagar 
9,Prashant Verma,Independent,21,19,24,20,18,23,17,23,30,25,23,25,47,31,25,26,21,15,34,28,24,25,25,23,43,16,1,Uttar Pradesh-Sri Nagar,Sri Nagar 
10,NOTA,None of the Above,70,54,53,58,33,53,57,70,56,45,71,51,80,70,56,49,73,35,61,53,69,67,93,65,126,46,4,Uttar Pradesh-Sri Nagar,Sri Nagar 
