O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Arti Bajpai,Indian National Congress,163,197,140,121,159,128,208,127,107,121,183,244,390,121,142,121,102,131,236,190,124,232,112,309,173,123,137,217,424,94,Uttar Pradesh-Bangermau,Bangermau
2,Dr. Munna,Samajwadi Party,2037,2687,1999,1994,2319,3077,2707,2191,3556,4819,2412,2671,1192,2456,4455,2584,3284,2555,2162,2107,2008,1635,1599,1683,2159,2793,2203,2766,1756,2951,Uttar Pradesh-Bangermau,Bangermau
3,Ram Kishore Pal,Bahujan Samaj Party,999,499,830,777,946,809,1193,870,650,604,1144,993,787,786,147,350,916,837,778,1254,1092,922,1493,1070,1109,545,850,905,765,544,Uttar Pradesh-Bangermau,Bangermau
4,Shrikant Katiyar,Bharatiya Janata Party,3323,2827,2518,2684,2771,3332,2706,2905,2641,2322,2915,3003,3898,3697,2750,3937,2225,3050,4046,2760,2737,2654,3725,3841,3400,2976,3208,2918,3613,1460,Uttar Pradesh-Bangermau,Bangermau
5,Anil Kumar Mishra,Socialist Party (India),54,36,36,48,33,41,39,38,44,31,45,55,51,59,23,13,21,30,67,43,48,40,72,83,56,48,53,81,68,29,Uttar Pradesh-Bangermau,Bangermau
6,Chand Alam,Aazad Samaj Party (Kanshi Ram),25,14,23,19,24,20,19,22,24,18,37,43,24,18,7,14,23,42,32,28,40,20,38,26,28,36,23,14,39,11,Uttar Pradesh-Bangermau,Bangermau
7,Rizwanullah,Nagrik Ekta Party,35,16,27,44,26,28,55,38,39,48,23,53,34,28,15,19,22,37,41,42,32,35,40,31,35,27,28,34,57,25,Uttar Pradesh-Bangermau,Bangermau
8,Satyendra,Aam Aadmi Party,23,43,40,29,29,32,29,33,38,18,22,20,27,18,25,19,14,37,31,25,29,27,24,25,38,23,28,19,20,11,Uttar Pradesh-Bangermau,Bangermau
9,Abdul Rzzak Mansuri,Independent,31,14,22,30,13,30,34,23,23,26,26,34,19,24,7,13,7,20,36,29,28,33,32,20,30,17,30,15,28,10,Uttar Pradesh-Bangermau,Bangermau
10,Balram,Independent,21,24,13,16,18,19,24,17,24,21,18,22,15,22,11,9,11,22,17,20,7,21,26,13,23,23,64,22,32,14,Uttar Pradesh-Bangermau,Bangermau
11,NOTA,None of the Above,44,47,32,43,36,29,53,50,35,60,46,44,60,32,29,28,21,33,56,25,38,35,64,67,39,51,45,34,60,30,Uttar Pradesh-Bangermau,Bangermau
