O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,ANIL KUMAR,Bahujan Samaj Party,1379,1304,335,405,878,971,1105,576,534,1455,599,893,2814,2069,400,1213,640,1212,1101,574,1030,613,249,56,584,623,1012,595,114,3,Uttar Pradesh-Shikohabad,Shikohabad
2,OM PRAKASH VERMA,Bharatiya Janata Party,2387,2157,2443,4311,4929,5758,5885,7065,4016,4233,2978,2184,907,2495,4398,4926,2422,3535,2955,1641,2234,2636,4274,4937,3401,3185,2104,879,1320,41,Uttar Pradesh-Shikohabad,Shikohabad
3,MUKESH VERMA,Samajwadi Party,4837,4903,6742,4279,1959,2114,1065,1182,2425,2272,4321,4340,4157,2405,2861,1619,4595,3429,4459,6406,3517,3724,2606,2376,3054,3479,3464,6052,6451,325,Uttar Pradesh-Shikohabad,Shikohabad
4,SHASHI SHARMA,Indian National Congress,45,49,33,39,33,56,59,43,45,34,37,49,30,36,26,51,32,38,56,48,64,94,80,79,92,73,43,29,24,2,Uttar Pradesh-Shikohabad,Shikohabad
5,PRITY MISHRA,All India Majlis-E-Ittehadul Muslimeen,45,13,12,16,282,43,47,13,28,52,36,23,10,500,214,36,26,69,23,22,465,393,83,82,15,53,8,9,10,0,Uttar Pradesh-Shikohabad,Shikohabad
6,BASUDEV SHARMA,Bharatiya Subhash Sena,10,8,7,12,15,11,11,5,6,9,8,4,5,13,8,17,8,12,15,6,12,5,9,0,7,1,6,4,7,0,Uttar Pradesh-Shikohabad,Shikohabad
7,RADHEY SHYAM,Bharatiya Kisan Parivartan Party,25,18,30,29,17,21,16,13,19,10,20,19,27,21,15,23,24,12,18,36,15,8,11,9,5,8,8,26,22,2,Uttar Pradesh-Shikohabad,Shikohabad
8,SHEELENDRA KUMAR VERMA,Aam Aadmi Party,22,18,26,46,55,49,33,44,18,24,29,33,29,20,31,37,14,21,34,13,9,16,24,14,20,19,19,19,11,0,Uttar Pradesh-Shikohabad,Shikohabad
9,NOTA,None of the Above,38,28,51,52,55,43,45,54,42,43,33,21,34,70,70,54,38,44,49,41,34,39,27,21,34,21,40,30,27,1,Uttar Pradesh-Shikohabad,Shikohabad
