O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,Arun Vidyarthi Advocate,Indian National Congress,102,117,67,100,127,139,110,107,89,90,74,121,115,88,92,101,103,90,77,110,87,94,90,136,112,120,119,120,117,93,126,95,91,91,4,8,Uttar Pradesh-Manjhanpur,Manjhanpur 
2,Indrajeet Saroj,Samajwadi Party,3249,2900,4315,3518,3671,4148,3524,3378,3818,3323,4289,4176,3517,3820,3696,3333,3719,3518,2884,3371,4150,3857,3298,4397,3648,4081,3085,3513,3607,3495,4150,2449,2031,2444,255,286,Uttar Pradesh-Manjhanpur,Manjhanpur 
3,Neetu Kanojia,Bahujan Samaj Party,852,361,478,626,590,1109,811,1030,803,554,602,629,956,767,1011,642,495,831,620,1132,622,901,942,725,573,622,1023,838,468,623,519,783,791,907,52,105,Uttar Pradesh-Manjhanpur,Manjhanpur 
4,Lal Bahadur,Bharatiya Janata Party,3118,4194,1812,3732,2944,1924,2392,2806,2671,1805,2054,2571,3400,3364,3123,3117,3071,2307,2905,2971,2134,2486,3375,3244,3920,2602,3131,2799,2788,2770,2411,2746,3308,3216,139,123,Uttar Pradesh-Manjhanpur,Manjhanpur 
5,Laakhan Singh Rajpasi,Jan Adhikar Party,87,106,48,73,120,81,75,103,89,92,58,59,112,76,74,79,116,101,79,88,44,70,88,74,81,71,115,57,77,59,117,60,78,68,45,6,Uttar Pradesh-Manjhanpur,Manjhanpur 
6,Balchandra,Independent,26,36,17,24,35,30,42,27,27,19,14,41,34,35,28,31,35,27,36,32,25,30,40,38,43,34,50,35,44,25,28,25,62,33,4,3,Uttar Pradesh-Manjhanpur,Manjhanpur 
7,Radheshyam Chaudhari,Independent,41,40,20,16,26,44,40,40,34,20,18,30,56,23,62,25,32,44,33,42,20,31,41,44,34,20,45,35,30,25,24,20,49,42,1,1,Uttar Pradesh-Manjhanpur,Manjhanpur 
8,Harilal,Independent,45,48,26,20,37,50,45,42,37,22,22,47,50,61,31,31,47,36,33,27,57,40,59,64,64,38,51,36,38,52,51,49,26,27,2,8,Uttar Pradesh-Manjhanpur,Manjhanpur 
9,NOTA,None of the Above,91,86,39,78,100,97,115,83,81,54,45,86,95,79,108,82,66,69,56,71,53,79,107,99,101,90,125,72,117,87,90,59,78,68,3,3,Uttar Pradesh-Manjhanpur,Manjhanpur 
