O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,state_city,constituency_from_link
1,USHA MAURYA,Samajwadi Party,3125,2833,3147,3126,3984,3773,3649,3961,3604,3570,3309,3910,3014,3194,4104,3630,3720,3687,3584,3136,3518,2988,3990,4392,3557,2992,Uttar Pradesh-Husainganj,Husainganj
2,FAREED AHMAD,Bahujan Samaj Party,517,987,495,1201,789,796,885,709,837,536,938,1036,890,802,1165,609,1065,656,705,724,871,494,768,717,919,847,Uttar Pradesh-Husainganj,Husainganj
3,RANVENDRA PRATAP SINGH,Bharatiya Janata Party,2482,2638,3760,2701,2212,2480,2595,3068,2298,2484,2048,2331,2461,2468,2146,1826,2042,1913,3332,3243,3008,3904,2329,1717,2261,2855,Uttar Pradesh-Husainganj,Husainganj
4,SHIVAKANT TIWARI,Indian National Congress,289,377,194,326,260,124,295,126,168,123,114,198,221,638,366,105,171,98,137,138,102,96,101,100,78,91,Uttar Pradesh-Husainganj,Husainganj
5,RAMESH SINGH,Sabka Dal United,21,19,28,32,26,26,32,16,9,24,18,23,28,45,27,8,15,23,44,21,24,30,14,16,25,21,Uttar Pradesh-Husainganj,Husainganj
6,ABDUL RAJIK,Aam Aadmi Party,24,31,25,32,17,33,29,27,79,26,21,25,22,25,21,27,11,17,19,28,28,31,16,23,30,24,Uttar Pradesh-Husainganj,Husainganj
7,MOHAMMAD HARIS,Independent,29,16,31,35,21,22,37,31,21,22,24,24,28,31,35,20,16,18,26,15,26,15,27,30,25,25,Uttar Pradesh-Husainganj,Husainganj
8,NOTA,None of the Above,81,51,64,111,69,76,69,80,57,70,54,84,61,116,74,66,41,35,69,47,80,55,59,54,66,76,Uttar Pradesh-Husainganj,Husainganj
