O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,R-42,state_city,constituency_from_link
1,Ashok Kumar,Bahujan Samaj Party,536,479,853,1316,733,627,728,576,565,722,893,880,1056,1055,781,1245,1160,1574,1463,1353,880,954,826,1241,979,788,1219,878,616,753,1127,1096,1086,793,990,1366,889,1377,616,89,161,42,Uttar Pradesh-Rudhauli,Rudhauli
2,Basant Chaudhary,Indian National Congress,515,161,93,118,152,244,116,57,45,136,78,79,125,94,128,150,85,174,184,144,111,59,93,204,77,44,78,86,36,54,132,39,49,62,70,122,95,104,29,4,11,2,Uttar Pradesh-Rudhauli,Rudhauli
3,Rajendra Prasad Chaudhary,Samajwadi Party,2848,2277,2576,2275,2223,2636,1986,2065,1316,2463,2261,2150,2341,2788,2753,2202,2196,2197,2575,1883,2158,1903,2554,2548,2301,1671,1883,1672,1384,1940,1936,1512,1521,2053,2139,2800,2901,2487,1226,226,225,235,Uttar Pradesh-Rudhauli,Rudhauli
4,Sangeeta Devi Urf Sangeeta Pratap Jaiswal,Bharatiya Janata Party,1879,1941,2132,3125,1929,1912,1501,1775,1412,1982,1346,1770,1735,1474,2211,2994,2002,2429,1266,1739,1591,1692,1467,1678,2612,2166,1413,1364,1589,1868,1462,2348,2094,1292,1498,1902,1060,1643,1114,273,151,41,Uttar Pradesh-Rudhauli,Rudhauli
5,Mohd. Kayoom,Atal Janshakti Party,42,59,58,66,39,37,34,32,29,30,34,39,40,36,51,55,45,49,32,49,25,25,21,25,42,34,32,26,39,29,33,62,50,24,29,32,14,30,28,3,1,1,Uttar Pradesh-Rudhauli,Rudhauli
6,Jai Govind Pandey,Akhil Bharatiya Socialist Party,15,23,28,21,5,21,14,23,54,23,20,32,13,14,16,18,13,19,28,23,7,19,11,8,34,53,56,48,46,39,29,33,30,33,21,19,9,14,10,5,2,0,Uttar Pradesh-Rudhauli,Rudhauli
7,Nihaluddin,All India Majlis-E-Ittehadul Muslimeen,121,76,30,44,25,40,36,37,60,27,49,45,74,29,12,16,85,45,48,47,111,90,120,75,31,84,218,143,303,92,44,64,53,95,63,32,313,296,37,3,1,17,Uttar Pradesh-Rudhauli,Rudhauli
8,Neelam,Log Party,9,13,15,9,15,16,8,5,24,7,7,8,9,8,14,12,11,16,3,6,9,15,7,10,11,13,18,15,22,9,17,15,10,10,12,5,5,7,4,3,0,0,Uttar Pradesh-Rudhauli,Rudhauli
9,Pushkaraditya Singh,Aam Aadmi Party,293,177,253,298,108,128,401,532,2240,374,414,1150,408,229,163,125,126,220,442,464,452,559,430,149,783,2306,1316,1561,1334,1171,1126,962,854,1179,738,246,135,289,178,37,15,2,Uttar Pradesh-Rudhauli,Rudhauli
10,Mahfooj Ali,Peace Party,7,14,15,16,20,21,68,19,16,27,40,24,10,6,10,13,7,11,11,8,8,12,19,4,17,22,18,15,14,22,21,21,11,43,9,4,8,18,6,2,3,0,Uttar Pradesh-Rudhauli,Rudhauli
11,Ajay Pratap,Independent,16,14,29,30,14,15,10,14,18,5,16,15,19,15,12,16,17,13,14,13,7,8,10,7,15,10,15,14,10,15,9,21,7,11,13,12,7,11,8,7,2,0,Uttar Pradesh-Rudhauli,Rudhauli
12,Prem Kumar,Independent,29,27,13,22,13,32,37,13,18,27,16,16,27,16,24,24,15,21,7,14,16,9,17,14,21,18,14,19,14,23,12,14,30,10,16,10,14,12,6,5,0,1,Uttar Pradesh-Rudhauli,Rudhauli
13,Laxmikant Bhatt,Independent,30,19,29,33,16,20,20,14,24,15,22,47,19,22,28,25,21,18,8,19,12,19,29,18,26,14,30,31,18,30,21,29,26,20,23,30,12,15,10,1,1,2,Uttar Pradesh-Rudhauli,Rudhauli
14,Sunil Kumar,Independent,10,12,19,20,7,15,6,13,13,8,13,16,12,19,19,16,16,18,10,10,19,15,15,10,12,13,11,13,12,11,17,17,13,11,11,12,10,6,7,1,1,1,Uttar Pradesh-Rudhauli,Rudhauli
15,NOTA,None of the Above,30,31,43,41,24,22,17,17,42,20,37,25,43,27,33,42,27,36,25,16,18,33,28,32,30,34,31,29,18,25,36,34,31,16,29,42,17,36,12,2,4,1,Uttar Pradesh-Rudhauli,Rudhauli
