O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,KARTAR SINGH BHADANA,Bahujan Samaj Party,1029,755,893,1488,949,1635,952,1385,1365,1043,1519,1429,1471,1815,2647,2364,1005,1592,1403,1413,1127,450,308,305,363,134,290,140,Uttar Pradesh-Khatauli,Khatauli
2,GAURAV KUMAR URF GAURAV BHATI,Indian National Congress,28,94,25,45,58,36,39,37,36,32,38,39,40,37,58,64,20,26,45,45,42,66,84,39,45,54,20,7,Uttar Pradesh-Khatauli,Khatauli
3,RAJPAL SINGH SAINI,Rashtriya Lok Dal,3864,4288,2637,3816,4149,2775,2864,2104,2808,3000,3559,2809,1874,1784,786,2235,2678,3525,1535,1573,2833,2991,4702,6268,4186,6662,1104,566,Uttar Pradesh-Khatauli,Khatauli
4,VIKRAM SINGH,Bharatiya Janata Party,2617,1879,3078,3489,2766,3958,4219,4971,4100,3703,3031,3607,5328,6132,4052,4986,4228,2446,5455,4126,3511,4714,3587,2259,3853,1855,1378,816,Uttar Pradesh-Khatauli,Khatauli
5,BABLU RAM,Bharatiya Sarvodaya Kranti Party,19,22,12,26,19,28,15,32,23,17,18,21,21,32,21,26,32,24,29,17,16,34,20,14,15,31,6,4,Uttar Pradesh-Khatauli,Khatauli
6,MANOJ PANWAR,Aazad Samaj Party (Kanshi Ram),63,21,16,21,55,38,13,41,27,31,19,83,29,23,24,43,11,31,107,25,36,11,29,13,12,10,6,4,Uttar Pradesh-Khatauli,Khatauli
7,RAJU BHATIA,Pichhra Samaj Party,14,9,11,7,8,7,3,7,13,8,12,21,4,6,4,22,5,9,9,7,14,6,1,4,10,11,0,3,Uttar Pradesh-Khatauli,Khatauli
8,SELU,Shiv Sena,20,16,41,13,4,9,16,132,42,12,12,20,9,19,20,15,11,7,21,5,21,27,5,5,9,16,6,4,Uttar Pradesh-Khatauli,Khatauli
9,PRAMOD ARYA,Independent,11,22,13,11,33,25,19,11,18,15,18,26,25,20,10,25,73,31,29,17,29,14,7,8,10,19,1,5,Uttar Pradesh-Khatauli,Khatauli
10,YAJPAL SINGH RATHI,Independent,46,22,17,26,40,26,15,17,20,27,23,17,15,24,9,24,23,23,19,20,20,19,21,19,17,41,6,5,Uttar Pradesh-Khatauli,Khatauli
11,SATYAVEER SINGH,Independent,13,6,6,4,12,11,9,11,9,4,14,16,7,7,3,11,6,6,11,5,8,4,5,4,6,10,1,2,Uttar Pradesh-Khatauli,Khatauli
12,NOTA,None of the Above,26,39,31,51,37,27,27,41,33,31,31,23,24,33,13,63,34,36,44,19,29,22,16,30,20,29,10,3,Uttar Pradesh-Khatauli,Khatauli
