O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,state_city,constituency_from_link
1,ARUN MISHRA,Bahujan Samaj Party,333,346,298,267,380,267,347,363,426,310,415,192,126,149,193,149,236,141,265,327,283,107,230,237,23,72,Uttar Pradesh-Kalyanpur,Kalyanpur
2,NEELIMA KATIYAR,Bharatiya Janata Party,3782,3583,4012,3081,3131,3818,4051,4380,4254,3786,3997,4421,4646,4272,3638,4687,3454,4344,4078,3625,4620,4691,3172,4683,1357,634,Uttar Pradesh-Kalyanpur,Kalyanpur
3,NEHA TIWARI,Indian National Congress,132,93,90,62,52,76,85,72,86,74,94,82,94,92,85,100,78,120,93,69,114,119,104,163,26,24,Uttar Pradesh-Kalyanpur,Kalyanpur
4,SATISH KUMAR NIGAM,Samajwadi Party,3878,3397,3341,3255,3888,3828,3606,3158,3967,3299,3178,2655,2415,2819,3014,3230,3066,2741,3014,3607,2633,1864,3276,2094,522,424,Uttar Pradesh-Kalyanpur,Kalyanpur
5,ANOOP KATIYAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),17,12,10,15,11,12,30,20,18,8,2,15,10,10,7,9,15,18,13,23,14,16,14,9,4,5,Uttar Pradesh-Kalyanpur,Kalyanpur
6,AROON KUMAR,Aam Aadmi Party,38,23,28,22,22,30,30,24,40,22,31,14,42,25,30,39,28,29,20,30,34,37,27,36,8,5,Uttar Pradesh-Kalyanpur,Kalyanpur
7,ASHOK KUMAR,RASHTRIYA VIKLANG PARTY,7,2,0,4,6,7,4,5,3,1,2,3,2,2,2,1,7,6,12,13,21,10,2,3,1,0,Uttar Pradesh-Kalyanpur,Kalyanpur
8,HEERA DEVI,Bhartiya Shakti Chetna Party,14,9,21,23,32,15,17,13,16,8,13,26,19,4,9,8,10,9,16,9,32,19,5,8,3,1,Uttar Pradesh-Kalyanpur,Kalyanpur
9,NOTA,None of the Above,48,30,27,26,25,34,44,36,33,19,34,19,34,27,36,47,45,31,62,46,52,37,36,37,17,1,Uttar Pradesh-Kalyanpur,Kalyanpur
