O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Amrendra,Indian National Congress,68,64,69,43,77,75,91,47,70,69,59,64,64,63,52,60,58,61,65,89,70,63,59,70,284,58,72,70,61,89,58,18,Uttar Pradesh-Hata,Hata
2,MOHAN,Bharatiya Janata Party,4013,4277,4282,3555,4541,4624,3960,3720,4276,3273,3343,3866,3008,3648,3805,3607,3250,4043,4029,3314,3550,3652,3249,3839,4650,4654,3828,3830,3209,4234,3717,1569,Uttar Pradesh-Hata,Hata
3,Ranvijay Singh,Samajwadi Party,1974,1485,1966,1992,1573,1901,1364,2061,1528,2022,1756,2225,2204,1868,1879,1757,1669,2084,1941,2691,1731,2275,2874,2595,1925,1649,1950,1793,1509,1619,1680,1216,Uttar Pradesh-Hata,Hata
4,Shivang Singh,Bahujan Samaj Party,846,588,774,841,668,849,820,516,673,944,1216,1104,798,701,634,561,677,452,339,666,802,392,229,600,680,436,600,503,778,650,913,376,Uttar Pradesh-Hata,Hata
5,Jamshed Alam Beg,Jan Adhikar Party,6,5,8,7,9,8,10,21,11,9,9,14,14,13,11,7,15,7,9,9,11,12,17,19,12,5,53,4,21,15,7,5,Uttar Pradesh-Hata,Hata
6,Mahendra,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),4,6,8,5,2,2,2,13,7,5,4,5,5,6,4,8,3,2,4,2,3,1,5,4,5,5,6,2,5,4,3,4,Uttar Pradesh-Hata,Hata
7,Monika,Aam Aadmi Party,36,193,102,11,19,12,5,19,7,27,3,7,11,31,4,9,4,6,3,21,5,13,5,5,7,6,4,8,8,12,2,1,Uttar Pradesh-Hata,Hata
8,Ranapratap,Bhartiya Shakti Chetna Party,13,36,9,7,6,9,9,6,5,11,9,6,9,11,4,7,6,26,7,99,12,9,3,4,8,2,9,5,32,2,6,1,Uttar Pradesh-Hata,Hata
9,Shailendra Pratap Singh Urf Himalay,Right to Recall Party,22,16,21,19,21,30,10,20,31,18,18,18,19,12,18,21,16,12,13,27,16,24,13,5,14,16,17,18,14,17,14,10,Uttar Pradesh-Hata,Hata
10,Shailesh Gupta,Aazad Samaj Party (Kanshi Ram),36,25,17,7,8,30,30,18,21,27,19,26,11,22,18,19,21,18,5,40,51,26,32,13,35,18,17,13,11,16,31,5,Uttar Pradesh-Hata,Hata
11,Kamalesh,Independent,15,25,29,21,15,23,17,15,17,14,20,23,18,21,20,22,14,25,12,27,14,28,18,53,24,11,12,21,13,20,16,7,Uttar Pradesh-Hata,Hata
12,Fanendra,Independent,24,16,23,21,13,19,21,20,17,21,19,28,20,24,27,21,15,21,12,24,23,33,13,14,23,31,16,19,22,16,21,9,Uttar Pradesh-Hata,Hata
13,Rabeesh Singh,Independent,101,105,144,84,177,235,204,84,174,167,116,217,186,600,330,371,290,245,119,116,112,104,55,74,64,127,94,104,200,132,201,28,Uttar Pradesh-Hata,Hata
14,NOTA,None of the Above,42,28,35,39,36,48,32,29,40,40,30,37,34,52,50,53,42,43,48,49,17,52,29,31,33,26,51,34,36,44,43,10,Uttar Pradesh-Hata,Hata
