O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,TEJ NARAYAN,Samajwadi Party,2984,2602,3347,3564,3242,1743,2901,4225,3039,3245,4004,2816,1710,1494,2530,2938,3617,3642,3269,4527,3835,3779,3539,2608,2512,2367,2910,3960,3510,1608,393,Uttar Pradesh-Ayodhya,Ayodhya
2,RAVI PRAKASH,Bahujan Samaj Party,353,296,96,92,75,143,269,133,444,261,519,212,354,108,353,659,367,746,811,1133,1228,1378,762,1311,914,938,1189,787,1142,467,64,Uttar Pradesh-Ayodhya,Ayodhya
3,REETA,Indian National Congress,56,46,54,83,42,35,40,34,58,44,41,61,102,60,50,53,50,58,43,64,128,86,77,123,89,60,135,73,90,51,15,Uttar Pradesh-Ayodhya,Ayodhya
4,VED PRAKASH,Bharatiya Janata Party,3640,3913,4266,4563,5035,5305,4183,3086,4887,4228,4230,5002,5268,4883,3450,4048,3720,3297,2836,1976,3610,2931,3165,2843,2877,2685,3297,3315,3920,1710,616,Uttar Pradesh-Ayodhya,Ayodhya
5,SURYAKANT PANDEY,Communist Party of India,34,27,33,20,21,33,31,13,22,18,32,39,47,39,28,25,23,32,32,23,45,36,34,45,33,43,70,54,38,14,8,Uttar Pradesh-Ayodhya,Ayodhya
6,BRAJENDRA DUTT TRIPATHI,Adarshwaadi Congress Party,10,3,4,5,4,8,7,5,1,9,8,8,16,7,4,5,5,8,11,7,10,8,8,15,8,6,6,19,16,5,0,Uttar Pradesh-Ayodhya,Ayodhya
7,RAMESH KUMAR CHAUBEY,Bhartiya Shakti Chetna Party,7,3,6,5,4,4,6,3,7,0,7,8,13,7,6,5,1,12,11,5,7,10,12,17,48,8,13,9,16,6,1,Uttar Pradesh-Ayodhya,Ayodhya
8,RAJESH KUMAR,Jan Adhikar Party (Loktantrik),26,24,10,18,21,9,45,22,14,28,23,14,23,16,51,34,7,23,29,12,41,97,36,38,15,20,30,14,38,21,1,Uttar Pradesh-Ayodhya,Ayodhya
9,SUBHAM SRIVASTAV,Aam Aadmi Party,6,17,15,17,18,22,13,6,20,17,19,14,13,20,12,46,22,20,16,17,13,21,9,20,12,11,15,15,13,4,2,Uttar Pradesh-Ayodhya,Ayodhya
10,SANJAY SHARMA,Moulik Adhikar Party,14,8,8,11,8,12,25,12,18,10,21,13,21,13,11,20,8,22,33,37,37,44,27,36,43,29,29,32,35,32,3,Uttar Pradesh-Ayodhya,Ayodhya
11,NOTA,None of the Above,36,37,39,29,27,27,39,28,28,38,35,24,44,31,30,43,38,43,48,46,61,44,45,54,55,38,51,78,59,25,18,Uttar Pradesh-Ayodhya,Ayodhya
