O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,RAMRAJ,Bharatiya Janata Party,2067,2486,1976,2004,1791,2557,2423,2204,1959,2173,2983,3331,1925,2103,2106,2495,1631,2742,2508,3140,2009,1609,2341,1969,1880,2220,1921,2009,2299,3326,1880,2591,1813,1658,83,Uttar Pradesh-Jakhanian,Jakhanian 
2,RAM SUKLA RAM,Communist Party of India,50,51,43,45,42,54,61,42,33,31,46,63,55,38,61,31,24,33,40,32,47,43,40,37,24,27,47,38,41,98,35,42,45,36,1,Uttar Pradesh-Jakhanian,Jakhanian 
3,VIJAY KUMAR,Bahujan Samaj Party,1519,1541,1068,1607,1386,1235,1406,2108,1911,1700,1390,1268,1595,1882,1573,1244,1656,1544,1763,900,1966,1171,1203,1540,2072,1397,1585,1420,1807,949,1242,1808,1826,912,135,Uttar Pradesh-Jakhanian,Jakhanian 
4,SUNIL KUMAR,Indian National Congress,48,79,37,58,60,43,69,49,65,87,69,77,36,43,58,55,51,84,84,54,71,20,118,67,42,33,47,44,49,52,33,66,33,25,4,Uttar Pradesh-Jakhanian,Jakhanian 
5,ACHHE LAL BHARTI,Bharat Swabhiman Party,9,8,15,10,8,13,11,16,10,12,12,20,9,14,8,9,4,9,13,5,8,8,13,6,2,5,6,5,9,8,7,6,11,7,2,Uttar Pradesh-Jakhanian,Jakhanian 
6,DEEPAK,Bharatiya Samta Samaj Party,41,45,57,45,57,61,53,31,35,30,52,38,43,57,60,36,34,49,40,28,67,64,21,56,45,27,36,58,63,52,41,57,47,42,7,Uttar Pradesh-Jakhanian,Jakhanian 
7,BEDI,Suheldev Bharatiya Samaj Party,3157,2306,3627,3420,3708,3369,4021,2816,2341,2496,2761,2301,2961,3532,3887,3069,3968,3850,2996,3496,3737,3448,3274,3836,3108,2870,3121,3653,3739,3287,2921,3671,4741,2539,328,Uttar Pradesh-Jakhanian,Jakhanian 
8,RANANJAY,Bhartiya Panchsheel Party,27,16,31,29,25,18,40,17,17,20,25,24,39,36,39,29,25,22,21,22,36,23,31,26,20,26,21,24,31,29,25,15,40,15,1,Uttar Pradesh-Jakhanian,Jakhanian 
9,RAMASHANKAR,Bahujan Mukti Party,13,7,5,6,8,11,23,8,9,6,10,9,14,17,18,11,7,13,11,8,3,9,12,5,10,6,10,9,10,18,3,16,7,3,4,Uttar Pradesh-Jakhanian,Jakhanian 
10,RAMBACHAN RAM,Jan Adhikar Party,19,42,59,23,13,41,31,27,22,56,53,47,33,12,49,31,30,12,16,19,34,16,25,18,13,30,16,19,14,28,11,21,71,20,2,Uttar Pradesh-Jakhanian,Jakhanian 
11,LAKHANDAR,Peoples Party of India (Democratic),25,25,12,25,16,24,30,16,24,19,24,26,30,21,21,31,20,20,19,9,40,13,26,27,24,19,26,20,31,41,17,27,18,12,2,Uttar Pradesh-Jakhanian,Jakhanian 
12,VINAY KUMAR,Aazad Samaj Party (Kanshi Ram),24,19,11,37,41,38,126,62,23,38,39,26,25,24,95,180,56,21,32,8,18,21,22,21,26,47,40,54,29,21,26,28,17,19,1,Uttar Pradesh-Jakhanian,Jakhanian 
13,SOMARU RAM,Aam Aadmi Party,31,23,23,23,14,28,17,36,20,16,29,26,27,15,36,30,19,22,14,12,26,17,23,16,21,16,19,19,31,22,14,28,24,17,0,Uttar Pradesh-Jakhanian,Jakhanian 
14,HARILAL,Marxist Communist Party of India (United),19,19,26,28,20,26,25,48,34,23,24,39,22,25,21,16,16,21,29,22,32,17,17,17,27,14,17,24,22,14,22,16,17,19,1,Uttar Pradesh-Jakhanian,Jakhanian 
15,RAJEEV KUMAR,Independent,15,10,19,6,16,11,18,8,11,15,22,19,13,18,17,14,7,9,16,14,10,6,17,11,14,8,12,12,18,10,12,15,8,8,0,Uttar Pradesh-Jakhanian,Jakhanian 
16,NOTA,None of the Above,40,38,42,44,34,37,55,39,37,42,55,70,64,70,61,35,44,31,37,23,42,50,40,36,50,47,35,41,42,67,33,51,56,48,7,Uttar Pradesh-Jakhanian,Jakhanian 
