O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,PURUSHOTTAM KHANDELWAL,Bharatiya Janata Party,4843,4700,4883,4027,5236,2432,2627,4282,4812,4473,4307,5326,5231,2811,3564,3472,3460,4273,5570,4291,6487,5352,4917,4579,4180,3162,5828,7334,6827,6286,6235,5731,1627,Uttar Pradesh-Agra North,Agra North
2,VINOD BANSAL,Indian National Congress,155,142,152,85,108,117,90,293,189,172,148,172,203,115,149,121,149,215,191,149,221,186,255,240,227,265,292,226,216,203,232,169,63,Uttar Pradesh-Agra North,Agra North
3,SHABBIR ABBAS,Bahujan Samaj Party,1158,686,1778,1312,751,3412,3313,1881,1872,683,656,478,445,1565,1574,2486,2783,1682,361,276,511,413,795,566,2277,4279,979,268,257,702,530,463,89,Uttar Pradesh-Agra North,Agra North
4,GYANENDRA,Samajwadi Party,1186,873,1007,1424,1666,1204,1487,767,768,818,1235,1159,1598,2789,2156,837,806,835,728,529,772,525,2005,2065,775,501,623,531,579,516,548,333,460,Uttar Pradesh-Agra North,Agra North
5,OM PRAKASH RAJPUT,Adarsh Samaj Party,12,2,3,4,11,6,11,3,4,6,2,2,4,8,6,4,9,4,6,1,3,0,7,4,3,9,2,3,3,3,5,2,2,Uttar Pradesh-Agra North,Agra North
6,KAPIL VAJPAI,Aam Aadmi Party,50,53,68,41,44,63,48,97,87,101,105,59,52,24,42,32,48,62,46,53,58,56,28,56,48,95,81,67,59,60,72,55,21,Uttar Pradesh-Agra North,Agra North
7,NEEL,Bharatiya Majdoor Janta Party,5,1,3,5,5,1,6,4,3,2,5,5,3,0,6,7,5,5,2,1,3,3,20,1,6,7,2,4,1,6,0,2,1,Uttar Pradesh-Agra North,Agra North
8,MOHIT AGARWAL,Jan Abhiyan Party,5,1,2,4,5,7,7,3,8,2,4,6,3,11,6,11,8,5,5,2,6,8,4,3,11,5,2,7,4,6,4,6,0,Uttar Pradesh-Agra North,Agra North
9,RAJEEV AGARWAL,Saman Adhikar Party,2,3,2,6,7,4,12,0,2,0,2,5,7,4,4,6,0,6,5,3,0,2,2,4,2,5,3,2,4,1,1,0,0,Uttar Pradesh-Agra North,Agra North
10,NIRANJAN SINGH,Independent,21,0,2,5,6,7,11,6,2,3,8,2,3,5,4,3,6,3,9,3,2,4,4,5,2,9,2,4,4,5,3,4,0,Uttar Pradesh-Agra North,Agra North
11,MANISH,Independent,15,12,20,22,20,15,17,12,7,4,11,17,9,6,19,20,13,8,19,3,12,12,13,14,17,15,6,17,6,16,1,7,1,Uttar Pradesh-Agra North,Agra North
12,VINEET AGARWAL,Independent,11,2,4,13,18,18,21,8,10,2,3,1,3,10,3,13,12,9,4,1,5,4,12,10,21,15,9,5,4,5,5,2,0,Uttar Pradesh-Agra North,Agra North
13,SASHANK AGARWAL,Independent,10,3,7,13,13,3,9,7,3,2,5,7,11,7,8,8,4,3,5,2,10,4,4,12,9,11,2,10,4,7,3,4,0,Uttar Pradesh-Agra North,Agra North
14,NOTA,None of the Above,37,31,45,53,55,32,52,34,45,35,31,52,58,41,56,48,33,59,54,44,83,45,60,45,50,53,53,51,65,67,48,64,20,Uttar Pradesh-Agra North,Agra North
