O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,CHANDRAPRAKASH SINGH,Bharatiya Janata Party,2774,2864,2174,3198,3815,659,813,3721,3919,2874,4602,4495,3705,2790,3462,3731,3596,3582,2764,2587,2519,2509,3389,2285,3951,3157,5426,736,Uttar Pradesh-Noorpur,Noorpur
2,JIYAUDDIN,Bahujan Samaj Party,1447,1218,770,1718,1186,433,608,1431,1408,1614,1348,780,906,1290,1173,1099,1357,1149,1155,847,755,990,899,2727,902,840,1014,82,Uttar Pradesh-Noorpur,Noorpur
3,BALA,Indian National Congress,34,35,23,29,34,38,28,32,33,29,38,25,45,24,25,30,27,31,52,29,27,54,31,50,32,23,25,3,Uttar Pradesh-Noorpur,Noorpur
4,RAM AVATAR SINGH,Samajwadi Party,4087,3969,4118,1865,2646,5412,5725,2857,1683,2908,2161,3642,2681,3391,3551,2291,2545,3099,5082,4214,4192,4655,4157,2308,2836,2957,2296,801,Uttar Pradesh-Noorpur,Noorpur
5,JAHAN ARA,Samajwadi Andolan Party,23,30,21,10,24,28,27,9,7,19,15,12,23,38,11,7,22,16,33,25,19,22,25,17,19,20,15,2,Uttar Pradesh-Noorpur,Noorpur
6,RAVENDRA KUMAR,Bhartiya Damitjan Party,8,20,2,3,5,0,7,7,3,5,5,5,8,7,4,7,3,2,3,3,7,5,7,6,6,4,6,0,Uttar Pradesh-Noorpur,Noorpur
7,ROVIN KUMAR SHARMA,Aam Aadmi Party,10,9,2,5,6,8,4,8,2,6,3,10,12,5,8,4,6,6,13,28,27,11,16,9,7,19,9,1,Uttar Pradesh-Noorpur,Noorpur
8,ATUL KUMAR,Independent,6,8,6,7,4,9,2,8,1,8,12,6,10,38,14,3,8,7,9,7,9,9,9,6,9,7,4,0,Uttar Pradesh-Noorpur,Noorpur
9,AMIT KUMAR SINGH,Independent,8,8,7,13,12,10,7,11,9,12,13,8,14,4,9,7,10,10,15,5,4,15,13,13,8,9,9,0,Uttar Pradesh-Noorpur,Noorpur
10,NAYYAR JAHAN,Independent,9,11,8,12,11,3,12,14,15,10,13,20,12,10,12,10,7,7,15,9,4,15,22,18,11,9,12,2,Uttar Pradesh-Noorpur,Noorpur
11,NOTA,None of the Above,29,43,17,26,30,32,31,39,35,23,42,52,49,24,39,32,49,27,28,25,35,44,56,35,46,22,27,8,Uttar Pradesh-Noorpur,Noorpur
