O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,ASHOK KUMAR RANA,Bharatiya Janata Party,2696,3842,4684,3811,2102,3415,4478,5045,1523,2920,1440,3970,4226,4873,3867,1495,4477,4877,3859,3043,2769,2974,2250,1729,4,286,539,Uttar Pradesh-Dhampur,Dhampur
2,NAIM UL HASAN,Samajwadi Party,3035,2618,1735,1829,4279,4533,3497,2775,5803,5379,6433,2470,1902,2008,2496,5887,980,919,2138,4327,5663,3982,5320,481,533,85,203,Uttar Pradesh-Dhampur,Dhampur
3,THAKUR MOOLCHAND CHAUHAN,Bahujan Samaj Party,2151,2153,3076,2460,1475,406,443,1042,655,586,270,1891,2261,1244,2156,1481,2829,3077,3165,2023,733,651,1134,963,10,369,31,Uttar Pradesh-Dhampur,Dhampur
4,HUSSAIN AHMAD,Indian National Congress,31,27,45,32,32,24,14,12,15,19,57,34,23,21,39,15,35,44,35,48,39,25,33,23,56,8,2,Uttar Pradesh-Dhampur,Dhampur
5,ARUN KUMAR GAHLOT,Aam Aadmi Party,12,7,13,10,3,4,4,5,6,9,3,6,6,5,13,9,10,7,12,12,6,5,8,9,2,2,1,Uttar Pradesh-Dhampur,Dhampur
6,MEETAN,Pichhra Samaj Party,18,12,18,9,7,5,1,10,5,4,5,16,17,9,8,16,18,52,12,16,7,10,10,18,0,2,1,Uttar Pradesh-Dhampur,Dhampur
7,VIVEK KUMAR,Aazad Samaj Party (Kanshi Ram),20,11,21,23,27,18,5,22,22,17,20,22,24,74,15,38,23,27,45,22,12,16,23,18,1,3,2,Uttar Pradesh-Dhampur,Dhampur
8,NOTA,None of the Above,37,37,55,31,43,24,18,46,22,54,25,42,36,35,30,33,24,30,43,37,44,28,32,9,1,2,12,Uttar Pradesh-Dhampur,Dhampur
