O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,BAMBA LAL,Bharatiya Janata Party,3069,2776,3247,2836,4417,2934,2862,4041,3906,3104,3521,3954,4139,2939,2832,2260,3517,4051,2730,4442,4317,3333,4059,2977,3373,3776,3001,3826,4238,1788,546,Uttar Pradesh-Safipur,Safipur 
2,RAJENDRA KUMAR,Bahujan Samaj Party,917,1016,624,1112,416,492,812,596,634,541,887,654,914,1015,721,502,624,569,647,535,277,560,468,366,791,614,604,571,738,358,150,Uttar Pradesh-Safipur,Safipur 
3,SHANKAR LAL GAUTAM,Indian National Congress,46,39,45,55,46,45,63,59,55,35,39,58,64,38,72,45,65,77,36,45,42,67,60,32,37,43,41,58,51,29,14,Uttar Pradesh-Safipur,Safipur 
4,SUDHIR KUMAR,Samajwadi Party,1774,3099,2434,2509,2190,3447,2073,1925,2361,2558,2408,1845,2081,2333,2655,2617,2501,2229,2285,1824,3346,3679,2075,2569,1561,1893,1718,1879,1348,956,299,Uttar Pradesh-Safipur,Safipur 
5,JEET GYANI,Aam Aadmi Party,31,36,29,23,23,33,32,31,21,25,30,57,37,23,44,35,43,52,24,17,37,47,23,24,35,33,33,35,31,12,4,Uttar Pradesh-Safipur,Safipur 
6,RAJU,Bahujan Mukti Party,33,50,40,40,26,38,36,47,31,37,87,38,38,50,37,40,31,32,21,37,28,32,30,30,34,36,39,34,52,27,4,Uttar Pradesh-Safipur,Safipur 
7,MUKESH,Independent,27,25,22,35,9,14,10,14,23,19,32,23,20,16,22,30,25,26,19,17,20,20,12,20,15,18,15,27,26,14,3,Uttar Pradesh-Safipur,Safipur 
8,NOTA,None of the Above,56,66,70,78,47,71,46,73,61,51,61,65,87,57,57,51,76,55,50,58,51,62,46,43,38,57,40,58,62,37,12,Uttar Pradesh-Safipur,Safipur 
