O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,GULAB DEBI,Bharatiya Janata Party,3220,2055,5527,4062,2602,3323,3866,3405,3033,4549,2357,3042,5149,5256,5193,4548,2007,2178,3308,2467,4852,4103,3129,4274,5121,5190,4051,5486,4316,726,Uttar Pradesh-Chandausi,Chandausi 
2,MITHLESH KUMARI,Indian National Congress,43,46,53,44,30,28,49,37,43,78,37,29,84,77,71,203,41,54,41,53,47,51,38,30,57,72,76,43,28,5,Uttar Pradesh-Chandausi,Chandausi 
3,RAN VIJAY SINGH,Bahujan Samaj Party,2935,1365,728,1278,1336,775,1125,1895,1117,434,113,304,439,1149,432,1101,1794,3542,1635,1595,645,550,603,270,578,1157,718,335,292,95,Uttar Pradesh-Chandausi,Chandausi 
4,KM VIMLESH KUMARI,Samajwadi Party,1737,3951,1847,1820,4391,3975,1945,1437,3184,2639,4479,4246,2156,1411,1536,2352,3916,2324,3439,2969,1608,2977,3929,2387,1638,1510,3094,2054,1702,322,Uttar Pradesh-Chandausi,Chandausi 
5,ANIL BABU,Rashtriya Parivartan Dal,17,31,20,13,35,38,24,24,61,29,31,30,9,10,12,23,25,20,39,21,19,29,22,32,27,11,24,20,12,3,Uttar Pradesh-Chandausi,Chandausi 
6,RAVINDRA KUMAR,Aazad Samaj Party (Kanshi Ram),25,18,7,19,12,6,6,7,7,5,9,8,1,11,7,2,9,13,19,18,9,5,9,10,61,7,18,15,3,1,Uttar Pradesh-Chandausi,Chandausi 
7,SACHIN KUMAR,Aam Aadmi Party,6,20,6,8,11,96,29,6,18,15,16,224,29,13,13,14,11,16,12,14,28,11,5,8,10,6,7,5,7,1,Uttar Pradesh-Chandausi,Chandausi 
8,Tejpal,Independent,7,4,12,5,3,11,6,8,2,4,2,5,3,5,7,9,5,9,12,11,6,6,5,1,7,10,2,2,4,2,Uttar Pradesh-Chandausi,Chandausi 
9,MANJU,Independent,28,23,40,19,33,28,19,21,16,8,7,9,10,12,6,23,21,17,20,40,33,22,20,19,27,23,18,10,10,4,Uttar Pradesh-Chandausi,Chandausi 
10,RAJESH,Independent,30,36,24,12,20,16,9,32,18,11,4,17,16,8,11,16,26,39,27,50,26,17,14,20,24,15,15,13,8,5,Uttar Pradesh-Chandausi,Chandausi 
11,VIJAY PAL,Independent,13,9,8,10,12,18,13,12,6,8,8,9,8,12,5,19,4,13,11,14,15,21,11,11,6,8,15,5,2,4,Uttar Pradesh-Chandausi,Chandausi 
12,NOTA,None of the Above,66,51,84,52,84,96,59,93,71,41,46,68,54,70,60,94,46,90,64,71,74,75,77,101,99,103,55,62,39,9,Uttar Pradesh-Chandausi,Chandausi 
