O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Amit Gaurav,Samajwadi Party,1671,2484,2893,902,4520,1945,5905,5496,3032,1757,3302,2571,4282,1835,3352,4638,3483,3760,3407,2635,1545,1897,1728,1862,1160,1332,1863,1874,2819,3080,Uttar Pradesh-Marhara,Marhara
2,Tara Rajput,Indian National Congress,44,40,18,24,24,29,30,39,28,17,32,20,14,29,25,31,45,26,26,30,27,21,17,22,33,21,50,17,30,21,Uttar Pradesh-Marhara,Marhara
3,Yogesh Kumar,Bahujan Samaj Party,917,1011,192,383,192,459,467,367,370,685,728,240,652,435,301,918,525,582,253,1479,514,573,184,286,829,583,793,412,1334,133,Uttar Pradesh-Marhara,Marhara
4,Virendra Singh Lodhi,Bharatiya Janata Party,4199,3931,1665,6202,1612,4814,1886,1351,2620,4998,2482,2711,2365,5706,2851,2299,2286,2983,3238,2453,5036,4186,3163,3970,4485,4071,4671,1810,3701,3304,Uttar Pradesh-Marhara,Marhara
5,Arjun Yadav,Aam Aadmi Party,28,17,9,29,9,17,17,34,14,18,31,14,23,33,22,13,20,24,27,45,37,19,23,22,26,24,24,14,29,24,Uttar Pradesh-Marhara,Marhara
6,Anuj Kumar,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1,4,0,4,3,7,2,4,0,6,4,3,2,11,4,2,0,1,3,5,10,6,5,5,9,4,8,3,6,5,Uttar Pradesh-Marhara,Marhara
7,Mamta Singh,Rashtriya Backward Party,8,6,4,5,0,2,2,1,5,1,6,4,3,6,3,1,1,1,3,1,6,4,1,0,4,3,6,6,2,4,Uttar Pradesh-Marhara,Marhara
8,Raghuveer Singh,Voters Party International,3,5,3,4,2,2,4,4,5,10,4,3,6,10,3,2,1,9,4,5,5,2,4,4,2,3,8,20,2,4,Uttar Pradesh-Marhara,Marhara
9,Vikas Kumar,Bahujan Mukti Party,4,4,1,2,3,6,4,1,1,5,8,2,2,4,1,3,2,7,5,2,8,5,2,3,4,2,3,5,1,7,Uttar Pradesh-Marhara,Marhara
10,Suneeta Shakya,Jan Adhikar Party,8,13,5,10,3,10,9,6,7,21,77,7,6,18,8,1,7,1,5,8,5,7,10,26,17,9,77,6,9,86,Uttar Pradesh-Marhara,Marhara
11,Amit Kumar,Independent,21,21,5,24,7,32,11,14,23,22,23,9,11,33,16,10,22,25,17,24,20,22,14,21,33,14,15,8,19,12,Uttar Pradesh-Marhara,Marhara
12,Mukesh,Independent,15,28,12,11,8,12,14,12,6,15,20,6,16,24,22,19,14,14,14,21,11,18,14,15,16,18,15,10,26,10,Uttar Pradesh-Marhara,Marhara
13,Vidhya Verma,Independent,26,23,7,14,7,12,10,11,10,19,19,9,18,35,15,10,12,12,9,15,15,15,8,16,13,18,9,13,22,22,Uttar Pradesh-Marhara,Marhara
14,NOTA,None of the Above,30,39,8,35,19,28,32,37,37,40,37,30,32,29,37,19,24,32,33,23,24,30,21,27,26,24,22,13,27,32,Uttar Pradesh-Marhara,Marhara
