O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,ANIL KUMAR,Bahujan Samaj Party,226,221,38,83,406,255,102,22,52,49,33,12,360,304,30,24,19,136,183,148,17,222,51,11,48,63,71,104,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
2,MOHD. ISLAM ANSARI,Indian National Congress,27,65,85,82,54,87,40,83,112,325,101,92,61,58,78,68,86,109,62,48,52,53,63,58,56,55,137,76,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
3,SUPRIYA ARON,Samajwadi Party,1071,1466,3990,1990,1713,1176,754,5090,5261,4944,6001,6066,3063,2285,6313,6751,3311,3743,1311,3005,2569,2147,2060,4453,2581,1290,1599,1493,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
4,SANJEEV AGARWAL,Bharatiya Janata Party,4716,3178,3240,4756,5608,5019,4739,1884,1790,1914,1222,442,3518,4450,881,1465,4577,2892,3489,3636,5370,4569,4408,3502,5489,4998,4002,2743,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
5,RAHEES MIYA,VANCHITSAMAJ INSAAF PARTY,28,22,17,13,19,27,16,6,13,11,7,10,20,15,7,4,11,13,20,20,13,11,31,15,21,17,12,6,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
6,RAM GOPAL KASHYAP,Shiv Sena,10,6,4,9,20,29,92,7,4,5,1,1,2,1,1,2,4,5,3,2,3,10,9,5,5,0,5,6,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
7,VINOD KUMAR GAUTAM,Jan Shakti Ekta Party,3,7,3,1,4,7,3,3,7,1,0,1,3,3,0,2,3,4,0,5,5,2,3,2,8,2,1,1,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
8,VISHNU MOURYA,Jan Seva Sahayak Party,4,1,2,4,3,4,2,1,4,2,2,3,27,7,2,7,9,2,3,3,0,1,3,0,2,1,1,2,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
9,SHAHNAZ BEGUM,Peace Party,5,11,1,6,3,4,2,2,6,2,3,7,7,3,1,2,6,3,1,5,0,5,3,2,5,1,3,5,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
10,SHIVRI NAGVANSHI,Aam Aadmi Party,5,20,3,25,24,32,16,3,7,8,10,3,4,16,6,12,1,29,10,10,6,9,10,3,86,8,13,32,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
11,ADARSH KUMAR GUPTA,Independent,4,2,6,5,2,4,3,2,1,3,4,3,3,2,3,1,5,3,1,1,1,2,4,3,7,0,3,2,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
12,KRISHNA PAL,Independent,19,9,7,17,6,6,6,4,10,12,8,11,4,9,6,13,10,8,1,7,4,9,5,11,14,9,4,6,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
13,CHANDRA BHOJ PATHAK,Independent,16,9,8,11,22,9,15,4,12,4,7,5,12,6,6,7,19,13,4,7,7,14,8,22,21,15,5,8,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
14,MOHD NAFEES,Independent,5,6,11,11,13,13,5,20,13,18,22,11,33,9,10,10,11,9,6,9,6,5,13,19,12,2,5,8,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
15,SUNIL KUMAR,Independent,5,20,35,73,59,23,7,8,13,12,7,2,13,11,10,5,4,12,17,4,4,9,34,4,8,4,10,13,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
16,NOTA,None of the Above,25,23,17,25,27,29,18,16,37,19,25,11,14,27,13,18,22,31,32,22,23,26,24,33,31,37,32,28,Uttar Pradesh-Bareilly Cantt.,Bareilly Cantt.
