O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,ADITYA PANDEY,Bahujan Samaj Party,1069,1187,1050,1405,1101,1218,1350,1556,1448,1221,1107,1067,873,1099,2109,2127,1408,1558,2421,2069,1482,1810,1750,1497,1498,1394,956,182,78,Uttar Pradesh-Jahanabad,Jahanabad
2,KAMLA DEVI,Indian National Congress,70,132,64,103,90,92,74,123,182,111,164,63,40,110,110,248,464,185,107,150,103,141,123,193,126,63,90,11,8,Uttar Pradesh-Jahanabad,Jahanabad
3,MADAN GOPAL,Samajwadi Party,1482,2016,2093,2074,2140,1364,2381,2561,2799,2501,2546,2774,2983,2934,2194,1658,1222,1740,2515,2026,2031,2136,2531,2336,1658,2657,1885,138,568,Uttar Pradesh-Jahanabad,Jahanabad
4,RAJENDRA SINGH PATEL,Bharatiya Janata Party,3715,3718,3722,4326,2963,3360,3492,2915,2599,2838,2793,3109,3420,2340,1462,2607,3451,2577,1645,2085,2712,1575,1903,2480,3051,2972,3607,813,70,Uttar Pradesh-Jahanabad,Jahanabad
5,ANOOP SACHAN,Jan Adhikar Party,89,77,53,49,70,433,110,42,94,110,78,51,34,45,23,42,88,85,37,124,78,47,46,92,45,83,85,20,20,Uttar Pradesh-Jahanabad,Jahanabad
6,AMAR SINGH,Bhartiya Vanchitsamaj Party,51,20,21,18,12,17,33,33,15,49,28,7,4,11,13,15,20,12,12,17,12,6,16,9,17,15,21,10,0,Uttar Pradesh-Jahanabad,Jahanabad
7,BRIJENDRA KUMAR,Bharatiya Samta Samaj Party,9,6,9,11,2,14,7,4,6,8,9,8,6,9,4,23,12,6,5,6,8,6,24,12,6,10,13,0,0,Uttar Pradesh-Jahanabad,Jahanabad
8,RAM SARAN SAHU,Sabhi Jan Party,19,9,9,10,7,7,13,9,9,8,15,15,4,12,41,15,11,14,17,12,14,4,10,12,10,14,6,0,0,Uttar Pradesh-Jahanabad,Jahanabad
9,RAM KHELAVAN,Aazad Samaj Party (Kanshi Ram),23,14,20,29,15,40,21,17,12,30,22,25,11,29,14,13,23,20,19,29,37,21,20,19,26,19,22,5,0,Uttar Pradesh-Jahanabad,Jahanabad
10,RAMGOPAL UTTAM,Arjak Adhikar Dal,27,16,32,30,24,25,40,27,31,33,29,27,16,18,13,22,28,29,24,24,19,14,18,26,20,25,24,6,0,Uttar Pradesh-Jahanabad,Jahanabad
11,VIKAS PAL,Rashtra Uday Party,51,44,31,43,42,28,102,33,169,49,67,28,23,42,35,36,67,23,29,58,52,18,43,28,35,26,74,15,0,Uttar Pradesh-Jahanabad,Jahanabad
12,VINIT KUMAR,Aam Aadmi Party,22,24,22,25,21,19,22,24,30,27,27,23,17,20,34,17,21,17,23,23,20,26,60,24,20,30,25,3,1,Uttar Pradesh-Jahanabad,Jahanabad
13,SANTOSH SAHNI,Vikassheel Insaan Party,147,23,30,15,13,11,19,10,19,115,28,21,11,15,20,15,77,26,21,29,21,22,13,23,30,31,24,8,1,Uttar Pradesh-Jahanabad,Jahanabad
14,NOTA,None of the Above,77,35,49,53,58,45,70,67,60,50,71,70,43,53,56,41,75,54,77,63,48,41,58,42,44,63,51,15,0,Uttar Pradesh-Jahanabad,Jahanabad
