O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,Omprakash Chaurasia,Bahujan Samaj Party,1243,1269,1472,1457,1062,948,808,1696,1408,1445,1633,1172,1351,836,533,927,1056,982,1046,1155,853,995,773,920,914,613,1057,897,396,817,757,850,781,558,0,Uttar Pradesh-Paniyra,Paniyra
2,KRISHNABHAN,Samajwadi Party,1304,2314,2197,2140,2066,1759,1321,1871,1513,2406,1688,1641,2176,4112,3325,1680,1820,1606,2537,1636,1782,2950,2789,3045,3495,2622,2378,1964,1704,1570,2396,2312,1829,1328,0,Uttar Pradesh-Paniyra,Paniyra
3,SHARDENDU KUMAR PANDEY,Indian National Congress,112,84,137,82,69,90,67,76,53,82,65,55,62,122,54,73,47,72,66,82,142,70,61,134,117,96,91,104,85,79,152,135,107,57,0,Uttar Pradesh-Paniyra,Paniyra
4,GYANENDRA SINGH,Bharatiya Janata Party,3781,4044,4805,3773,4418,4831,4197,3613,4439,4825,4219,3950,2646,1919,3629,3872,3842,4414,3805,4638,5219,2932,2708,3014,2287,4970,4218,3783,4247,6153,3830,4437,3865,3751,0,Uttar Pradesh-Paniyra,Paniyra
5,AWDHESH SINGH SAITHWAR,Aam Aadmi Party,67,35,64,49,61,53,63,47,73,138,67,45,22,18,43,56,52,46,31,30,51,19,26,24,23,52,36,23,27,68,31,52,22,49,0,Uttar Pradesh-Paniyra,Paniyra
6,RAMCHANDRA,Aam Janta Party (India),3,4,9,5,6,14,11,11,12,5,5,7,7,5,15,4,4,10,9,7,11,5,9,4,5,7,13,6,7,12,5,10,8,8,0,Uttar Pradesh-Paniyra,Paniyra
7,SHATRUDHAN SINGH NISHAD,Abhay Samaj Party,13,7,12,17,28,37,24,18,10,5,4,24,11,9,61,21,8,5,4,10,31,23,13,8,16,15,40,21,7,12,18,38,19,12,0,Uttar Pradesh-Paniyra,Paniyra
8,SHAMSHAD AALAM,All India Majlis-E-Ittehadul Muslimeen,6,139,29,59,25,36,13,6,7,50,76,166,328,583,197,31,38,20,161,83,7,118,84,136,268,120,65,141,16,25,360,39,15,6,0,Uttar Pradesh-Paniyra,Paniyra
9,SURESH CHAND,Bharatiya Apna Samaj Party,11,11,11,20,8,10,10,7,4,5,6,2,9,10,8,7,9,27,9,10,7,6,6,8,5,4,10,4,4,17,10,7,8,11,0,Uttar Pradesh-Paniyra,Paniyra
10,AJAY KUMAR DWIVEDI,Independent,7,11,8,8,8,11,9,8,18,7,12,7,2,9,8,9,5,9,8,8,15,10,24,5,10,19,22,11,14,19,10,24,11,15,0,Uttar Pradesh-Paniyra,Paniyra
11,CHHEDI MAJDOOR,Independent,13,14,17,15,7,13,8,14,8,26,10,12,7,6,15,12,10,9,9,4,13,6,6,7,7,13,13,12,10,23,13,11,12,19,0,Uttar Pradesh-Paniyra,Paniyra
12,PRAFULL,Independent,56,52,17,22,42,21,44,17,39,127,24,40,11,14,29,37,22,104,24,27,51,33,25,22,17,15,26,93,80,98,64,93,132,114,0,Uttar Pradesh-Paniyra,Paniyra
13,PRAVEEN,Independent,14,10,27,20,26,33,20,17,25,40,16,25,15,17,22,32,24,33,25,26,49,26,91,24,19,25,25,104,329,65,33,29,32,22,0,Uttar Pradesh-Paniyra,Paniyra
14,HARINARAYAN,Independent,27,34,37,34,36,29,26,41,35,38,39,25,30,24,36,38,33,29,38,34,29,23,12,29,31,33,33,29,20,38,33,42,35,51,0,Uttar Pradesh-Paniyra,Paniyra
15,NOTA,None of the Above,44,52,64,47,44,56,52,46,65,40,40,47,43,40,53,38,49,62,50,43,47,44,28,33,43,46,44,28,31,43,44,60,43,48,0,Uttar Pradesh-Paniyra,Paniyra
