O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Munna Singh,Indian National Congress,976,860,437,152,527,698,531,514,546,494,1507,899,582,381,749,626,836,758,826,262,118,252,455,401,405,227,313,578,614,882,71,18,Uttar Pradesh-Katra,Katra
2,Rajesh Kashyap,Bahujan Samaj Party,193,148,481,363,217,302,467,851,348,704,326,462,612,443,572,864,443,454,383,548,175,177,615,846,671,820,714,377,560,796,14,268,Uttar Pradesh-Katra,Katra
3,Rajesh Yadav,Samajwadi Party,1340,2003,3617,2029,2151,2549,1820,1767,3072,2429,1875,2373,2534,3486,2703,2144,2322,2763,2049,3072,3768,4480,1710,3964,3581,2100,2580,2246,2268,1681,716,19,Uttar Pradesh-Katra,Katra
4,Veer Vikram Singh,Bharatiya Janata Party,3697,3136,2307,3314,3207,3073,3428,2561,2288,2742,2909,2127,1905,2243,2445,2311,1913,2431,2227,3261,1938,2604,3889,1482,2026,2184,2941,2479,2052,2352,151,14,Uttar Pradesh-Katra,Katra
5,Rajveer,Jan Adhikar Party,77,64,74,59,71,73,100,87,46,69,84,66,120,76,92,60,95,177,72,83,27,56,76,54,53,78,85,125,100,454,89,1,Uttar Pradesh-Katra,Katra
6,Vedram,Bharatiya Subhash Sena,11,8,11,11,8,7,14,13,11,11,13,12,54,9,16,9,49,22,13,15,8,11,17,8,7,15,16,18,16,16,11,0,Uttar Pradesh-Katra,Katra
7,Sukhvindar Singh,Aam Aadmi Party,20,40,5,8,6,13,7,5,7,10,4,5,10,10,4,6,9,10,6,15,7,5,13,3,10,7,5,9,7,13,8,0,Uttar Pradesh-Katra,Katra
8,Amit Kumar Mishra,Independent,13,15,17,8,11,15,10,18,10,26,16,16,13,15,22,15,12,19,14,15,6,8,14,7,11,16,22,18,24,42,9,0,Uttar Pradesh-Katra,Katra
9,Omdev,Independent,36,19,21,21,32,22,31,19,15,32,17,25,33,21,37,29,25,49,28,39,14,25,34,31,21,24,50,34,46,26,9,1,Uttar Pradesh-Katra,Katra
10,Mahipal,Independent,15,16,14,11,22,14,10,11,21,18,21,20,22,27,19,20,19,23,19,32,10,20,16,23,22,18,30,16,15,17,2,0,Uttar Pradesh-Katra,Katra
11,Vishwa Deepak,Independent,6,13,13,11,9,15,16,20,7,20,14,17,16,9,15,19,18,14,10,15,10,6,14,14,6,11,13,10,13,16,1,3,Uttar Pradesh-Katra,Katra
12,NOTA,None of the Above,33,37,23,25,34,43,42,27,26,30,35,33,33,35,53,39,39,57,31,60,25,33,25,32,22,30,43,29,43,63,9,0,Uttar Pradesh-Katra,Katra
