O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,state_city,constituency_from_link
1,Kameshwar alias Kishan Dixit,Samajwadi Party,7124,4381,1362,1886,2394,2626,3684,4389,3020,2120,4995,8009,6448,3655,2856,3801,3204,5233,6596,1828,2307,2287,1709,2018,765,Uttar Pradesh-Varanasi South,Varanasi South
2,Dinesh Kasaudhan,Bahujan Samaj Party,43,47,65,138,21,57,46,24,58,65,39,39,63,46,106,134,55,118,91,160,75,58,25,165,110,Uttar Pradesh-Varanasi South,Varanasi South
3,Dr. Neelkanth Tiwari,Bharatiya Janata Party,1670,3689,6135,5571,4944,4778,3999,2640,3954,5664,3556,438,1982,4053,4507,3794,4377,3123,1708,5202,4934,5350,4810,5082,3456,Uttar Pradesh-Varanasi South,Varanasi South
4,Mudita Kapoor,Indian National Congress,95,112,93,99,94,119,116,58,79,96,78,90,54,50,75,90,67,73,43,87,65,81,93,153,101,Uttar Pradesh-Varanasi South,Varanasi South
5,Ajeet Singh,Aam Aadmi Party,8,18,19,42,10,20,8,14,16,45,34,9,38,25,61,49,36,28,13,199,126,41,22,19,18,Uttar Pradesh-Varanasi South,Varanasi South
6,Arpan Pathak,Lok Janshakti Party(Ram Vilas),3,5,3,8,2,8,3,1,2,4,5,1,1,7,6,3,5,3,3,13,1,2,1,8,5,Uttar Pradesh-Varanasi South,Varanasi South
7,Parvez Quadir Khan,All India Majlis-E-Ittehadul Muslimeen,59,28,3,16,7,15,15,20,10,2,40,82,57,34,33,28,24,25,66,6,5,4,1,0,5,Uttar Pradesh-Varanasi South,Varanasi South
8,Virendra Kumar Gupta,Aazad Samaj Party (Kanshi Ram),4,7,7,5,2,6,5,2,2,4,5,4,3,6,7,7,11,4,0,5,3,3,1,6,0,Uttar Pradesh-Varanasi South,Varanasi South
9,Shiv Prasad Gupta,Right to Recall Party,6,4,6,16,2,5,4,2,2,6,0,5,3,3,13,15,10,16,6,4,4,0,2,8,7,Uttar Pradesh-Varanasi South,Varanasi South
10,Subhash Chandra Chaurasiya,Rashtriya Bhagidari Party,3,6,14,30,9,9,17,2,9,8,10,2,3,14,31,18,25,9,7,13,3,3,4,12,4,Uttar Pradesh-Varanasi South,Varanasi South
11,Reyazuddhin,Independent,3,3,7,11,10,3,4,1,6,9,6,3,4,6,10,12,12,10,8,5,5,6,2,10,7,Uttar Pradesh-Varanasi South,Varanasi South
12,NOTA,None of the Above,25,39,44,53,37,30,42,23,22,34,29,17,25,36,51,50,50,35,36,51,44,35,35,49,44,Uttar Pradesh-Varanasi South,Varanasi South
