O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,AKHLAK,Indian National Congress,37,59,56,17,113,87,48,32,64,42,30,46,32,35,67,55,49,221,79,41,70,41,86,74,25,8,3,Uttar Pradesh-Kairana,Kairana
2,Nahid Hasan,Samajwadi Party,5427,4918,3141,2927,3504,4526,2163,1145,3648,5288,5164,4455,5991,7879,7298,9166,5031,2264,8709,8004,6583,7405,8418,6737,232,464,315,Uttar Pradesh-Kairana,Kairana
3,MRIGANKA SINGH,Bharatiya Janata Party,3476,4364,4675,4935,4957,4191,6209,6528,4446,3241,3719,4175,3309,3125,3818,1647,4740,7905,1239,2264,2472,2865,842,3967,8903,2617,76,Uttar Pradesh-Kairana,Kairana
4,RAJENDERA,Bahujan Samaj Party,88,74,28,24,348,90,50,37,363,148,39,49,27,20,44,13,17,146,32,46,36,78,44,34,123,65,4,Uttar Pradesh-Kairana,Kairana
5,DEVI SINGH,Aazad Samaj Party (Kanshi Ram),3,11,7,4,17,15,5,1,28,13,7,3,6,6,3,6,7,3,9,5,11,4,3,10,55,4,1,Uttar Pradesh-Kairana,Kairana
6,SANGEETA,Aam Aadmi Party,1,5,5,2,8,14,10,6,10,4,4,4,2,3,1,2,2,2,2,4,2,5,4,13,20,3,0,Uttar Pradesh-Kairana,Kairana
7,ISRAR,Independent,15,14,12,7,12,16,13,7,21,10,1,5,6,5,7,16,12,14,12,7,8,9,15,16,8,4,0,Uttar Pradesh-Kairana,Kairana
8,VIJAY KUMAR,Independent,4,18,4,8,14,7,7,9,16,6,3,8,7,8,3,3,3,11,3,8,4,2,10,6,6,8,0,Uttar Pradesh-Kairana,Kairana
9,SETHPAL,Independent,14,25,14,11,24,15,32,22,20,8,9,27,12,9,14,5,12,21,6,16,6,5,6,56,15,5,0,Uttar Pradesh-Kairana,Kairana
10,HARUN ALI,Independent,7,12,7,5,13,9,12,4,13,17,15,21,11,5,13,15,19,7,19,12,19,7,30,17,2,3,1,Uttar Pradesh-Kairana,Kairana
11,NOTA,None of the Above,21,31,16,11,26,38,21,23,26,28,16,22,17,16,22,22,16,21,29,20,36,16,49,25,13,11,0,Uttar Pradesh-Kairana,Kairana
