O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,state_city,constituency_from_link
1,IRSHAD AHAMAD,Bahujan Samaj Party,147,517,1103,1394,315,535,687,495,329,415,857,871,1488,1264,583,360,971,1116,1540,1149,835,1349,1651,765,1521,755,1570,819,1662,1427,433,1653,724,3,17,75,38,57,Uttar Pradesh-Mughalsarai,Mughalsarai
2,CHANDRA SHEKHAR YADAV,Samajwadi Party,3181,3551,3375,2879,3131,1362,2155,1930,3924,3533,2536,2265,2727,2447,2392,4054,3863,2719,2128,2398,3175,2118,2527,2384,2276,2700,2276,2879,2356,2537,2398,1348,715,65,59,151,203,102,Uttar Pradesh-Mughalsarai,Mughalsarai
3,CHHABBU,Indian National Congress,679,96,115,137,240,160,129,165,114,182,186,130,262,255,342,170,126,252,187,85,104,79,83,112,137,148,155,114,85,74,91,80,22,15,7,7,3,8,Uttar Pradesh-Mughalsarai,Mughalsarai
4,RAMESH JAISWAL,Bharatiya Janata Party,2798,2289,2159,2666,3980,4687,3091,4173,2430,2918,3023,2440,3642,3466,4196,2642,2922,2367,2724,2856,3249,3936,2422,4428,3665,3586,2194,2627,2657,2930,3613,2993,825,502,241,119,316,182,Uttar Pradesh-Mughalsarai,Mughalsarai
5,AJIT KUMAR SINGH,Samagra Utthan Party,15,19,16,20,26,21,11,37,21,25,22,16,17,24,41,13,20,28,21,30,40,38,22,56,23,22,26,41,32,23,16,17,15,3,5,2,3,3,Uttar Pradesh-Mughalsarai,Mughalsarai
6,ABID ALI,All India Majlis-E-Ittehadul Muslimeen,136,340,479,31,126,35,32,31,368,184,141,567,66,43,78,132,351,20,153,61,158,236,213,78,107,56,99,49,53,105,72,12,4,0,5,46,2,0,Uttar Pradesh-Mughalsarai,Mughalsarai
7,DAYANIDHI SINGH YADAV,Bahujan Mukti Party,6,6,8,4,2,3,2,1,10,5,4,19,36,26,4,5,7,3,20,27,13,6,6,22,10,9,16,32,16,5,10,3,5,0,0,1,3,1,Uttar Pradesh-Mughalsarai,Mughalsarai
8,BRIJESH KUMAR,Moulik Adhikar Party,8,15,11,14,12,2,6,8,16,13,5,21,12,14,7,14,16,19,13,34,28,15,19,19,11,16,25,32,31,17,16,14,12,0,0,1,1,0,Uttar Pradesh-Mughalsarai,Mughalsarai
9,RAJOO PRASAD PRAJAPATI,Suheldev Bharatiya Samaj Party,3,5,21,8,4,1,2,16,23,9,9,9,8,14,11,4,25,20,14,26,21,65,11,23,19,11,41,39,17,79,8,12,13,0,0,0,0,0,Uttar Pradesh-Mughalsarai,Mughalsarai
10,SHAILESH KUMAR,Vikassheel Insaan Party,4,17,6,13,15,6,3,4,12,4,5,7,88,9,11,5,14,46,471,1027,425,13,3,607,118,7,376,539,26,24,4,9,7,0,0,1,149,2,Uttar Pradesh-Mughalsarai,Mughalsarai
11,SAJID ALI,Aam Aadmi Party,13,16,12,12,19,15,8,6,15,39,21,23,19,6,19,13,27,13,30,28,19,14,10,44,19,14,15,30,17,15,13,11,9,0,0,2,4,1,Uttar Pradesh-Mughalsarai,Mughalsarai
12,INAYATULLAH KHAN,Independent,10,13,10,8,12,5,9,4,11,9,14,4,21,41,24,25,15,16,25,20,19,11,4,19,13,8,12,21,13,16,4,3,9,1,0,1,5,0,Uttar Pradesh-Mughalsarai,Mughalsarai
13,VIKESH KUMAR,Independent,22,31,21,23,13,5,10,10,29,27,16,13,26,35,39,16,41,33,24,43,35,19,14,54,30,21,24,39,30,30,15,10,10,0,0,1,6,3,Uttar Pradesh-Mughalsarai,Mughalsarai
14,NOTA,None of the Above,34,48,56,66,34,30,31,34,68,57,41,47,61,52,38,42,64,50,73,63,70,58,34,75,64,33,64,52,60,53,24,44,46,3,3,5,13,4,Uttar Pradesh-Mughalsarai,Mughalsarai
