O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,AMAR SINGH,Bahujan Samaj Party,1309,1300,1083,1669,1714,1920,1616,1530,984,1150,1212,1692,963,142,746,1113,1335,863,344,918,1879,516,556,1820,1281,1632,1653,1404,1632,1337,1100,519,1909,Uttar Pradesh-Tundla,Tundla 
2,PREM PAL SINGH DHANGAR,Bharatiya Janata Party,3401,4521,4777,3633,3819,3495,4040,3953,3384,4075,3739,2445,3287,5253,5428,4164,3238,3014,4167,2250,1784,1779,4014,3341,4934,3473,3314,4310,4006,3595,3258,5037,3619,Uttar Pradesh-Tundla,Tundla 
3,SMT. YOGESH DIWAKAR,Indian National Congress,75,130,68,49,57,53,47,63,71,47,85,91,98,83,72,31,73,54,46,44,67,34,43,34,44,45,31,54,51,44,57,61,39,Uttar Pradesh-Tundla,Tundla 
4,RAKESH BABU,Samajwadi Party,2851,1527,1497,2122,1481,1741,1655,1621,4553,1728,2568,1913,2599,1651,1345,1794,2732,1691,1671,4181,6782,4135,1275,1536,1291,3115,2543,1318,1868,2331,2456,1377,1814,Uttar Pradesh-Tundla,Tundla 
5,OM PRAKASH,Bahujan Mukti Party,18,8,18,18,16,14,18,14,15,2,10,6,11,9,10,12,25,29,22,25,38,17,16,13,10,15,11,17,11,15,10,6,8,Uttar Pradesh-Tundla,Tundla 
6,DEEPAK KUMAR,Apni Janta Party,8,9,7,5,12,4,10,6,12,11,9,10,6,3,3,6,8,7,8,5,6,5,7,9,14,7,16,4,12,5,5,8,3,Uttar Pradesh-Tundla,Tundla 
7,NARESH KUMAR,Aazad Samaj Party (Kanshi Ram),12,8,9,11,15,6,11,7,15,7,8,7,4,5,3,7,6,13,16,11,19,7,12,8,11,13,30,14,9,9,12,16,7,Uttar Pradesh-Tundla,Tundla 
8,BABLU SINGH,Aam Aadmi Party,4,4,27,8,9,9,8,8,5,10,21,41,19,17,22,5,3,21,25,15,5,5,13,4,8,11,11,8,12,9,11,14,9,Uttar Pradesh-Tundla,Tundla 
9,MAN IRATNAM GAUTAM,Peoples Party of India (Democratic),10,5,28,9,10,9,10,9,18,9,18,8,3,6,11,9,7,55,62,32,7,13,48,9,11,8,11,14,13,15,5,16,9,Uttar Pradesh-Tundla,Tundla 
10,YATENDRA KUMAR,Vikassheel Insaan Party,7,7,138,4,7,6,6,9,15,6,12,6,2,12,3,7,5,463,343,321,8,3,655,22,35,6,9,10,11,13,6,7,3,Uttar Pradesh-Tundla,Tundla 
11,SATIHS KUMAR KAMAL,Bharatiya Kisan Parivartan Party,22,20,18,19,11,22,19,20,23,17,13,13,7,5,9,9,15,29,48,18,19,11,24,13,20,11,23,22,14,18,10,14,28,Uttar Pradesh-Tundla,Tundla 
12,ANIL SINGH,Independent,8,12,7,7,12,11,10,5,12,5,8,6,1,1,8,4,11,16,12,11,7,5,17,11,4,7,8,17,12,9,10,11,3,Uttar Pradesh-Tundla,Tundla 
13,SATYENDRA KUMAR,Independent,36,47,57,32,55,54,40,30,42,33,21,15,7,14,18,27,33,48,83,35,9,24,68,40,49,45,39,66,49,52,36,52,48,Uttar Pradesh-Tundla,Tundla 
14,NOTA,None of the Above,33,28,41,41,37,38,48,42,34,35,30,24,22,34,26,25,33,39,42,21,46,13,34,37,27,31,39,39,27,52,24,32,35,Uttar Pradesh-Tundla,Tundla 
