O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,state_city,constituency_from_link
1,Brijesh Kumar,Indian National Congress,39,79,64,67,59,32,76,61,120,85,58,50,110,47,44,52,42,76,64,76,34,42,53,46,54,65,62,58,71,53,90,63,83,68,76,15,1,3,Uttar Pradesh-Mahadewa,Mahadewa 
2,Ravi,Bharatiya Janata Party,2315,3121,2453,1915,2646,3198,2386,2235,2420,1798,1778,1675,2387,2593,1665,2149,2136,3183,2587,2454,1666,1588,2494,1106,1802,2294,1913,2196,2343,1387,2571,1865,2152,1999,2347,484,94,111,Uttar Pradesh-Mahadewa,Mahadewa 
3,LAXMI CHANDRA KHARVAR,Bahujan Samaj Party,843,844,1072,1523,1135,1031,931,1855,770,1096,1483,967,1230,1194,843,1298,993,915,739,1430,1044,1100,1665,836,1152,1139,937,1157,1343,1177,927,851,1086,1339,1052,831,98,77,Uttar Pradesh-Mahadewa,Mahadewa 
4,Dudhram,Suheldev Bharatiya Samaj Party,2240,1389,2185,2162,2038,1309,2337,1600,1856,2137,2920,2017,2605,2408,2179,1726,2101,1788,1869,1810,2309,2350,2329,3354,2197,2679,3294,2681,2730,3143,2095,2811,2668,2696,2145,1570,265,324,Uttar Pradesh-Mahadewa,Mahadewa 
5,PURNIMA,Jan Adhikar Party,53,35,151,48,48,32,35,23,93,73,29,33,50,38,115,37,59,26,91,38,123,215,84,307,103,53,127,145,242,67,66,62,41,21,52,81,1,8,Uttar Pradesh-Mahadewa,Mahadewa 
6,Ram Karan,Bahujan Mukti Party,15,22,25,29,22,23,26,28,19,23,27,24,25,32,22,47,24,22,14,23,31,23,20,29,26,22,29,30,30,30,25,15,17,34,35,12,1,2,Uttar Pradesh-Mahadewa,Mahadewa 
7,SURESH,Aam Aadmi Party,13,27,34,25,31,37,26,37,26,33,45,46,43,37,24,35,19,23,28,30,28,26,43,33,43,23,40,36,27,32,49,38,38,41,43,14,1,3,Uttar Pradesh-Mahadewa,Mahadewa 
8,Vijay Vikram,Independent,19,32,31,18,27,22,34,19,25,26,28,29,36,25,28,25,21,27,11,28,20,22,20,24,22,28,48,23,42,25,20,32,30,19,31,20,2,1,Uttar Pradesh-Mahadewa,Mahadewa 
9,NOTA,None of the Above,27,29,47,42,58,39,38,35,72,36,49,59,49,46,32,36,37,48,20,55,46,36,43,37,41,47,63,52,81,54,32,44,37,29,60,21,0,3,Uttar Pradesh-Mahadewa,Mahadewa 
