O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,GITA DEVI KOL,Indian National Congress,67,212,140,145,203,476,352,340,136,174,90,295,129,479,383,78,80,94,122,85,42,50,109,62,70,121,131,46,49,49,61,50,Uttar Pradesh-Marihan,Marihan
2,NARENDRA SINGH KUSAWAHA,Bahujan Samaj Party,1584,1741,986,571,1237,1464,1413,1460,1541,1826,1446,1894,1660,1563,1983,957,1268,1200,772,1008,1737,1488,926,2189,1775,1513,1049,1465,846,625,678,546,Uttar Pradesh-Marihan,Marihan
3,RAMA SHANKAR SINGH,Bharatiya Janata Party,2408,2774,3355,3594,3815,3629,3155,3060,2848,2591,3872,3249,2654,2876,3200,3488,3590,4615,4262,4387,3364,3407,2503,2563,2946,3247,3260,3289,2784,3844,4281,2350,Uttar Pradesh-Marihan,Marihan
4,RAVINDRA BAHADUR SINGH PATEL,Samajwadi Party,1186,1039,762,952,855,1049,659,542,760,1186,790,848,1281,1187,1632,1892,2050,1953,2318,1871,1654,2113,1093,836,1051,730,856,1625,1905,1776,1529,1710,Uttar Pradesh-Marihan,Marihan
5,DR ARVIND PATEL,Janata Dal (United),30,20,22,30,44,34,31,30,47,44,68,176,252,58,157,26,20,39,21,41,72,37,23,23,39,37,37,92,32,16,28,21,Uttar Pradesh-Marihan,Marihan
6,AWADHESH KUMAR SINGH ALIAS PAPPU PATEL,Apna Dal (Kamerawadi),458,673,869,1114,1468,1347,1261,1482,1250,824,1598,771,683,749,770,319,83,289,252,237,219,449,1281,361,870,1535,1108,887,124,140,263,160,Uttar Pradesh-Marihan,Marihan
7,JEERA BHARTI,Communist Party of India (Marxist-Leninist) (Liberation),86,124,53,26,67,41,96,67,38,44,46,34,24,74,27,18,13,14,11,18,29,16,34,41,33,39,35,14,8,26,40,11,Uttar Pradesh-Marihan,Marihan
8,BHAIYA LAL PAL,Rashtra Uday Party,102,146,90,90,176,139,132,60,81,117,66,50,148,519,141,116,38,42,14,108,405,66,181,314,610,230,187,72,17,11,25,29,Uttar Pradesh-Marihan,Marihan
9,RAJDHAR SINGH,Rashtriya Samaj Dal (R),15,21,15,25,30,28,27,19,27,27,21,24,19,26,27,8,13,17,9,12,15,16,10,22,40,24,20,15,7,9,14,9,Uttar Pradesh-Marihan,Marihan
10,RAJAN SINGH,Aam Aadmi Party,28,46,50,36,53,65,41,38,53,38,69,33,38,18,36,16,13,22,22,17,21,19,27,27,42,48,39,33,4,12,23,10,Uttar Pradesh-Marihan,Marihan
11,RADHESHYAM INSAN,Bhartiya Republican Party (Insan),40,34,31,39,49,41,44,31,28,24,32,24,31,23,25,32,17,24,12,18,18,15,17,31,34,47,32,36,10,16,20,17,Uttar Pradesh-Marihan,Marihan
12,RAMACHANDRA ALIAS GUDDU GOND,Peoples Party of India (Democratic),61,61,73,76,81,80,66,46,63,53,65,54,54,43,58,57,80,90,51,67,71,69,37,57,61,78,53,27,12,31,54,72,Uttar Pradesh-Marihan,Marihan
13,RAMTEERATH PAL,Rashtriya Samaj Paksha,89,98,136,120,134,129,96,97,97,78,83,70,54,50,101,66,48,55,53,80,63,46,36,150,92,88,69,38,23,41,68,42,Uttar Pradesh-Marihan,Marihan
14,SATYANAND,Jan Adhikar Party,42,46,44,34,53,63,56,48,53,51,58,56,22,30,50,45,37,56,49,37,91,70,17,51,78,46,48,40,13,12,20,26,Uttar Pradesh-Marihan,Marihan
15,NOTA,None of the Above,53,67,63,70,83,121,96,67,104,108,102,95,62,73,75,66,52,63,45,53,82,44,40,82,66,96,55,57,24,24,45,44,Uttar Pradesh-Marihan,Marihan
