O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,R-42,state_city,constituency_from_link
1,ABHAY SINGH,Samajwadi Party,3291,3669,3278,3476,3178,3177,3066,3111,2469,3139,2687,3492,3009,3044,2709,3166,3530,3128,3374,3054,3251,2965,2923,3589,3135,2776,3273,2955,2676,3006,3204,2771,2518,402,884,196,185,302,323,318,405,83,Uttar Pradesh-Goshainganj,Goshainganj
2,ARTI TIWARI,Bharatiya Janata Party,2477,2757,2608,3354,3038,2502,3382,2932,2715,3015,2969,2809,3257,2777,3017,2952,3072,3034,3114,2629,2897,2601,2467,2922,3106,2250,1858,2234,2071,1996,2498,3554,1688,165,276,320,40,309,199,311,165,76,Uttar Pradesh-Goshainganj,Goshainganj
3,RAM SAGAR,Bahujan Samaj Party,896,876,880,637,618,491,567,734,755,930,893,985,1760,1844,886,1300,1550,1023,677,944,1279,1055,1228,663,1088,1070,1041,1371,1381,1720,1655,734,2691,183,77,85,27,126,231,113,66,9,Uttar Pradesh-Goshainganj,Goshainganj
4,SHARADA DEVI,Indian National Congress,26,38,36,35,51,34,32,34,28,45,44,28,54,42,35,47,47,39,39,37,30,37,31,33,32,22,26,38,48,39,47,81,45,4,8,1,1,1,11,3,5,1,Uttar Pradesh-Goshainganj,Goshainganj
5,ALOK DWIVEDI,Aam Aadmi Party,15,18,12,12,21,19,13,4,6,15,11,20,20,17,6,15,36,11,13,11,20,15,9,19,11,8,9,8,14,12,11,13,11,2,2,2,0,0,2,0,1,1,Uttar Pradesh-Goshainganj,Goshainganj
6,BED PRAKASH,Vikassheel Insaan Party,14,17,10,33,30,13,6,31,11,6,16,41,121,13,20,14,16,30,15,19,30,14,4,10,8,6,14,9,12,8,7,6,11,2,0,2,1,1,0,0,0,0,Uttar Pradesh-Goshainganj,Goshainganj
7,SAVITA,Kisan Party (Loktantrik),12,17,13,11,22,15,11,9,17,16,20,14,22,22,21,25,27,14,13,17,11,11,15,20,8,12,15,21,21,16,23,10,25,3,0,1,0,1,5,2,3,0,Uttar Pradesh-Goshainganj,Goshainganj
8,SARVESH KUMAR,Independent,22,22,18,36,28,22,18,16,22,24,17,22,17,22,20,23,32,31,27,26,21,13,12,14,10,12,15,12,19,12,21,7,15,4,3,2,0,1,4,0,0,0,Uttar Pradesh-Goshainganj,Goshainganj
9,NOTA,None of the Above,43,59,47,78,77,52,49,50,50,53,41,64,54,65,50,48,52,64,71,66,51,25,38,54,47,46,34,43,38,51,61,44,42,10,7,7,0,2,3,4,7,0,Uttar Pradesh-Goshainganj,Goshainganj
