O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,JITENDRA,Indian National Congress,55,50,54,58,67,75,59,76,221,55,64,67,42,60,71,62,45,41,51,59,37,37,40,56,45,50,47,62,12,8,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
2,BRIJESH CHANDRA LAL,Samajwadi Party,2029,1494,2068,1689,1649,1747,1814,1322,1592,1419,2400,1781,1320,1746,1253,1762,2061,2041,2251,1579,1501,2300,2161,1448,1428,1596,2112,2021,344,340,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
3,VIRENDRA,Bahujan Samaj Party,510,912,939,1571,745,601,849,823,1040,810,1059,576,303,706,830,1572,1300,673,859,444,600,1244,695,970,918,845,902,1350,274,48,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
4,SARVAN KUMAR NISHAD,Bharatiya Janata Party,5366,4822,3899,3410,2733,2128,2249,3409,3590,3280,3564,3428,3572,2889,4780,3224,1827,1774,2236,3223,3637,2602,2433,2640,2877,3706,2872,3006,1435,1015,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
5,AKHILESH,Aam Aadmi Party,105,61,37,48,26,27,20,38,48,39,41,47,23,35,65,32,16,24,31,50,42,28,24,44,37,33,33,34,30,12,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
6,RAMESH PRASAD,Jan Adhikar Party,39,17,36,53,53,41,30,58,24,30,40,99,24,110,197,30,17,47,26,75,155,90,38,22,15,57,122,28,15,8,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
7,RAMNATH,Vikassheel Insaan Party,12,25,2,15,0,3,12,21,14,5,9,6,9,11,16,33,7,22,2,21,7,6,6,14,11,8,9,6,6,4,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
8,RAHUL,Satya Bahumat Party,9,12,6,16,5,7,5,11,9,6,5,7,14,13,11,12,7,0,7,14,2,11,5,6,4,11,7,14,2,2,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
9,SONU RAI,Mera Adhikaar Rashtriya Dal,7,9,6,11,4,5,9,11,7,5,10,2,4,10,13,6,17,9,7,7,9,3,8,8,6,15,10,6,3,0,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
10,SANJAY KUMAR SHARMA,Aam Janta Party (India),13,33,17,20,14,19,26,10,9,9,18,16,9,16,15,25,10,13,10,17,15,10,9,15,9,21,8,12,8,7,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
11,AJAY KUMAR SINGH,Independent,486,609,1116,1440,1481,2114,2600,1312,1061,928,1372,910,1347,2589,793,820,1118,1165,648,731,625,607,443,410,482,747,620,573,167,168,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
12,RAKESH,Independent,25,28,19,26,17,32,39,20,27,20,33,19,14,42,30,72,44,25,37,29,16,25,19,28,27,32,17,35,14,3,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
13,RADHIKA,Independent,30,30,24,18,16,22,26,25,30,20,29,28,12,24,37,41,50,22,34,39,21,24,28,30,27,20,22,32,11,7,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
14,NOTA,None of the Above,48,46,43,41,33,40,54,46,53,53,42,52,22,46,46,67,49,26,27,51,40,34,33,39,46,43,33,33,14,10,Uttar Pradesh-Chauri-Chaura,Chauri-Chaura
