O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,AKASH SINGH,Bahujan Samaj Party,781,499,315,160,437,787,748,772,871,1314,739,416,818,479,606,548,490,589,510,209,1835,772,1085,296,802,679,1193,458,15,2,5,62,10,1,Uttar Pradesh-Jalesar,Jalesar 
2,NEELAMA RAJ,Indian National Congress,29,48,41,22,27,20,33,38,47,37,34,30,23,18,20,46,30,42,35,29,38,20,15,15,27,33,31,15,2,2,3,0,2,4,Uttar Pradesh-Jalesar,Jalesar 
3,RANJEET SUMAN,Samajwadi Party,1857,3609,3422,4583,5688,3997,2285,2549,3360,1739,3862,3049,3746,3116,2937,4534,3930,5597,1911,1545,1723,1919,2941,3115,1277,1920,2988,2730,22,19,74,55,166,143,Uttar Pradesh-Jalesar,Jalesar 
4,SANJEEV KUMAR,Bharatiya Janata Party,4686,2191,3697,1519,1109,1122,3263,3500,2561,4281,3375,2769,2606,2862,4350,3490,2826,1612,3561,4475,4055,4484,3483,3897,4224,3712,3338,1535,403,501,198,513,516,336,Uttar Pradesh-Jalesar,Jalesar 
5,ASHOK,Aazad Samaj Party (Kanshi Ram),41,15,19,12,8,10,21,17,26,37,14,19,14,22,19,13,20,10,14,25,75,31,22,23,21,20,24,10,2,2,0,3,5,1,Uttar Pradesh-Jalesar,Jalesar 
6,INDRESH KUMARI,Voters Party International,12,16,3,2,2,1,5,4,5,11,2,4,6,1,5,5,2,3,7,9,11,0,5,3,7,6,5,2,0,2,0,1,1,0,Uttar Pradesh-Jalesar,Jalesar 
7,CHOB SINGH,Jan Adhikar Party,21,19,22,3,2,2,4,5,6,25,10,3,12,28,31,5,8,8,5,20,12,9,73,1,12,9,18,12,0,0,0,1,0,1,Uttar Pradesh-Jalesar,Jalesar 
8,DHIRAZ SINGH,Jansatta Dal Loktantrik,12,3,3,1,1,3,1,3,7,10,3,0,0,6,2,7,5,2,1,3,9,13,2,5,4,12,2,4,1,0,2,0,0,0,Uttar Pradesh-Jalesar,Jalesar 
9,PREMLATA,Aam Aadmi Party,3,4,6,2,0,1,3,6,4,23,1,4,1,5,7,2,5,5,3,3,5,1,3,1,0,2,2,0,0,0,0,1,1,0,Uttar Pradesh-Jalesar,Jalesar 
10,RAJU,Bhartiya Jan Nayak Party,2,3,2,1,0,2,8,5,3,6,1,3,2,4,5,2,3,1,5,5,3,7,3,2,5,3,2,2,0,0,2,0,1,0,Uttar Pradesh-Jalesar,Jalesar 
11,SUKHVIR SINGH DHANGAR,Rashtriya Shoshit Samaj Party,12,9,16,2,38,4,26,15,13,22,28,8,12,7,7,9,37,5,7,18,11,15,3,5,22,20,10,7,0,1,2,3,1,0,Uttar Pradesh-Jalesar,Jalesar 
12,RAJA BABU,Independent,45,25,21,12,16,14,46,35,33,44,33,31,16,41,30,38,18,27,32,25,50,21,43,14,27,28,40,22,3,0,0,5,4,1,Uttar Pradesh-Jalesar,Jalesar 
13,RAHUL KUMAR VERMA,Independent,41,13,14,21,24,8,14,27,22,20,11,24,16,15,27,20,18,14,16,12,15,14,17,10,12,18,33,20,1,2,10,2,1,1,Uttar Pradesh-Jalesar,Jalesar 
14,RAHUL PRATAP SINGH,Independent,9,11,5,9,7,1,3,10,3,9,5,5,4,8,8,21,5,3,16,8,7,3,6,6,5,3,9,8,0,1,2,1,1,0,Uttar Pradesh-Jalesar,Jalesar 
15,NOTA,None of the Above,28,24,24,9,22,17,20,29,17,45,12,22,22,26,23,35,22,16,27,19,34,29,18,12,19,11,19,11,0,0,2,3,0,2,Uttar Pradesh-Jalesar,Jalesar 
