O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,INDAL KUMAR,Indian National Congress,68,58,70,114,56,58,68,51,46,61,98,127,87,58,45,31,64,36,69,42,49,60,60,59,74,60,62,50,66,157,78,56,Uttar Pradesh-Malihabad,Malihabad
2,JAGDISH,Bahujan Samaj Party,397,996,917,979,1305,618,979,569,825,1097,1057,997,1260,579,411,488,743,785,323,304,909,682,701,1038,1841,1395,317,355,1187,635,564,587,Uttar Pradesh-Malihabad,Malihabad
3,JAI DEVI,Bharatiya Janata Party,3251,3526,3641,3451,3505,3567,3170,3826,2639,2927,4019,3674,2507,2848,2745,3509,3983,3321,4105,2635,2499,2946,3226,3524,3761,3968,3562,3253,3050,3379,4155,2094,Uttar Pradesh-Malihabad,Malihabad
4,SURENDRA KUMAR,Samajwadi Party,2755,2502,2346,2211,2988,3490,2040,1970,2987,2983,2888,3055,2793,3805,3558,3252,2744,2326,2394,4080,4275,3587,3327,3453,2728,3511,4000,3906,3299,3868,3556,1703,Uttar Pradesh-Malihabad,Malihabad
5,JAI BANDHU,Bahujan Mukti Party,37,32,21,31,36,33,21,20,35,25,28,29,26,39,30,24,28,37,21,17,23,46,26,29,33,31,26,27,50,35,33,21,Uttar Pradesh-Malihabad,Malihabad
6,NEELAM SAROJ,Bahujan Awam Party,14,10,9,9,11,10,10,15,14,21,13,22,9,10,15,9,18,14,18,11,6,27,19,20,15,15,5,5,16,9,13,6,Uttar Pradesh-Malihabad,Malihabad
7,RAMESH KUMAR,Jan Adhikar Party,18,23,17,24,27,15,15,14,22,29,16,55,13,39,18,105,43,33,28,109,102,29,16,21,18,26,42,76,22,23,94,12,Uttar Pradesh-Malihabad,Malihabad
8,RUPENDRA KUMAR,Aazad Samaj Party (Kanshi Ram),32,33,22,21,34,47,48,27,24,31,28,53,24,36,28,23,42,21,28,22,26,51,32,37,50,74,18,14,34,25,11,16,Uttar Pradesh-Malihabad,Malihabad
9,ACCHE LAL,Independent,35,35,21,24,32,29,31,25,26,36,24,48,23,24,21,25,43,24,39,29,29,25,33,32,25,41,16,20,19,26,22,14,Uttar Pradesh-Malihabad,Malihabad
10,AJAY KUMAR RAWAT,Independent,61,57,33,27,53,90,37,34,45,71,73,52,38,66,34,35,62,61,65,25,59,55,352,164,76,48,37,18,30,45,60,14,Uttar Pradesh-Malihabad,Malihabad
11,NOTA,None of the Above,34,44,59,38,48,56,45,50,52,61,48,57,30,39,29,56,50,44,48,30,41,37,47,62,60,59,42,44,33,36,62,36,Uttar Pradesh-Malihabad,Malihabad
