O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,state_city,constituency_from_link
1,Mohd Adil,Samajwadi Party,3261,3363,1886,2502,1579,442,502,322,614,1146,6408,7183,5858,7285,6231,753,983,8047,5698,3971,7509,8600,6533,4233,792,404,431,1556,1874,773,832,682,698,988,5470,5477,3043,3439,Uttar Pradesh-Meerut South,Meerut South
2,Dilshad Ali,Bahujan Samaj Party,1238,1191,1047,1789,2247,2288,4060,2912,1089,2563,911,33,52,33,65,197,390,70,364,219,60,73,68,121,156,345,104,1093,3556,919,812,1280,1593,1614,1456,875,1212,1590,Uttar Pradesh-Meerut South,Meerut South
3,Nafees,Indian National Congress,50,63,72,51,69,88,63,55,86,58,24,31,4,10,35,74,111,17,40,106,77,66,46,63,89,91,86,61,66,125,111,74,69,81,30,25,26,39,Uttar Pradesh-Meerut South,Meerut South
4,Dr. Somendra Singh Tomar,Bharatiya Janata Party,4499,3637,5358,4620,4355,5095,2988,4650,5719,4594,511,88,54,63,2096,6014,6348,66,557,2870,97,143,58,2490,6323,5841,6438,5172,2223,5993,4412,4434,4756,5743,1739,2610,3471,2896,Uttar Pradesh-Meerut South,Meerut South
5,Afzal,Sabse Achchhi Party,14,16,24,20,19,21,22,21,14,20,7,3,2,1,6,16,18,1,11,4,4,1,3,4,13,14,11,13,13,14,9,14,23,27,13,7,18,15,Uttar Pradesh-Meerut South,Meerut South
6,Omdutt,Aam Aadmi Party,15,19,19,17,23,16,37,33,16,33,14,5,4,4,5,19,28,1,4,12,4,6,6,17,36,53,32,21,39,70,46,19,28,30,11,10,22,18,Uttar Pradesh-Meerut South,Meerut South
7,Rajuddin Gadrey,Bahujan Mukti Party,6,30,9,4,11,5,3,11,6,10,12,13,17,70,53,1,3,21,22,13,39,8,8,4,0,6,0,6,10,4,1,2,3,11,16,7,16,4,Uttar Pradesh-Meerut South,Meerut South
8,Shakeel Ahmad,Naki Bharatiya Ekta Party,19,17,17,37,40,32,42,47,12,37,21,2,11,12,5,7,4,10,13,4,18,15,21,2,4,2,1,16,51,9,10,7,23,25,31,26,16,17,Uttar Pradesh-Meerut South,Meerut South
9,Mukesh,Independent,58,24,49,20,16,3,9,5,10,95,6,0,0,4,9,6,3,2,1,7,8,4,5,2,3,2,5,8,8,12,7,9,12,7,10,16,34,13,Uttar Pradesh-Meerut South,Meerut South
10,Sandeep Chaudhary,Independent,22,21,13,19,7,13,11,15,13,15,7,1,2,3,12,3,8,4,5,0,6,3,3,7,13,7,10,14,9,19,4,2,9,8,6,5,4,7,Uttar Pradesh-Meerut South,Meerut South
11,Harish Chand,Independent,10,12,11,12,14,19,13,19,11,22,12,7,7,3,7,4,14,6,10,2,10,11,8,0,1,2,0,10,23,5,2,5,17,12,13,8,16,52,Uttar Pradesh-Meerut South,Meerut South
12,NOTA,None of the Above,25,35,33,24,27,23,23,29,31,32,41,15,31,27,25,25,29,24,26,18,25,29,21,26,28,49,47,26,29,48,24,38,40,36,32,37,21,37,Uttar Pradesh-Meerut South,Meerut South
