O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,NAFEES AHMAD,Samajwadi Party,2090,3718,3793,3634,3344,2387,2581,1632,2389,3489,1981,2428,2301,2872,2968,2145,2651,3780,2271,2933,2457,2609,2131,3014,2235,3155,3334,3371,2776,2516,415,Uttar Pradesh-Gopalpur,Gopalpur
2,MIRZA SHAN ALAM BEG,Indian National Congress,35,35,42,52,42,36,40,40,68,55,41,38,27,40,41,57,34,58,26,45,45,41,50,105,43,53,69,52,64,216,52,Uttar Pradesh-Gopalpur,Gopalpur
3,RAMESH CHAND YADAV,Bahujan Samaj Party,813,1752,1377,1885,2255,1122,1139,1503,1488,1873,1498,1340,1407,1100,1053,850,1776,1536,1566,1724,1484,1764,1458,1727,1256,1022,1591,1638,1675,1823,366,Uttar Pradesh-Gopalpur,Gopalpur
4,SATYENDRA RAI,Bharatiya Janata Party,1651,1406,1660,1174,1215,2553,2508,2594,2846,1459,2990,2955,2588,2659,2005,3020,2003,2220,1855,1982,1816,1711,1601,1150,2355,1500,948,1143,1565,2040,533,Uttar Pradesh-Gopalpur,Gopalpur
5,ABDULA,All India Majlis-E-Ittehadul Muslimeen,85,33,40,25,15,115,304,34,118,383,199,95,78,69,34,28,30,58,86,299,31,25,850,1031,164,1479,774,897,487,182,103,Uttar Pradesh-Gopalpur,Gopalpur
6,MANOJ KUMAR,Bahujan Mukti Party,17,15,17,15,16,8,13,6,14,13,9,8,9,8,8,17,13,28,10,20,9,8,6,15,42,9,7,11,11,11,3,Uttar Pradesh-Gopalpur,Gopalpur
7,MUNNA LAL,Rashtrawadi Janwadi Manch,29,32,35,27,24,16,17,17,34,11,19,32,19,15,14,59,29,32,8,20,8,13,22,18,15,20,13,13,20,17,2,Uttar Pradesh-Gopalpur,Gopalpur
8,YOGENDRA YADAV,Vikassheel Insaan Party,127,159,222,187,52,16,68,18,81,10,20,82,115,22,32,407,176,133,34,37,26,20,11,23,16,16,19,18,19,16,13,Uttar Pradesh-Gopalpur,Gopalpur
9,ER. SUNIL KUMAR YADAV,Aam Aadmi Party,13,38,35,21,42,62,38,15,47,18,15,54,32,20,159,37,31,31,14,14,22,33,13,18,17,5,29,12,10,23,1,Uttar Pradesh-Gopalpur,Gopalpur
10,SUBASH,Naitik Party,18,45,30,22,35,29,18,26,44,29,38,31,57,25,33,17,22,29,19,36,36,19,20,23,20,10,20,22,32,38,9,Uttar Pradesh-Gopalpur,Gopalpur
11,MITRASEN,Independent,27,29,20,14,31,9,15,18,14,17,22,12,20,9,19,19,14,19,6,24,18,13,16,12,10,12,12,19,10,21,0,Uttar Pradesh-Gopalpur,Gopalpur
12,NOTA,None of the Above,63,97,73,52,64,41,32,63,72,62,44,60,37,34,35,49,52,57,41,44,52,34,32,35,37,29,34,58,31,45,8,Uttar Pradesh-Gopalpur,Gopalpur
