O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,Kiran Shukla,Indian National Congress,93,148,99,74,74,108,89,101,86,187,67,79,89,124,58,57,84,77,55,53,67,40,64,59,69,70,65,62,75,55,85,105,129,41,76,66,Uttar Pradesh-Bansi,Bansi
2,Jai Pratap Singh,Bharatiya Janata Party,2546,3015,3185,2925,2214,2760,2637,2633,2687,3235,2310,2116,1884,2452,1832,2045,2469,2438,1860,1994,2286,1647,2129,2444,2633,2294,2283,2389,2838,2016,2396,2277,2309,1767,2088,1499,Uttar Pradesh-Bansi,Bansi
3,Naveen,Samajwadi Party,1823,1560,1756,1614,1736,1431,1741,1758,1581,1715,1313,1353,1687,1989,1797,2706,1158,1490,2324,1886,2177,2001,1609,2133,1499,1576,1527,2238,2462,1839,1881,2057,1697,1606,2098,1367,Uttar Pradesh-Bansi,Bansi
4,Radheshyam,Bahujan Samaj Party,453,636,426,479,509,617,428,518,406,646,426,765,638,560,913,780,592,960,597,696,784,515,687,471,675,434,436,328,234,540,768,733,851,749,1045,774,Uttar Pradesh-Bansi,Bansi
5,Dinesh,Bharatiya Eklavya Party,20,29,25,27,14,38,20,21,19,18,42,20,19,20,29,18,48,39,15,14,32,12,26,18,17,14,15,13,14,23,24,32,16,20,34,13,Uttar Pradesh-Bansi,Bansi
6,Pradeep Kumar,Aam Aadmi Party,40,19,27,8,15,20,4,36,40,41,141,224,742,61,27,19,11,32,14,13,24,29,59,81,35,15,20,11,7,13,23,39,19,34,70,67,Uttar Pradesh-Bansi,Bansi
7,Roonamati,Abhay Samaj Party,17,24,25,20,81,11,16,22,48,21,17,17,33,14,14,7,7,18,8,8,18,5,6,21,30,12,15,4,7,5,14,24,11,4,21,20,Uttar Pradesh-Bansi,Bansi
8,Shakuntala,Sabka Dal United,13,13,11,28,37,11,6,471,393,250,131,153,197,109,12,5,3,15,10,8,19,44,214,166,219,12,370,6,4,9,104,185,206,25,258,331,Uttar Pradesh-Bansi,Bansi
9,Saimuhammad,All India Majlis-E-Ittehadul Muslimeen,46,9,57,37,49,32,49,31,22,24,41,43,23,29,166,126,34,84,193,197,261,470,86,150,33,134,89,33,110,55,31,196,92,121,235,55,Uttar Pradesh-Bansi,Bansi
10,Hari Shankar,Bahujan Maha Party,28,19,22,21,12,19,15,6,19,18,16,16,29,22,15,9,8,18,7,14,16,11,17,20,18,12,6,4,7,13,17,18,14,13,15,11,Uttar Pradesh-Bansi,Bansi
11,Fakhruddin,Independent,27,14,22,30,19,14,22,18,18,30,19,11,31,21,19,47,5,18,13,14,33,13,24,25,16,15,9,4,11,13,23,32,20,16,23,15,Uttar Pradesh-Bansi,Bansi
12,Serveshwer Tripathi,Independent,41,31,38,82,29,31,28,34,30,45,24,26,20,34,22,24,17,21,22,34,36,23,28,30,30,16,10,7,24,20,31,31,27,16,30,26,Uttar Pradesh-Bansi,Bansi
13,NOTA,None of the Above,49,53,52,50,34,54,48,65,49,55,34,41,61,56,34,37,32,37,26,41,53,36,34,61,37,41,19,33,43,37,45,63,51,39,57,41,Uttar Pradesh-Bansi,Bansi
