O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,state_city,constituency_from_link
1,ASHOK KUMAR KALIYA,Bahujan Samaj Party,148,197,236,232,235,86,572,470,295,335,298,266,84,109,288,283,520,251,214,411,449,847,430,245,739,Uttar Pradesh-Govindnagar,Govindnagar
2,KARISHMA THAKUR,Indian National Congress,871,826,747,719,1069,1289,481,791,496,479,1133,1149,1122,1316,1119,1643,1403,1698,1302,878,891,772,1127,1394,1364,Uttar Pradesh-Govindnagar,Govindnagar
3,VIKAS YADAV,Samajwadi Party,988,1373,1747,1648,2000,3073,2133,2966,1636,1617,1465,1694,905,741,1084,1367,1140,924,802,960,1408,1310,1107,1059,1051,Uttar Pradesh-Govindnagar,Govindnagar
4,SURENDRA MAITHANI,Bharatiya Janata Party,5037,5674,5096,4734,4216,3051,4181,3289,5451,5018,2630,4726,5680,4518,4488,3892,4248,5493,6466,4938,6110,4239,4554,5616,3534,Uttar Pradesh-Govindnagar,Govindnagar
5,KAWARDEEP SINGH,Aam Aadmi Party,155,93,74,60,77,36,57,31,55,58,73,177,147,86,79,57,83,85,178,82,62,63,74,88,95,Uttar Pradesh-Govindnagar,Govindnagar
6,SANTOSH KUMAR GIRI,"Proutist Bloc, India",21,19,16,8,10,5,12,4,9,7,6,14,5,4,10,16,20,15,5,7,8,13,4,7,16,Uttar Pradesh-Govindnagar,Govindnagar
7,NOTA,None of the Above,51,52,58,35,42,20,31,25,43,39,37,43,41,34,39,49,37,51,67,41,51,44,47,42,66,Uttar Pradesh-Govindnagar,Govindnagar
