O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,AMIT AGARWAL,Bharatiya Janata Party,4821,3793,5430,5324,3192,5664,5128,3858,5540,4017,4566,3432,4723,5126,3735,4469,5602,7036,5865,5556,5044,3492,3540,5568,6246,6230,3985,6006,6041,2429,3940,4567,4454,2502,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
2,AMIT SHARMA,Bahujan Samaj Party,826,1174,195,268,2077,563,966,1680,744,2295,1283,1149,2454,992,1060,1632,627,642,574,115,72,83,62,63,828,523,352,173,667,1661,693,1140,432,192,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
3,AVNISH KAJLA,Indian National Congress,124,150,145,128,132,145,141,105,215,139,191,137,96,96,121,102,99,138,147,156,229,185,171,210,213,137,286,180,160,70,92,108,196,114,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
4,MANISHA AHLAWAT,Rashtriya Lok Dal,1416,540,1163,873,1090,2157,1220,1287,1519,1101,1089,2655,1780,2049,1293,1119,748,663,916,1867,1776,1875,2510,1740,842,545,697,650,632,2857,640,1300,506,280,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
5,UPENDRA KUMAR,Apni Janta Party,11,9,12,5,9,16,22,14,17,25,18,19,19,13,15,10,10,8,6,14,16,11,20,10,12,3,9,15,11,22,3,11,11,10,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
6,OM PRAKASH KANIK,Peoples Party of India (Democratic),11,9,3,6,7,8,12,6,11,10,15,5,12,10,9,6,8,9,5,6,7,2,8,2,25,3,4,4,5,4,1,6,11,4,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
7,DEEPAK SIROHI,Shiv Sena,4,6,1,2,2,2,6,3,10,4,6,3,7,8,8,4,7,3,12,4,5,7,2,2,0,2,3,5,5,6,2,2,8,6,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
8,PAWAN KUMAR DHIMAN,Nyay Party,6,8,7,3,16,7,2,4,11,9,11,15,14,5,13,5,10,5,10,7,6,4,6,6,2,6,10,6,4,3,2,21,6,4,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
9,MADAN SINGH MAAN,Aam Aadmi Party,38,26,27,30,51,70,42,41,169,95,88,22,18,22,20,20,23,24,37,20,29,30,21,79,27,23,26,19,24,12,14,20,35,7,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
10,RAKESH PARJAPATI,Rashtriya Samaj Paksha,27,32,6,1,4,13,4,4,3,10,7,16,10,10,7,5,6,4,2,1,1,3,6,1,3,2,1,4,4,6,3,2,4,4,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
11,DR.SUDHIR AGRAWAL,Samagra Vikas Party,3,4,1,2,2,9,4,7,5,10,7,14,9,6,11,5,15,4,0,7,6,12,13,16,12,3,2,6,8,9,6,5,8,2,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
12,DEEPAK SAINI,Independent,4,6,6,2,15,5,1,6,11,10,7,8,12,4,9,7,10,3,3,5,6,6,5,2,12,42,4,7,4,8,1,4,3,5,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
13,RAJIV KUMAR,Independent,20,27,11,8,32,13,14,17,32,47,36,35,60,22,27,28,39,24,31,13,13,17,19,2,18,15,11,15,18,38,1,27,9,14,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
14,NOTA,None of the Above,41,21,32,24,20,41,28,23,47,32,45,32,35,28,32,30,43,29,34,34,34,31,33,35,50,18,30,37,34,23,20,19,37,17,Uttar Pradesh-Meerut Cantt.,Meerut Cantt.
