O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,AMIT KUMAR YADAV URF LALA,Bahujan Samaj Party,881,1713,1395,846,1384,941,1340,1728,1160,1089,2053,1919,1022,1628,2068,1248,1020,1266,1200,1004,1359,1147,1551,845,1260,934,1120,1117,243,213,Uttar Pradesh-Saiyadraja,Saiyadraja
2,MANOJ KUMAR,Samajwadi Party,4039,2761,2698,3182,2741,2375,2596,2237,2448,3744,2512,2477,2802,2706,2808,2490,2736,2212,2064,2711,2389,2378,1966,2963,2612,4246,2408,2867,92,60,Uttar Pradesh-Saiyadraja,Saiyadraja
3,VIMLA,Indian National Congress,48,81,49,67,85,49,62,91,206,70,125,33,124,30,49,90,55,37,56,59,81,79,101,165,54,40,95,54,3,9,Uttar Pradesh-Saiyadraja,Saiyadraja
4,SUSHIL SINGH,Bharatiya Janata Party,1567,3226,3304,2807,3583,2586,3063,3316,3033,2911,3385,2953,2994,2567,2418,2701,3296,2349,3208,3482,3380,2926,3061,3492,4415,3020,4076,3962,144,321,Uttar Pradesh-Saiyadraja,Saiyadraja
5,MAHESH KUMAR,Janta Raj Party,15,34,21,13,31,19,29,29,41,33,35,15,35,26,27,29,23,19,19,19,32,27,26,25,21,33,35,30,1,6,Uttar Pradesh-Saiyadraja,Saiyadraja
6,SHAHZAMA KHAN SHAHI,Jan Adhikar Party,24,44,38,30,24,5,34,16,40,55,152,49,121,84,37,277,44,6,6,17,37,11,78,36,42,108,47,282,2,0,Uttar Pradesh-Saiyadraja,Saiyadraja
7,SIDDHARTH PRAAN BAAHU,Aazad Samaj Party (Kanshi Ram),19,20,12,3,9,9,8,23,20,25,13,12,11,10,7,41,8,10,21,14,6,18,18,14,21,7,7,17,1,0,Uttar Pradesh-Saiyadraja,Saiyadraja
8,SURESH SINGH,Aam Aadmi Party,13,11,12,10,8,4,6,17,10,12,12,5,17,12,7,13,9,4,10,10,11,8,12,15,8,5,8,20,0,0,Uttar Pradesh-Saiyadraja,Saiyadraja
9,NEELU SINGH URF NEELAM SINGH,Independent,10,25,8,7,13,21,12,20,26,19,20,14,14,16,14,15,16,13,12,9,20,23,12,14,16,5,18,12,1,2,Uttar Pradesh-Saiyadraja,Saiyadraja
10,RAMESH,Independent,7,13,7,6,6,9,7,16,11,18,6,7,10,10,11,8,12,6,6,5,9,8,8,12,14,8,11,9,0,0,Uttar Pradesh-Saiyadraja,Saiyadraja
11,RAVINDRA,Independent,27,21,21,23,27,15,17,31,19,36,25,23,14,24,34,24,18,20,23,12,20,15,22,23,28,14,24,30,0,1,Uttar Pradesh-Saiyadraja,Saiyadraja
12,NOTA,None of the Above,54,59,63,49,67,39,61,74,62,58,57,44,53,70,71,86,57,39,59,40,84,64,57,62,58,44,50,59,4,1,Uttar Pradesh-Saiyadraja,Saiyadraja
