O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,BASANTI PANIKA,Indian National Congress,226,144,206,159,171,108,124,139,174,300,182,151,136,172,98,176,337,248,180,134,86,136,98,150,156,120,168,40,Uttar Pradesh-Duddhi,Duddhi 
2,RAMDULAR,Bharatiya Janata Party,3417,3381,2718,2640,3697,3461,3258,2300,3485,1847,2236,2848,3345,2624,3423,3905,2435,2838,2779,3306,3163,3695,2870,3108,4444,3735,2695,642,Uttar Pradesh-Duddhi,Duddhi 
3,VIJAY SINGH,Samajwadi Party,1690,1539,1604,4558,2600,1360,2727,3192,2324,4989,3964,2804,2566,2664,2188,3593,3365,3576,4020,3174,3502,2110,1940,1869,2650,2382,3693,929,Uttar Pradesh-Duddhi,Duddhi 
4,HARIRAM,Bahujan Samaj Party,724,412,1187,940,893,696,1540,347,694,765,1215,1007,585,926,339,591,572,926,1228,1178,455,1217,945,1048,1052,1391,761,191,Uttar Pradesh-Duddhi,Duddhi 
5,ASHOK KUMAR,Jan Adhikar Party,71,23,48,29,37,29,51,25,50,45,85,108,135,62,72,51,169,94,100,43,55,34,104,48,58,50,42,40,Uttar Pradesh-Duddhi,Duddhi 
6,KRIPASHANKAR,All India Peoples' Front (Radical),6,10,14,168,24,17,30,10,13,62,28,29,42,33,49,30,35,38,40,26,15,16,38,28,34,26,27,5,Uttar Pradesh-Duddhi,Duddhi 
7,PUSHPA DEVI,Aam Aadmi Party,37,34,28,26,24,16,34,20,24,39,33,31,27,33,27,37,42,62,31,21,15,27,16,38,32,39,32,5,Uttar Pradesh-Duddhi,Duddhi 
8,MISHRI LAL,Independent,24,16,18,46,37,21,58,36,35,74,151,43,52,50,43,59,68,71,58,40,20,31,49,45,56,49,49,17,Uttar Pradesh-Duddhi,Duddhi 
9,RAMLAL,Independent,29,21,43,87,85,41,89,69,64,144,109,88,71,82,74,115,92,128,99,76,34,58,76,60,107,76,87,25,Uttar Pradesh-Duddhi,Duddhi 
10,HRIDAY KUMAR,Independent,20,22,33,61,59,34,79,48,54,89,74,89,84,68,83,99,80,100,74,50,43,35,70,102,90,70,125,17,Uttar Pradesh-Duddhi,Duddhi 
11,NOTA,None of the Above,68,47,69,171,145,86,239,134,165,273,204,205,201,195,187,291,264,307,239,129,95,107,161,153,237,164,177,43,Uttar Pradesh-Duddhi,Duddhi 
