O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,AJAY YADAV,Bahujan Samaj Party,337,565,764,593,642,738,936,825,1030,623,553,518,1046,729,485,860,715,685,855,696,969,919,1050,775,1090,881,841,409,75,97,Uttar Pradesh-Raniganj,Raniganj
2,ABDUL WAHID,Indian National Congress,71,44,52,42,31,36,43,27,31,30,36,32,36,107,48,38,46,26,26,34,36,32,51,31,25,34,23,7,1,3,Uttar Pradesh-Raniganj,Raniganj
3,ABHAY KUMAR ALIAS DHIRAJ OJHA,Bharatiya Janata Party,3916,2792,2703,3281,3378,3094,2507,2030,3621,2093,1820,2578,2328,1949,1969,2480,2706,2560,2102,2817,2711,3315,2366,3067,2194,2494,2308,1001,230,161,Uttar Pradesh-Raniganj,Raniganj
4,RAKESH KUMAR VERMA ALIAS DR. R. K. VERMA,Samajwadi Party,2145,2626,1645,2301,2493,2442,2914,2794,2101,1992,1780,2813,2627,2501,3005,3920,3048,3379,2836,2633,3888,2610,2978,2641,3097,2784,3283,1241,272,151,Uttar Pradesh-Raniganj,Raniganj
5,ANIL KUMAR,All India Majlis-E-Ittehadul Muslimeen,231,509,1436,451,297,434,125,591,118,1202,1480,673,242,907,728,485,424,310,176,223,157,73,138,50,43,74,127,6,8,1,Uttar Pradesh-Raniganj,Raniganj
6,ANURAG MISHRA,Aam Aadmi Party,13,39,23,12,25,14,12,16,19,35,17,23,90,21,97,24,22,29,14,28,11,11,13,12,7,17,37,1,2,0,Uttar Pradesh-Raniganj,Raniganj
7,DHARMENDRA KUMAR,Aazad Samaj Party (Kanshi Ram),9,40,16,16,9,15,15,13,7,11,48,21,13,26,23,104,26,9,11,16,14,9,19,13,12,23,22,0,3,1,Uttar Pradesh-Raniganj,Raniganj
8,BRIJLAL,Bahujan Mukti Party,8,7,17,20,26,18,8,12,11,16,7,10,7,7,15,8,13,11,8,6,5,14,12,11,5,11,8,3,0,0,Uttar Pradesh-Raniganj,Raniganj
9,RAMFER PANDEY,Meydhaa Party,10,7,6,12,7,9,4,8,11,13,7,9,6,7,13,10,16,5,11,10,13,6,18,10,9,15,37,3,1,0,Uttar Pradesh-Raniganj,Raniganj
10,SATYA PRAKASH,Atal Janshakti Party,15,13,40,27,14,12,21,19,9,28,18,16,21,14,22,12,17,19,7,22,14,14,23,17,19,28,40,7,0,0,Uttar Pradesh-Raniganj,Raniganj
11,SANJAY KUMAR ALIAS SANJAY RAJ PATEL,Janata Dal (United),13,14,26,34,8,11,14,24,10,33,19,18,20,18,37,14,18,15,11,21,50,15,20,17,13,17,13,2,0,0,Uttar Pradesh-Raniganj,Raniganj
12,HARISHANKAR PRAJAPATI,Bharatrashtra Democratic Party,20,31,27,20,19,19,32,35,22,30,9,29,18,25,12,25,26,27,23,24,37,26,34,27,20,25,18,11,5,2,Uttar Pradesh-Raniganj,Raniganj
13,RAJESH KUMAR,Independent,47,27,34,24,19,21,32,23,23,30,18,23,34,21,24,22,19,25,44,39,18,33,38,36,23,29,13,4,2,0,Uttar Pradesh-Raniganj,Raniganj
14,LAL BAHADUR,Independent,17,17,12,16,10,14,20,21,22,17,12,18,18,16,22,12,21,18,13,24,17,19,28,21,14,20,14,4,2,1,Uttar Pradesh-Raniganj,Raniganj
15,NOTA,None of the Above,31,45,61,45,30,26,47,33,42,49,39,44,38,40,45,38,31,47,40,57,48,39,45,45,39,34,36,16,2,6,Uttar Pradesh-Raniganj,Raniganj
