O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,FULCHANDRA,Bahujan Samaj Party,648,693,671,572,679,504,299,677,839,410,733,724,606,728,909,715,1003,1230,1017,747,873,574,472,751,513,740,579,779,830,613,215,28,25,17,Uttar Pradesh-Patti,Patti
2,RAJENDRA PRATAP SINGH URF MOTI,Bharatiya Janata Party,3122,3312,2301,2883,1796,2172,3577,2943,2867,2104,2370,2322,3287,2933,2132,3943,3538,3062,2712,2416,2921,3238,2952,2364,1770,2989,2571,2606,3619,3553,788,154,181,193,Uttar Pradesh-Patti,Patti
3,RAM SINGH,Samajwadi Party,3463,3701,3812,4109,4365,4429,3570,2721,3378,3939,4554,4157,2580,3422,3266,3401,3037,2982,4298,3770,3088,3153,3638,3456,4998,3080,2989,2767,2962,2571,724,166,364,311,Uttar Pradesh-Patti,Patti
4,SUNITA,Indian National Congress,51,55,70,50,40,47,50,43,38,43,51,31,49,58,37,52,70,57,38,38,46,52,37,49,46,43,31,41,50,73,9,2,3,3,Uttar Pradesh-Patti,Patti
5,AJAY YADAV,Aam Aadmi Party,14,10,12,16,3,6,9,3,2,8,11,29,10,12,9,6,11,12,18,10,11,8,8,6,11,4,13,3,8,4,3,2,1,1,Uttar Pradesh-Patti,Patti
6,NAND LAL,Bahujan Mukti Party,8,10,12,9,3,6,15,7,11,5,8,6,5,5,3,14,12,8,6,8,12,5,5,12,12,4,6,4,3,6,0,1,0,3,Uttar Pradesh-Patti,Patti
7,MUJAMMIL HUSSAIN,Jan Adhikar Party,20,17,33,36,24,7,13,5,21,5,18,15,11,39,23,29,71,16,22,32,11,26,9,22,81,100,20,34,43,20,1,2,4,2,Uttar Pradesh-Patti,Patti
8,Rajmani,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7,13,16,9,6,11,8,12,11,7,14,8,12,15,13,13,28,24,14,8,9,11,4,32,14,9,6,9,19,38,2,7,1,2,Uttar Pradesh-Patti,Patti
9,RAM ABHILASH,Apana Dal Balihari Party,30,38,33,23,26,30,28,19,40,32,37,25,39,23,27,31,37,32,33,35,29,31,22,22,35,23,24,18,19,26,7,9,3,2,Uttar Pradesh-Patti,Patti
10,KAUSHALENDRA PANDEY,Independent,23,37,22,30,18,10,18,15,16,14,23,18,27,35,32,26,37,26,24,17,32,25,14,29,20,21,26,14,22,29,6,2,1,1,Uttar Pradesh-Patti,Patti
11,NOTA,None of the Above,57,56,45,41,47,29,35,34,36,35,47,39,45,56,53,56,43,54,69,47,41,59,36,42,42,41,29,30,62,38,4,2,3,0,Uttar Pradesh-Patti,Patti
