O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,Praveen Patel,Bharatiya Janata Party,3018,3328,3505,3267,2055,3552,3033,3306,3137,2683,3133,2944,3507,3067,3720,1672,2098,2432,3866,3549,3406,3126,3916,2769,3355,3339,3546,2519,3324,3380,3423,3019,2467,164,389,Uttar Pradesh-Phulpur,Phulpur
2,Mohd.Mujataba Siddiqui,Samajwadi Party,3727,3354,2204,2405,3500,3316,2668,3410,3190,3474,3259,2053,2286,3053,1722,4060,3517,4824,3352,2560,2393,2999,3066,3420,2913,2895,2299,4044,1354,2660,2718,3328,3282,100,515,Uttar Pradesh-Phulpur,Phulpur
3,Ram Taulan Yadav,Bahujan Samaj Party,669,975,1077,971,457,349,950,720,1176,1305,1156,1529,1832,1258,1322,947,1348,1116,693,432,370,860,867,1482,1309,1823,1020,623,369,713,953,721,1072,235,170,Uttar Pradesh-Phulpur,Phulpur
4,Siddhanath Maurya,Indian National Congress,73,127,69,70,45,42,36,29,52,38,37,21,36,41,59,26,37,35,56,76,77,75,31,33,40,41,46,39,39,67,32,38,29,5,3,Uttar Pradesh-Phulpur,Phulpur
5,Dr.Ashok Maurya,Peoples Party of India (Democratic),28,34,37,20,12,6,42,23,27,16,27,20,25,18,24,12,23,20,30,9,10,10,31,33,33,50,20,29,15,28,76,27,14,3,3,Uttar Pradesh-Phulpur,Phulpur
6,Tahseen Ahmad,Akhil Bharatiya Socialist Party,12,7,10,6,2,5,15,3,8,4,8,7,6,5,2,5,9,11,8,3,6,1,3,4,7,8,5,6,4,5,9,4,4,2,1,Uttar Pradesh-Phulpur,Phulpur
7,Mridula Singh,Jan Adhikar Party,26,10,9,15,18,15,31,20,61,17,28,21,11,6,19,38,28,25,18,7,5,16,10,80,16,71,29,13,6,13,65,23,28,0,3,Uttar Pradesh-Phulpur,Phulpur
8,Rakesh Kumar,Loktantrik Janwadi Party,15,17,13,22,8,9,26,7,11,9,14,12,8,11,4,6,15,4,11,4,2,1,7,7,5,11,9,6,10,4,8,6,10,1,0,Uttar Pradesh-Phulpur,Phulpur
9,Ram Surat,Aam Aadmi Party,13,14,15,37,6,5,20,11,9,7,5,15,7,15,9,3,13,10,22,17,19,19,7,11,7,21,20,9,1,10,6,4,6,0,1,Uttar Pradesh-Phulpur,Phulpur
10,Shyam Sundar Pal,Rashtriya Samaj Paksha,10,50,15,5,2,8,32,40,26,14,41,33,10,9,7,24,75,50,8,0,4,7,13,24,19,41,19,16,9,28,18,6,4,0,11,Uttar Pradesh-Phulpur,Phulpur
11,Salik Ram,Bhartiya Kamgar Party,24,19,27,16,11,10,15,15,15,17,22,20,16,9,11,6,26,19,12,5,4,7,10,17,17,21,31,7,6,21,18,14,14,1,3,Uttar Pradesh-Phulpur,Phulpur
12,Sandeep Kumar,Bharat Vaibhav Party,10,9,10,10,2,4,12,10,17,6,3,11,7,10,4,7,14,8,8,3,1,0,8,5,5,13,9,3,3,5,7,7,11,1,1,Uttar Pradesh-Phulpur,Phulpur
13,Bhanu Pratap Singh,Independent,28,18,18,14,11,14,17,11,14,21,20,16,16,28,9,13,24,22,17,4,6,7,17,14,17,21,17,12,12,14,18,12,15,3,2,Uttar Pradesh-Phulpur,Phulpur
14,Vimal Kumar Gupta,Independent,19,17,23,17,10,19,24,20,13,26,23,24,34,33,35,23,24,17,19,4,5,7,21,16,23,31,29,18,9,25,16,26,23,6,4,Uttar Pradesh-Phulpur,Phulpur
15,Hari Lal Sahu,Independent,30,35,25,18,19,19,31,29,14,23,34,19,24,20,11,18,34,39,20,6,7,8,23,27,36,39,15,35,20,31,25,31,32,1,2,Uttar Pradesh-Phulpur,Phulpur
16,NOTA,None of the Above,41,49,58,31,22,36,46,40,41,56,42,45,48,67,34,25,64,55,45,44,41,26,58,34,48,69,65,55,54,49,51,49,46,6,3,Uttar Pradesh-Phulpur,Phulpur
