O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,BAHORAN LAL MAURYA,Bharatiya Janata Party,2841,4033,4340,4280,5038,4527,3515,3663,2101,4282,3568,2696,2425,4180,4021,3145,2703,4139,2599,3604,4656,3109,2285,1516,3082,3820,2232,1703,2514,3602,3942,3442,2120,Uttar Pradesh-Bhojipura,Bhojipura
2,YOGESH KUMAR,Bahujan Samaj Party,411,285,634,1070,902,977,660,648,490,352,446,189,1207,839,1512,828,420,857,1165,1464,1207,527,449,1271,539,1112,494,697,1105,829,1622,1300,238,Uttar Pradesh-Bhojipura,Bhojipura
3,SHAZIL ISLAM ANSARI,Samajwadi Party,3541,3449,2691,2076,2710,2279,2819,3967,4284,2822,3150,4931,4091,2503,3154,3958,4619,2989,3726,2666,1881,4989,6681,4233,4230,3825,5498,6395,5336,3674,2215,2746,825,Uttar Pradesh-Bhojipura,Bhojipura
4,SARDAR KHAN,Indian National Congress,59,102,43,30,51,49,34,58,40,47,48,65,111,40,70,97,41,56,38,43,61,46,48,38,34,45,167,118,120,48,44,48,18,Uttar Pradesh-Bhojipura,Bhojipura
5,MAHENDRA SINGH,Aam Aadmi Party,11,17,14,14,29,13,13,12,11,18,18,17,23,13,16,15,12,15,52,28,29,17,20,7,8,21,13,17,20,18,38,27,12,Uttar Pradesh-Bhojipura,Bhojipura
6,NOTA,None of the Above,38,27,48,42,68,54,43,41,36,41,57,47,39,30,42,28,39,50,31,32,56,34,17,25,16,52,48,37,72,48,45,67,18,Uttar Pradesh-Bhojipura,Bhojipura
