O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Ajay Pratap Singh Alias Pintu,Samajwadi Party,1953,2075,2183,2480,1637,2916,2427,1895,2546,2534,3418,3066,2678,3025,3377,1688,1189,1231,1749,2820,2100,1781,1379,2718,2684,2343,2358,2184,215,245,Uttar Pradesh-Deoria,Deoria
2,PUROOSHOTTAM NARAIN SINGH,Indian National Congress,74,94,131,66,85,68,89,87,66,92,67,57,63,74,101,92,106,107,155,157,109,108,94,129,110,79,80,122,9,6,Uttar Pradesh-Deoria,Deoria
3,Ramsaran,Bahujan Samaj Party,1275,916,1174,438,1095,645,518,823,1156,717,833,482,455,705,1219,307,257,57,95,70,85,197,495,680,784,489,823,783,72,129,Uttar Pradesh-Deoria,Deoria
4,SHALABH MANI TRIPATHI,Bharatiya Janata Party,3203,4157,3521,2902,3542,3515,3042,3957,3229,3694,3056,2761,4490,4161,3303,4020,5074,4069,4724,3313,3833,4616,4183,4052,4157,4183,3319,3031,539,246,Uttar Pradesh-Deoria,Deoria
5,Sanjay Kumar Dubey,Communist Party of India,67,52,68,58,84,73,34,64,47,61,54,51,101,77,53,33,31,25,17,18,30,24,42,55,74,60,67,56,15,1,Uttar Pradesh-Deoria,Deoria
6,Omprakash Chaurasia,Rashtriya Bhagidari Party,10,3,10,8,10,15,4,10,11,17,17,15,13,7,11,10,6,5,9,3,13,4,3,24,6,16,15,5,1,0,Uttar Pradesh-Deoria,Deoria
7,Rajnikant Srivastava,Rashtravadi Vikas Party,12,8,10,6,8,8,11,10,6,13,13,11,8,14,13,5,9,10,2,9,6,8,10,11,10,9,8,12,0,2,Uttar Pradesh-Deoria,Deoria
8,RAJU CHAUHAN,Moderate Party,24,20,16,19,19,26,8,19,13,17,14,25,20,40,29,6,4,7,1,3,3,5,13,29,17,9,17,20,2,2,Uttar Pradesh-Deoria,Deoria
9,Virendra Jaiswal,Jan Adhikar Party,38,16,31,12,15,48,44,18,23,55,22,15,28,18,23,11,7,4,5,6,16,74,6,32,67,27,16,69,2,2,Uttar Pradesh-Deoria,Deoria
10,Sanjay Srivastav,Bhartiya Sarvjan Party,10,24,10,21,17,12,16,19,21,23,24,20,23,19,14,8,7,8,3,3,7,3,10,13,22,11,18,18,3,1,Uttar Pradesh-Deoria,Deoria
11,Harinarayan Chauhan,Aam Aadmi Party,15,21,21,17,19,18,8,15,23,23,17,21,81,8,15,11,15,14,27,6,7,8,15,21,13,18,20,26,2,0,Uttar Pradesh-Deoria,Deoria
12,Vijay Juaatha,Independent,19,13,21,14,22,37,18,29,32,19,19,29,34,21,27,10,2,12,2,5,2,8,14,30,28,16,30,20,2,1,Uttar Pradesh-Deoria,Deoria
13,NOTA,None of the Above,51,48,51,55,51,66,39,67,48,51,60,57,54,41,61,30,41,42,17,22,24,26,35,45,46,44,45,34,4,11,Uttar Pradesh-Deoria,Deoria
