O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,AKHILESH KUMAR,Indian National Congress,37,68,57,61,65,41,146,47,33,33,167,37,63,40,80,33,64,64,87,57,50,41,44,52,59,23,42,49,44,51,23,25,3,Uttar Pradesh-Chharra,Chharra
2,TILAK RAJ,Bahujan Samaj Party,820,1540,761,1030,935,1052,1165,891,319,708,1341,654,1998,1084,1659,2311,1341,2125,264,4562,1643,918,2211,885,98,1214,1092,644,600,528,491,521,19,Uttar Pradesh-Chharra,Chharra
3,RAVENDRA PAL SINGH,Bharatiya Janata Party,3175,3870,2116,3408,2702,2128,3496,2804,3276,1492,4244,4465,4415,4103,4006,2810,4653,4707,5628,2703,2824,4173,2063,2922,3752,3046,4145,3512,4621,4338,3114,1911,306,Uttar Pradesh-Chharra,Chharra
4,LAXMI DHANGAR,Samajwadi Party,1686,1732,4367,1982,3601,4324,1886,4045,3460,6187,2253,2412,1857,2016,1268,3880,1577,1839,2018,1015,3171,1709,2719,2647,2500,3699,2608,2328,2025,1081,4150,4435,3,Uttar Pradesh-Chharra,Chharra
5,YAD KARAN SINGH,Jan Adhikar Party,13,14,55,31,64,75,50,36,28,34,71,27,19,26,23,107,30,63,53,24,29,57,15,19,8,23,20,255,37,246,34,26,1,Uttar Pradesh-Chharra,Chharra
6,RAJESH KUMAR SHARMA,Bharatiya Subhash Sena,9,6,3,2,10,7,6,11,5,4,4,7,3,6,8,13,9,17,2,10,8,10,5,4,1,7,10,7,4,5,2,7,1,Uttar Pradesh-Chharra,Chharra
7,SUSHIL KUMAR,Aam Aadmi Party,4,7,9,10,4,6,6,14,9,10,35,7,6,13,16,33,17,16,19,21,10,21,5,3,3,9,6,13,6,11,10,9,0,Uttar Pradesh-Chharra,Chharra
8,AKSHAY KUMAR,Independent,11,15,9,9,11,8,13,13,5,10,2,37,113,15,16,14,12,15,15,6,12,64,7,7,3,12,10,9,18,24,16,3,0,Uttar Pradesh-Chharra,Chharra
9,JASYEER,Independent,16,34,10,37,22,9,31,23,17,9,28,26,33,33,28,33,57,16,21,10,17,54,14,22,12,18,29,34,35,35,22,24,3,Uttar Pradesh-Chharra,Chharra
10,SATISH KUMAR,Independent,16,22,11,12,9,12,22,14,10,7,24,34,34,22,22,19,25,22,72,25,37,67,14,11,5,33,17,19,17,37,179,7,0,Uttar Pradesh-Chharra,Chharra
11,NOTA,None of the Above,26,41,25,34,39,22,36,43,30,37,42,35,42,40,29,36,37,35,32,27,26,39,29,16,15,32,28,32,31,38,24,26,0,Uttar Pradesh-Chharra,Chharra
