O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,Ashraf Ali Khan,Rashtriya Lok Dal,3974,5007,3861,3148,4774,2987,3294,2587,5718,4575,3428,8003,5853,4145,3281,1805,3307,3552,3576,3089,2602,4674,2197,2914,4273,5167,1534,Uttar Pradesh-Thana Bhawan,Thana Bhawan
2,Zaheer Malik,Bahujan Samaj Party,306,135,549,836,125,504,600,534,830,584,174,103,224,46,138,628,478,717,87,669,413,428,321,325,483,448,325,Uttar Pradesh-Thana Bhawan,Thana Bhawan
3,Satya Sanyam Bhuryan,Indian National Congress,48,25,34,31,18,39,23,44,18,25,32,32,17,25,31,44,32,16,28,44,43,17,28,41,22,20,10,Uttar Pradesh-Thana Bhawan,Thana Bhawan
4,Suresh Kumar,Bharatiya Janata Party,4145,3149,2822,3525,3067,3496,1988,3911,2631,3545,3835,1177,1964,3227,4132,5490,3832,3365,4402,3770,4607,3674,4497,5661,3112,2450,998,Uttar Pradesh-Thana Bhawan,Thana Bhawan
5,Arvind Deshwal,Aam Aadmi Party,27,19,16,19,12,15,12,17,41,32,20,7,27,17,32,19,15,29,123,36,29,18,18,27,13,19,9,Uttar Pradesh-Thana Bhawan,Thana Bhawan
6,Ikram,All India Majlis-E-Ittehadul Muslimeen,10,21,11,13,10,5,4,12,16,42,18,18,25,13,9,11,12,6,9,8,5,11,6,10,14,4,2,Uttar Pradesh-Thana Bhawan,Thana Bhawan
7,Rakesh Kumar,Aazad Samaj Party (Kanshi Ram),65,470,166,153,46,31,44,125,17,104,94,62,119,334,192,274,90,29,25,54,64,14,268,273,20,21,23,Uttar Pradesh-Thana Bhawan,Thana Bhawan
8,Saddam,SOCIAL DEMOCRATIC PARTY OF INDIA,18,6,24,27,16,10,31,32,10,13,25,114,31,9,45,19,19,14,42,16,17,65,30,31,20,16,2,Uttar Pradesh-Thana Bhawan,Thana Bhawan
9,Rama Adil,Independent,10,17,7,10,17,11,8,28,14,9,11,5,13,11,21,15,12,13,6,19,22,10,13,18,18,12,8,Uttar Pradesh-Thana Bhawan,Thana Bhawan
10,Sherpal Urf Sudhir Urf Sher Singh,Independent,42,19,196,104,10,23,23,1158,190,32,213,38,60,66,110,445,137,16,9,47,107,149,415,282,46,16,12,Uttar Pradesh-Thana Bhawan,Thana Bhawan
11,NOTA,None of the Above,27,24,30,26,17,27,12,51,26,37,21,23,35,17,46,48,37,30,22,31,26,25,36,38,43,22,12,Uttar Pradesh-Thana Bhawan,Thana Bhawan
