O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,DEEPAK CHAUDHARY,Indian National Congress,41,28,41,63,27,37,42,50,150,1231,119,137,69,39,52,60,46,47,32,59,134,92,106,60,39,65,62,119,50,Uttar Pradesh-Goverdhan,Goverdhan
2,PREETAM SINGH,Rashtriya Lok Dal,2505,1124,1546,1362,839,650,1093,1205,3093,3588,4950,4479,1907,1241,1279,614,606,400,1079,1495,4963,3745,4059,2113,1297,1331,592,714,1429,Uttar Pradesh-Goverdhan,Goverdhan
3,MEGHSHYAM,Bharatiya Janata Party,3148,3053,3940,4287,4741,4277,4159,3241,2171,1844,2464,1761,3888,4736,3480,4182,4307,4279,2776,2975,2333,2130,3171,3372,4077,4271,4859,2851,2944,Uttar Pradesh-Goverdhan,Goverdhan
4,RAJKUMAR RAWAT,Bahujan Samaj Party,1134,1898,2623,2273,1655,1678,2068,3654,1398,900,774,1190,2041,2686,1305,3102,2716,3319,3729,2886,811,1119,1282,2298,2196,2082,2456,1009,1221,Uttar Pradesh-Goverdhan,Goverdhan
5,ANNAT KOSHIK,Aam Aadmi Party,14,18,30,30,52,50,19,26,19,9,10,7,22,19,25,27,13,42,20,18,11,12,13,21,18,17,27,19,11,Uttar Pradesh-Goverdhan,Goverdhan
6,ASHOK,Rashtriya Samta Vikas Party,9,4,8,18,6,3,6,8,2,6,2,7,4,4,5,12,3,5,2,4,0,5,7,4,7,4,4,3,3,Uttar Pradesh-Goverdhan,Goverdhan
7,PREM SINGH,Aazad Samaj Party (Kanshi Ram),30,14,18,14,3,6,13,13,6,9,12,11,17,13,5,21,9,26,12,13,6,15,46,24,11,10,16,3,6,Uttar Pradesh-Goverdhan,Goverdhan
8,BHURI,Rashtriya Shoshit Samaj Party,4,7,7,8,7,2,4,7,5,4,5,9,13,6,4,7,4,7,4,3,6,5,7,4,6,7,12,3,4,Uttar Pradesh-Goverdhan,Goverdhan
9,PEETAM,Independent,20,6,17,21,10,7,12,9,8,11,12,5,17,8,7,15,17,18,7,15,10,6,16,11,9,11,17,5,2,Uttar Pradesh-Goverdhan,Goverdhan
10,PRADEEP KUMAR,Independent,8,7,17,13,9,2,3,10,5,2,5,6,15,6,3,16,14,17,12,6,3,4,11,13,10,11,7,5,3,Uttar Pradesh-Goverdhan,Goverdhan
11,MEGHSHYAM,Independent,33,40,46,31,32,16,20,31,19,10,14,16,40,26,13,41,29,38,32,46,10,22,25,34,27,26,35,9,6,Uttar Pradesh-Goverdhan,Goverdhan
12,SHARMA VIPUL,Independent,41,34,36,34,41,15,27,23,7,9,16,11,47,32,28,30,31,30,30,29,19,9,23,45,42,34,35,12,11,Uttar Pradesh-Goverdhan,Goverdhan
13,SANJAY SINGH,Independent,37,21,32,19,21,8,12,17,15,22,31,24,30,26,14,29,21,16,16,25,19,13,24,24,14,19,19,17,14,Uttar Pradesh-Goverdhan,Goverdhan
14,NOTA,None of the Above,49,28,46,49,44,30,43,25,19,23,25,16,38,42,17,26,40,29,28,30,18,15,30,29,22,28,38,23,20,Uttar Pradesh-Goverdhan,Goverdhan
