O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,Iliyas,Bahujan Samaj Party,1171,1067,1050,849,1903,1814,866,1506,1686,1020,1188,588,628,704,481,808,631,621,813,793,980,660,611,412,579,622,432,785,594,669,374,625,504,71,Uttar Pradesh-Fazilnagar,Fazilnagar
2,Sunil Urf Manoj Singh,Indian National Congress,38,50,42,53,43,49,60,103,157,163,353,118,46,44,63,38,45,66,42,42,36,40,73,60,65,47,38,53,71,29,60,67,47,13,Uttar Pradesh-Fazilnagar,Fazilnagar
3,Surendra Kumar Kushwaha,Bharatiya Janata Party,3574,3802,4538,5011,3246,3798,4394,3638,4041,3807,3929,3151,3285,2216,3483,2821,3348,4865,3634,2773,2921,2592,3593,3900,3028,2889,2535,3501,2887,2577,3233,3680,3970,1073,Uttar Pradesh-Fazilnagar,Fazilnagar
4,Swami Prasad Maurya,Samajwadi Party,2630,2430,1676,2489,1717,1848,1905,934,1467,1678,1102,1612,2337,3236,2586,2544,2536,1619,1972,2364,2321,3386,2973,2060,1999,1863,1634,1937,2442,2015,1917,2271,2068,585,Uttar Pradesh-Fazilnagar,Fazilnagar
5,Vinai Prakash Srivastava,Independent,30,27,16,33,13,20,19,20,27,21,20,15,16,18,21,16,18,16,12,16,16,20,12,18,22,12,16,9,16,14,10,22,12,16,Uttar Pradesh-Fazilnagar,Fazilnagar
6,Sarvdev Lal,Jan Adhikar Party,11,6,10,12,6,10,7,10,12,2,12,14,8,12,7,17,6,9,5,13,27,5,3,10,11,12,8,3,3,3,46,10,10,5,Uttar Pradesh-Fazilnagar,Fazilnagar
7,Harishchandra Yadav,Aam Aadmi Party,11,4,5,7,5,9,12,8,4,7,10,6,4,5,10,4,6,4,11,5,13,8,5,17,12,4,6,2,3,2,3,3,6,5,Uttar Pradesh-Fazilnagar,Fazilnagar
8,Anurag Kumar Srivastava,Independent,12,9,14,6,7,7,15,15,11,8,15,7,8,9,4,8,4,9,7,2,11,7,3,5,5,5,3,2,6,2,1,6,5,5,Uttar Pradesh-Fazilnagar,Fazilnagar
9,Nand Lal Gupta Vidrohi,Independent,13,11,17,13,11,9,19,11,22,15,8,8,9,12,10,8,13,10,10,16,12,6,11,19,44,11,9,12,3,4,5,13,8,8,Uttar Pradesh-Fazilnagar,Fazilnagar
10,Navratan,Aazad Samaj Party (Kanshi Ram),16,13,13,20,6,40,23,19,9,12,6,7,16,6,7,8,7,8,18,6,2,21,13,13,10,12,7,11,7,6,6,11,8,5,Uttar Pradesh-Fazilnagar,Fazilnagar
11,Birja,Bahujan Mukti Party,19,9,11,10,14,14,16,12,13,11,9,11,21,9,11,6,10,10,9,7,13,13,8,5,11,12,4,9,12,3,8,12,11,6,Uttar Pradesh-Fazilnagar,Fazilnagar
12,Mariyam Khatoon,Independent,31,25,19,27,16,17,30,23,31,28,26,13,16,17,15,54,26,26,21,15,23,18,22,24,17,29,17,14,12,14,18,26,28,21,Uttar Pradesh-Fazilnagar,Fazilnagar
13,Vijay Kumar Pathak,Independent,56,55,41,60,33,42,46,51,50,47,41,19,44,17,35,33,34,37,40,26,27,27,27,41,22,34,24,60,36,41,67,57,45,23,Uttar Pradesh-Fazilnagar,Fazilnagar
14,Saharun Nisha,Independent,44,38,36,51,37,32,36,55,41,44,40,32,33,15,21,26,24,24,31,20,23,27,24,30,26,34,30,28,13,13,23,35,30,12,Uttar Pradesh-Fazilnagar,Fazilnagar
15,NOTA,None of the Above,68,85,63,73,41,81,67,79,60,70,66,26,47,22,24,34,25,29,45,43,37,48,31,35,41,39,11,39,35,26,23,42,27,29,Uttar Pradesh-Fazilnagar,Fazilnagar
