O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,AJAY,Indian National Congress,1710,1435,1622,1104,1307,1383,2361,1499,1169,1788,938,1048,1310,1491,1781,1658,2303,2009,1200,1574,1749,1405,1518,2042,841,2118,1462,2126,969,2449,594,57,27,Uttar Pradesh-Pindra,Pindra
2,AWADHESH KUMAR SINGH,Bharatiya Janata Party,3249,3085,2581,2430,3095,3283,2827,2678,3100,2819,2143,2651,1955,2814,3525,2122,2937,2111,2515,2737,2053,2456,2768,3140,2403,2960,2845,3213,1989,3371,2107,52,114,Uttar Pradesh-Pindra,Pindra
3,BABULAL,Bahujan Samaj Party,1668,1614,1839,1636,1454,2046,1507,1599,2253,1491,1204,1743,1662,1637,1877,1530,1998,1842,1841,1581,1631,994,1372,1656,886,1013,1258,1468,1280,1472,1289,239,8,Uttar Pradesh-Pindra,Pindra
4,AMARNATH SINGH,Aam Aadmi Party,54,43,109,36,48,73,68,150,56,74,59,62,61,71,61,94,81,44,67,68,46,39,48,55,53,34,54,62,74,61,62,5,5,Uttar Pradesh-Pindra,Pindra
5,Rajesh Kumar Singh,Apna Dal (Kamerawadi),539,336,956,654,270,546,1081,486,764,663,1357,1156,1003,1342,917,1550,438,957,1083,1348,1010,1510,1277,999,1892,727,1374,1311,2416,620,1743,209,264,Uttar Pradesh-Pindra,Pindra
6,SHRIPRAKASH,Independent,56,41,40,41,36,48,61,40,51,47,54,58,31,52,71,64,55,42,39,53,62,65,58,47,76,36,53,68,69,47,53,5,7,Uttar Pradesh-Pindra,Pindra
7,NOTA,None of the Above,86,80,82,71,59,58,79,69,66,82,79,76,66,93,90,116,125,88,57,86,85,95,98,92,87,95,63,94,94,65,74,8,17,Uttar Pradesh-Pindra,Pindra
