O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,MANVENDRA PRATAP SINGH,Bharatiya Janata Party,2567,1651,4239,5115,2766,2374,1115,2056,929,1801,3143,577,3588,3535,3657,2122,1073,3872,4748,2902,4203,3144,4614,3093,3978,5311,2142,2928,4299,1802,4207,2584,1619,3233,3329,2832,Uttar Pradesh-Jasrana,Jasrana
2,VIJAY NATH SINGH VERMA (CHHOTU),Indian National Congress,53,36,35,64,44,25,26,26,34,33,32,35,51,40,33,44,32,57,40,31,30,44,64,41,203,297,54,65,91,21,50,23,35,63,29,39,Uttar Pradesh-Jasrana,Jasrana
3,SACHIN YADAV,Samajwadi Party,4333,4399,1928,1841,2963,2909,4001,2903,4899,3967,2001,4650,1618,2303,2083,3393,5585,2655,1396,2491,2711,3364,1844,2276,1780,1532,5302,3280,3159,3553,3028,3117,4705,1143,2702,1805,Uttar Pradesh-Jasrana,Jasrana
4,SURYA PRATAP SINGH,Bahujan Samaj Party,396,215,234,334,325,599,339,370,212,634,573,94,364,372,435,601,347,1447,588,1312,686,254,745,344,501,295,166,529,268,679,744,274,480,247,723,176,Uttar Pradesh-Jasrana,Jasrana
5,AMIT YADAV,Aam Aadmi Party,4,14,3,2,9,15,14,7,11,6,8,21,7,6,8,12,6,18,8,19,6,9,13,6,5,10,4,7,5,12,6,3,11,4,12,4,Uttar Pradesh-Jasrana,Jasrana
6,SUNEEL KUMAR JHA,Jan Adhikar Party,141,29,39,47,16,17,10,4,5,5,67,10,239,27,153,13,28,403,63,256,161,131,107,39,16,23,310,11,6,13,5,5,29,2,13,7,Uttar Pradesh-Jasrana,Jasrana
7,KISHAN PAL SINGH,Independent,7,13,3,2,3,6,8,5,6,4,6,1,11,3,4,5,6,9,5,6,11,8,7,3,4,8,11,6,6,8,8,1,3,2,6,2,Uttar Pradesh-Jasrana,Jasrana
8,NAVAB SINGH,Independent,13,17,5,3,2,7,8,8,12,5,9,6,11,8,12,12,7,13,4,10,8,5,15,5,6,7,5,10,7,10,14,1,5,3,7,6,Uttar Pradesh-Jasrana,Jasrana
9,RAJIV KUMAR,Independent,19,24,10,9,9,22,19,18,18,13,13,23,11,7,13,24,13,6,11,10,12,8,10,14,9,11,28,19,16,24,13,14,29,6,14,11,Uttar Pradesh-Jasrana,Jasrana
10,SHIV PRATAP SINGH,Independent,240,169,56,48,142,70,404,149,469,258,37,1710,1174,47,40,651,424,18,20,20,46,68,180,74,65,46,203,38,78,50,17,74,152,18,192,287,Uttar Pradesh-Jasrana,Jasrana
11,NOTA,None of the Above,65,49,59,48,44,43,33,31,45,30,44,50,49,56,45,51,35,51,56,33,66,33,46,36,34,41,34,40,53,38,54,35,45,38,46,22,Uttar Pradesh-Jasrana,Jasrana
